[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:02:55 --> 00:02:59]  Вот, например, у нас заготовленный кусочек шеи.
[00:02:59 --> 00:03:01]  Здесь вот грудий начка.
[00:03:01 --> 00:03:05]  Но это так на грубом примере.
[00:03:05 --> 00:03:08]  То есть кусковые продукты.
[00:03:08 --> 00:03:11]  И я, первую, узкал вы, это тоже самое, что деликатесы.
[00:03:11 --> 00:03:13]  И тоже самое, что цель на мышечные мяса.
[00:03:13 --> 00:03:14]  А это все нанимы.
[00:03:14 --> 00:03:15]  Да.
[00:03:15 --> 00:03:17]  Ну это как это научно называется.
[00:03:17 --> 00:03:21]  Можно делать большое соратементе и возможных колбас.
[00:03:21 --> 00:03:23]  В разные оболочки.
[00:03:23 --> 00:03:25]  Разного диаметра, колебра.
[00:03:25 --> 00:03:27]  С разными составляющими, кратрами.
[00:03:27 --> 00:03:29]  Варёное, во время копчёная.
[00:03:29 --> 00:03:30]  Все просто.
[00:03:30 --> 00:03:32]  Дай берем свинину.
[00:03:32 --> 00:03:34]  Берем полутушку.
[00:03:34 --> 00:03:36]  Здесь у нас уже она разделана на кусочки.
[00:03:36 --> 00:03:41]  Делаем из нее цель на мышечную продукцию,
[00:03:41 --> 00:03:44]  который сказал уже выше делаем разные колбаски.
[00:03:44 --> 00:03:45]  Делаем ребрышки.
[00:03:45 --> 00:03:48]  То есть у нас даже кости не выбрасываются.
[00:03:48 --> 00:03:52]  И прекрасно они пойдут хозяйкам на гораховый суп.
[00:03:52 --> 00:03:53]  С копченности.
[00:03:53 --> 00:03:55]  Это красно-сно-калбасы, да?
[00:03:55 --> 00:03:57]  Это на колбасы, да.
[00:03:57 --> 00:03:59]  Это мы там позже под покажем.
[00:03:59 --> 00:04:04]  Основной смысл здесь, в том, что вы получаете безодходное производство.
[00:04:04 --> 00:04:07]  То есть вы взяли, тушку переработали.
[00:04:07 --> 00:04:08]  Все продали.
[00:04:08 --> 00:04:10]  Сразу получили деньги, пошли взяли следующую.
[00:04:10 --> 00:04:13]  И поехали поехали, только дай.
[00:04:13 --> 00:04:16]  И люди будут просить, у вас просить и просить.
[00:04:16 --> 00:04:17]  Потому что это реально вкусно.
[00:04:17 --> 00:04:19]  Они подсаживают сна это.
[00:04:19 --> 00:04:23]  Это сейчас в магазинах такого нету.
[00:04:23 --> 00:04:26]  Проберентабильность.
[00:04:26 --> 00:04:31]  Сколько мы можем заработать на одном килограмме продукции?
[00:04:32 --> 00:04:37]  Если посмотреть в магазинах цену на готовую грудинку, копченно-варёную,
[00:04:37 --> 00:04:42]  то ее стоимость составляет 556 рублей за килограмм.
[00:04:42 --> 00:04:45]  Может даже быть больше.
[00:04:45 --> 00:04:46]  Вот.
[00:04:46 --> 00:04:49]  Мы берем сырё в полутуша.
[00:04:49 --> 00:04:51]  Свинина это 2 ст. рублей за килограмм.
[00:04:51 --> 00:04:54]  Может быть 220 за 83 гиона.
[00:04:54 --> 00:04:58]  Вот такая, например, на этом куске даже можем разобрать.
[00:04:58 --> 00:04:59]  Вот грудинка.
[00:04:59 --> 00:05:02]  Значит, мы ее просали.
[00:05:02 --> 00:05:05]  Себе стоимость расслова все что туда входят.
[00:05:05 --> 00:05:08]  Может составлять максимум 50 рублей на килограмм.
[00:05:08 --> 00:05:11]  Больше вы туда это максимум.
[00:05:11 --> 00:05:13]  Время может быть меньше.
[00:05:13 --> 00:05:17]  Соответственно, вы на выходе получаете кусок грудинки.
[00:05:17 --> 00:05:20]  стоимостью 250 рублей за килограмм.
[00:05:20 --> 00:05:23]  А продаете по 500-50 или 600.
[00:05:23 --> 00:05:25]  Мы или смотря какие остальные.
[00:05:25 --> 00:05:27]  Покупатели и запросы еще дороже.
[00:05:27 --> 00:05:32]  Соответственно, вы зарабатываете минимум 300 рублей на килограмме.
[00:05:32 --> 00:05:34]  Ваши готовы продукции.
[00:05:34 --> 00:05:37]  И если вы делаете в нашей камере.
[00:05:37 --> 00:05:39]  50 килограмм в день хотя бы.
[00:05:39 --> 00:05:41]  Это половина загрузки ее.
[00:05:41 --> 00:05:42]  Это тоже.
[00:05:42 --> 00:05:43]  Это тоже не порядок.
[00:05:43 --> 00:05:45]  Это тоже что можно сделать очень легко.
[00:05:45 --> 00:05:46]  Одному человеку.
[00:05:46 --> 00:05:49]  В общем, даже без дополнительных операторов.
[00:05:49 --> 00:05:54]  То вы получаете 50 килограмм на 300 рублей.
[00:05:54 --> 00:05:57]  Это 15 тысяч рублей в день соответственно.
[00:05:57 --> 00:05:59]  У вас приход за работа.
[00:05:59 --> 00:06:00]  В месяц.
[00:06:00 --> 00:06:02]  Вставляет 300 тысяч.
[00:06:02 --> 00:06:05]  Если вы работаете 20 дней даже не полный месяц.
[00:06:05 --> 00:06:08]  Тут вы уже выщет выйти из своей расходы.
[00:06:08 --> 00:06:11]  Зарплата, кому нам, если один сотрудник зарплата,
[00:06:11 --> 00:06:12]  она небольшая.
[00:06:12 --> 00:06:15]  И соответственно, на электринерги, аренду и так далее.
[00:06:15 --> 00:06:17]  В итоге у вас все равно чистыми.
[00:06:17 --> 00:06:19]  Двести должно оставаться.
[00:06:19 --> 00:06:21]  Даже при такой загрузке.
[00:06:21 --> 00:06:25]  Как правило, объемы все равно будут расти.
[00:06:25 --> 00:06:27]  И дальше аппетита будут расти.
[00:06:27 --> 00:06:31]  Какой минимальный помещение для такого производства?
[00:06:31 --> 00:06:33]  Да, от 30 метров в предоставке.
[00:06:33 --> 00:06:36]  Да, для такого не большого такого средства.
[00:06:36 --> 00:06:40]  Причем на этом объеме можно делать агроменное сортимент.
[00:06:40 --> 00:06:42]  Можно делать 20 видов колбас.
[00:06:42 --> 00:06:44]  Все в сельном и шучном продукцию.
[00:06:44 --> 00:06:45]  Любую.
[00:06:45 --> 00:06:46]  Ну и ребрышки.
[00:06:46 --> 00:06:47]  Все остальное.
[00:06:47 --> 00:06:49]  Плюс там еще вопрос.
[00:06:49 --> 00:06:51]  Все возможные кулинарии.
[00:06:51 --> 00:06:54]  Потому что наша камера не только коптит,
[00:06:54 --> 00:06:57]  но она может и запекать.
[00:06:57 --> 00:06:59]  И варка у нас там присутствует.
[00:06:59 --> 00:07:02]  То есть можно использовать просто как печь.
[00:07:02 --> 00:07:04]  Либо паркану и к томуатта.
[00:07:04 --> 00:07:07]  Поэтому поле для деятельности,
[00:07:07 --> 00:07:09]  оно очень большое.
[00:07:09 --> 00:07:13]  На совершенно небольших стартовых ложенях.
[00:07:13 --> 00:07:15]  Какое нас сегодня планно работать?
[00:07:15 --> 00:07:16]  Он работает.
[00:07:16 --> 00:07:17]  Он есть и какой нас.
[00:07:17 --> 00:07:19]  Сегодня у нас только свинина.
[00:07:19 --> 00:07:20]  Для примера.
[00:07:20 --> 00:07:23]  По стараемся сделать быстро, чтобы никого не загружать.
[00:07:23 --> 00:07:24]  И просто.
[00:07:24 --> 00:07:28]  Значит, мы сделаем цель намышечные продукты.
[00:07:28 --> 00:07:29]  Это грудино.
[00:07:29 --> 00:07:32]  Мы еще разрежим, покажем какие варианты.
[00:07:32 --> 00:07:34]  Это корейка.
[00:07:34 --> 00:07:37]  Вот такой шикарный у нас кусочек.
[00:07:37 --> 00:07:39]  Дальше.
[00:07:39 --> 00:07:40]  Шея.
[00:07:40 --> 00:07:42]  Это самое вкусное.
[00:07:42 --> 00:07:45]  Мы газения насырая от 4.00 начинается.
[00:07:45 --> 00:07:48]  Если берем в полу тушек, то есть, в этом случае,
[00:07:48 --> 00:07:50]  то есть есть 20 рублей.
[00:07:50 --> 00:07:51]  И я правда там немного будет.
[00:07:51 --> 00:07:52]  Но вам и не нужно много.
[00:07:52 --> 00:07:54]  Зато у вас соортимент.
[00:07:54 --> 00:07:59]  И вот из этого мы сделаем пару таких орешков,
[00:07:59 --> 00:08:01]  местных все-таки.
[00:08:01 --> 00:08:04]  Это очень людям нравится.
[00:08:04 --> 00:08:07]  Это видно, что это натуральное копчение.
[00:08:07 --> 00:08:09]  Когда продукты все-таки люди очень любят.
[00:08:09 --> 00:08:11]  И когда она на самом кусок насетки лежит,
[00:08:11 --> 00:08:13]  остается как раз красиво.
[00:08:13 --> 00:08:14]  Как красиво.
[00:08:14 --> 00:08:15]  Как еще нового проба.
[00:08:15 --> 00:08:16]  Так.
[00:08:16 --> 00:08:18]  И мы сделаем еще колбасу.
[00:08:18 --> 00:08:20]  Это бонус.
[00:08:20 --> 00:08:21]  Бонус.
[00:08:21 --> 00:08:22]  Мы сделаем сегодня фарш.
[00:08:22 --> 00:08:24]  И получившийся фарш.
[00:08:24 --> 00:08:25]  Мы перемешаем.
[00:08:25 --> 00:08:28]  И потом набьем через ручной колбасный шпорец.
[00:08:28 --> 00:08:29]  Да.
[00:08:29 --> 00:08:31]  А еще у нас есть вот костучки.
[00:08:31 --> 00:08:34]  Это вообще мужчина пищет от этого.
[00:08:34 --> 00:08:36]  Они любят этот акпиву.
[00:08:36 --> 00:08:39]  Женщины делают прекрасный горополый суп.
[00:08:39 --> 00:08:40]  Да?
[00:08:40 --> 00:08:41]  Да, да, да.
[00:08:41 --> 00:08:42]  Я же научен.
[00:08:42 --> 00:08:43]  Сюда.
[00:08:43 --> 00:08:45]  Значит, кристопин?
[00:08:45 --> 00:08:46]  Да, приступим.
[00:08:46 --> 00:08:48]  Ненножко еще пару слов.
[00:08:48 --> 00:08:50]  И, как я и расскажите, про посол.
[00:08:50 --> 00:08:51]  Самый простой способ посол.
[00:08:51 --> 00:08:53]  Сейчас в даваться в подробности не будем.
[00:08:53 --> 00:08:55]  То есть люди, кто начинают, чтобы не понимали,
[00:08:55 --> 00:08:57]  как вообще сольца нас мяса.
[00:08:57 --> 00:09:00]  То есть это, я так понимаю, можно делать сухой посол.
[00:09:00 --> 00:09:03]  И мы наделать базовые посол, без смеси.
[00:09:03 --> 00:09:04]  Хотя бы не тридть не соль.
[00:09:04 --> 00:09:05]  То есть вот.
[00:09:05 --> 00:09:08]  Если мы говорим о том, что нам нужно сделать это быстро,
[00:09:08 --> 00:09:12]  то нам нужно, чтобы мясо просолилось быстро.
[00:09:12 --> 00:09:15]  Для этого нам нужно в центрку ска.
[00:09:15 --> 00:09:16]  Доставить соль.
[00:09:16 --> 00:09:18]  Что мы для этого делаем?
[00:09:18 --> 00:09:20]  Мы инъектируем.
[00:09:20 --> 00:09:23]  То есть мы грубо говоришь, прицую мясо,
[00:09:23 --> 00:09:25]  через иглу, с или в им раствором.
[00:09:25 --> 00:09:28]  Это просто соль этого не надо бояться.
[00:09:28 --> 00:09:29]  Вот.
[00:09:29 --> 00:09:31]  Вот, вот, соль с не тридает.
[00:09:31 --> 00:09:33]  Да, соль с не тридает.
[00:09:33 --> 00:09:36]  И соль, для образования цвета.
[00:09:36 --> 00:09:38]  Сам процесс нетирование.
[00:09:38 --> 00:09:40]  Мы ослили на один на видео.
[00:09:40 --> 00:09:42]  Вот где будет подробно.
[00:09:42 --> 00:09:44]  Мы возьмем кусочки мяса и прониктируем.
[00:09:44 --> 00:09:47]  На сегодня мы это мясо прониктирули вчера.
[00:09:47 --> 00:09:48]  Да, вот это мы подготовили.
[00:09:48 --> 00:09:49]  Мы подготовили.
[00:09:49 --> 00:09:50]  Сегодня оно уже просоленное.
[00:09:50 --> 00:09:53]  По сути, вот денег, но салилось в холодильнике.
[00:09:53 --> 00:09:55]  В принципе, я ротую там на плюс два дня.
[00:09:55 --> 00:09:58]  И не усложеняйте сильно.
[00:09:58 --> 00:10:01]  Потому что там не нужно думать,
[00:10:01 --> 00:10:04]  что мясо должно салиться едию или две.
[00:10:04 --> 00:10:06]  Это зависимости от царя.
[00:10:06 --> 00:10:09]  Конечно, если у вас, я не знаю, жесткая лосятина.
[00:10:09 --> 00:10:12]  То ее надо поддержать неделю от той дверь.
[00:10:12 --> 00:10:15]  А у нас свиненка, она мягкая сочная,
[00:10:15 --> 00:10:18]  поэтому она соль мы доставили сразу внутрь.
[00:10:18 --> 00:10:21]  И засутки она у нас прекрасно просолилась.
[00:10:21 --> 00:10:23]  Мы можем работать с ней дальше.
[00:10:23 --> 00:10:26]  Значит, по поводу концентрации расшолов
[00:10:26 --> 00:10:28]  в то же способов посолом.
[00:10:28 --> 00:10:29]  Это здесь делаем отдельный видео.
[00:10:29 --> 00:10:31]  Да, да, да, да, да.
[00:10:31 --> 00:10:34]  Вот сейчас мы мясо разделаем.
[00:10:34 --> 00:10:37]  И подготовим, чтобы выложить на раму.
[00:10:37 --> 00:10:38]  Да?
[00:10:38 --> 00:10:39]  Да.
[00:10:39 --> 00:10:41]  Давайте сначала с цельном мышечном разберемся.
[00:10:41 --> 00:10:43]  Я то ее тоже перчатки одему.
[00:10:43 --> 00:10:44]  Да, да.
[00:10:44 --> 00:10:49]  А мы что-нибудь завяжем, неточкой или мы еще на решетках будем коптить.
[00:10:49 --> 00:10:51]  Да, давайте завяжем.
[00:10:51 --> 00:10:55]  Дуже одна из целей вам показать, когдать большую стратимент.
[00:10:55 --> 00:10:57]  А если мы мясо, хотя бы тоже самое,
[00:10:57 --> 00:11:00]  мы его по разному фасуем всеточки,
[00:11:00 --> 00:11:04]  всеточки, всеточки, что-то сильным кусковому на решетке.
[00:11:04 --> 00:11:06]  Это уже по сути разный стратимент.
[00:11:06 --> 00:11:08]  Глазу покупатели есть за что зацепиться.
[00:11:08 --> 00:11:22]  Вотето на ключок.
[00:11:22 --> 00:11:25]  Верёчка, мы не будем вязать.
[00:11:25 --> 00:11:27]  Давайте один в речке подвяжем.
[00:11:27 --> 00:11:29]  Вон другой, просто на ключок.
[00:11:29 --> 00:11:31]  Покажем разные варианты.
[00:11:31 --> 00:11:32]  Так.
[00:11:32 --> 00:11:33]  Сразу же.
[00:11:33 --> 00:11:34]  Сразу же.
[00:11:34 --> 00:11:35]  Сразу же.
[00:11:35 --> 00:11:36]  Чего же у вас происходит?
[00:11:36 --> 00:11:37]  Да.
[00:11:37 --> 00:11:38]  Чего?
[00:11:38 --> 00:11:39]  Я лучше захватить?
[00:11:39 --> 00:11:40]  Конечно.
[00:11:40 --> 00:11:41]  Все помыть.
[00:11:41 --> 00:11:42]  Все захватаны.
[00:11:50 --> 00:11:51]  Шпагат.
[00:11:51 --> 00:11:54]  Это очень декоративная.
[00:11:54 --> 00:11:58]  Получается, когда увязанная мяса получает очень красиво.
[00:11:59 --> 00:12:03]  Надо конечно поводить.
[00:12:03 --> 00:12:06]  Но оно того стоит.
[00:12:06 --> 00:12:09]  И способов у всех разное.
[00:12:18 --> 00:12:22]  Беретянут, конечно, свой шик, куда вы продался.
[00:12:22 --> 00:12:25]  Это придает ей такую craft.
[00:12:25 --> 00:12:26]  А в то есть.
[00:12:26 --> 00:12:27]  Ремесенность.
[00:12:27 --> 00:12:28]  Ремесленная.
[00:12:28 --> 00:12:31]  Завидно, что это ручная работа.
[00:12:31 --> 00:12:34]  Маши машины таких, я так понимаю, не бывает.
[00:12:34 --> 00:12:37]  В томонечке.
[00:12:37 --> 00:12:39]  Все-таки.
[00:12:39 --> 00:12:42]  Так.
[00:12:42 --> 00:12:44]  Прямо получать.
[00:12:44 --> 00:12:46]  Из этой петельку ящу накручу подвяжу.
[00:12:46 --> 00:12:48]  Лучше прямо под петель.
[00:12:48 --> 00:12:49]  Попите.
[00:12:49 --> 00:12:51]  Что бы она не будет.
[00:12:51 --> 00:12:52]  Так.
[00:12:52 --> 00:12:54]  Все у нас кусочек корреки.
[00:12:54 --> 00:12:56]  Вот такой шикарный.
[00:12:56 --> 00:12:59]  Мы можем его целиком роман.
[00:12:59 --> 00:13:00]  Как что-то.
[00:13:00 --> 00:13:03]  Целиком мы его положим на...
[00:13:03 --> 00:13:04]  Давайте тоже один.
[00:13:04 --> 00:13:05]  И делаем.
[00:13:05 --> 00:13:06]  Пополам.
[00:13:06 --> 00:13:08]  А эти кусочки уже помалники.
[00:13:08 --> 00:13:09]  Как ему сделаем.
[00:13:09 --> 00:13:10]  А.
[00:13:10 --> 00:13:11]  Я поняла.
[00:13:11 --> 00:13:13]  Как обычно вы делали.
[00:13:13 --> 00:13:15]  Нет, вот это лучше целиком.
[00:13:15 --> 00:13:16]  Хорошо.
[00:13:16 --> 00:13:19]  Она в принципе быстро прогреться.
[00:13:19 --> 00:13:20]  Сколько час-два-сидит.
[00:13:20 --> 00:13:21]  Вот там.
[00:13:21 --> 00:13:23]  Я могу истное пополам его.
[00:13:23 --> 00:13:24]  Давайте помал.
[00:13:24 --> 00:13:26]  У нас потом в итоге были.
[00:13:26 --> 00:13:28]  Болиудовные куски.
[00:13:28 --> 00:13:30]  Мы его на сетку или подвешивать.
[00:13:30 --> 00:13:31]  Закречу будем.
[00:13:31 --> 00:13:32]  Его на сетку.
[00:13:32 --> 00:13:33]  Угу.
[00:13:37 --> 00:13:38]  Все.
[00:13:40 --> 00:13:41]  Кусно.
[00:13:45 --> 00:13:46]  За самой удобной на сфете.
[00:13:46 --> 00:13:47]  Фану этого.
[00:13:47 --> 00:13:48]  Да.
[00:13:48 --> 00:13:51]  Кстати, это тоже фишка.
[00:13:51 --> 00:13:54]  Это не надо мудрить искать какое-то там.
[00:13:54 --> 00:13:57]  Крутое оборудование дорого стоящая.
[00:13:57 --> 00:14:00]  Ну, очень многие не понимают процессы.
[00:14:00 --> 00:14:04]  Начинают сами себе ставить препятствия и усложнять.
[00:14:04 --> 00:14:05]  Вот.
[00:14:05 --> 00:14:07]  То есть для того, чтобы начать,
[00:14:07 --> 00:14:12]  в общем-то не нужно искать каких-то дополнительных
[00:14:12 --> 00:14:15]  вспомогательных там механизмов.
[00:14:15 --> 00:14:16]  Так далее.
[00:14:16 --> 00:14:17]  Все просто.
[00:14:17 --> 00:14:21]  Это просто кондуктор, чтобы у нас мясо пополы все-таки.
[00:14:21 --> 00:14:25]  А дальше мы роман не нужно помочь.
[00:14:25 --> 00:14:27]  Назовязываем это все.
[00:14:27 --> 00:14:28]  Тихо.
[00:14:28 --> 00:14:31]  Мы сначала срежите и завяжем.
[00:14:31 --> 00:14:32]  Нас еще один.
[00:14:32 --> 00:14:34]  Вот это у нас ролика.
[00:14:34 --> 00:14:35]  Вот.
[00:14:35 --> 00:14:36]  Мы ее делали.
[00:14:36 --> 00:14:38]  И мы срежим.
[00:14:38 --> 00:14:39]  И мы срежим.
[00:14:39 --> 00:14:40]  И мы срежим.
[00:14:40 --> 00:14:41]  И мы срежим.
[00:14:41 --> 00:14:42]  И мы срежим.
[00:14:42 --> 00:14:43]  И мы срежим.
[00:14:43 --> 00:14:44]  И мы срежим.
[00:14:44 --> 00:14:45]  Вот.
[00:14:45 --> 00:14:46]  Мы ее делаем без шкурки.
[00:14:46 --> 00:14:48]  Ну, сейчас.
[00:14:48 --> 00:14:51]  А вообще можно сделать наш курки.
[00:14:51 --> 00:14:53]  Ну просто она передняя.
[00:14:53 --> 00:14:55]  Наш курки лучше делать задняя.
[00:14:55 --> 00:15:01]  А ее подругом и не собрать кроме как варех.
[00:15:01 --> 00:15:04]  Но это самое вкусное мясо между прочим.
[00:15:04 --> 00:15:05]  Да?
[00:15:05 --> 00:15:06]  Да.
[00:15:06 --> 00:15:07]  Вы говорили.
[00:15:07 --> 00:15:08]  Грудимка.
[00:15:08 --> 00:15:11]  Грудимка тоже.
[00:15:14 --> 00:15:15]  Сменивычный.
[00:15:15 --> 00:15:18]  Что сейчас делаете?
[00:15:18 --> 00:15:20]  Ты не так.
[00:15:20 --> 00:15:22]  Что сейчас делаете?
[00:15:22 --> 00:15:23]  Ты не так.
[00:15:23 --> 00:15:24]  Сменивычный.
[00:15:24 --> 00:15:26]  Я просто делаю.
[00:15:26 --> 00:15:28]  Ну, зачищаю всякие штуки.
[00:15:28 --> 00:15:31]  Так что, что бы они нам не портили.
[00:15:31 --> 00:15:32]  И ты все.
[00:15:32 --> 00:15:33]  Мы просто бжевалась лучше.
[00:15:33 --> 00:15:35]  А си не наживаются вся.
[00:15:35 --> 00:15:36]  Всегда.
[00:15:36 --> 00:15:37]  Она мягкая.
[00:15:37 --> 00:15:38]  Ага.
[00:15:38 --> 00:15:39]  Вот это.
[00:15:39 --> 00:15:40]  Вот это.
[00:15:40 --> 00:15:41]  Она мягкая.
[00:15:41 --> 00:15:44]  Вот это все.
[00:15:44 --> 00:15:48]  У нас включая шметков превращается варех.
[00:15:48 --> 00:15:49]  Вот.
[00:15:49 --> 00:15:55]  А человек, который не знает, что с этим делается на кармилку собаку.
[00:15:55 --> 00:15:57]  А тут целый килограмм шест.
[00:15:57 --> 00:15:58]  Сот рублей.
[00:15:58 --> 00:16:05]  Шейку мы тоже за каптим на решотке.
[00:16:05 --> 00:16:07]  Прям на решетку положим.
[00:16:07 --> 00:16:08]  Да.
[00:16:09 --> 00:16:10]  Вот такое.
[00:16:10 --> 00:16:12]  У нас получился орешек.
[00:16:12 --> 00:16:13]  Вот.
[00:16:13 --> 00:16:16]  Сейчас посмотрим, что из него так и получится.
[00:16:16 --> 00:16:17]  Вот.
[00:16:17 --> 00:16:18]  Вот.
[00:16:18 --> 00:16:19]  Вот.
[00:16:19 --> 00:16:20]  Вот.
[00:16:20 --> 00:16:21]  Вот.
[00:16:21 --> 00:16:22]  Да.
[00:16:22 --> 00:16:23]  Гординку.
[00:16:23 --> 00:16:24]  На решотку.
[00:16:24 --> 00:16:25]  Это шейл.
[00:16:25 --> 00:16:26]  Да.
[00:16:26 --> 00:16:27]  Шейл.
[00:16:27 --> 00:16:28]  Он целиком должен на сетку.
[00:16:28 --> 00:16:29]  Вот и оно.
[00:16:29 --> 00:16:31]  Это самая дорогая часть.
[00:16:31 --> 00:16:33]  Или как-то сная в свинне.
[00:16:35 --> 00:16:36]  Пока вот цене.
[00:16:36 --> 00:16:37]  Другие части мяса.
[00:16:37 --> 00:16:39]  Сынной полудушек.
[00:16:39 --> 00:16:40]  И родные делик готового.
[00:16:40 --> 00:16:41]  Потом.
[00:16:41 --> 00:16:42]  Капчаного реновидия.
[00:16:42 --> 00:16:43]  Лабатка.
[00:16:43 --> 00:16:44]  Сложки, солулька.
[00:16:44 --> 00:16:45]  Такой шанок.
[00:16:45 --> 00:16:46]  Все-точки.
[00:16:46 --> 00:16:48]  Там как правила.
[00:16:48 --> 00:16:50]  Ну, то что в магазинах мы видим.
[00:16:50 --> 00:16:52]  Там в основном карбанат.
[00:16:52 --> 00:16:54]  Шейя и Грудинка.
[00:16:54 --> 00:16:56]  Укрывы иногда.
[00:16:56 --> 00:16:59]  Вот это там, в вские, задороденными кусками.
[00:16:59 --> 00:17:01]  Это всё начинается от 7-й сотру рублей.
[00:17:01 --> 00:17:03]  Даже дороже, чем шейполча.
[00:17:03 --> 00:17:05]  Даже дороже, чем Грудинка получится.
[00:17:05 --> 00:17:06]  А мы дешёвать, правда?
[00:17:06 --> 00:17:09]  А, то есть получается, мы считая еще понижные планки.
[00:17:09 --> 00:17:10]  То есть мы когда-то видеть, что-то не было.
[00:17:10 --> 00:17:11]  Зачем мы подгоните?
[00:17:11 --> 00:17:14]  Зачем мы водить людей в воздения?
[00:17:14 --> 00:17:15]  В воздения.
[00:17:15 --> 00:17:16]  Кань.
[00:17:16 --> 00:17:20]  То есть, реально заработать, если вы продаете 50 килограмм готовы продукты,
[00:17:20 --> 00:17:21]  может быть выше.
[00:17:21 --> 00:17:22]  Может быть выше, да?
[00:17:22 --> 00:17:23]  Да.
[00:17:23 --> 00:17:26]  Мы подготовили цельно мышечное.
[00:17:26 --> 00:17:28]  То есть куски мяса.
[00:17:28 --> 00:17:29]  Капчейнюю счастье.
[00:17:29 --> 00:17:31]  Мы займемся подготовкой колбас.
[00:17:31 --> 00:17:32]  Оточнее.
[00:17:32 --> 00:17:34]  Мы сначала сделаем фарш.
[00:17:34 --> 00:17:36]  Потом мы его набьем в колбас.
[00:17:36 --> 00:17:39]  Катина, раскрыть, и просто немножко про колбас.
[00:17:39 --> 00:17:40]  Но че его.
[00:17:40 --> 00:17:43]  То есть, какого калибром, и сегодня ее будем использовать.
[00:17:43 --> 00:17:44]  Чью че его.
[00:17:44 --> 00:17:46]  И как ее подготовлять.
[00:17:46 --> 00:17:50]  Потому что я помню, в рассказывале о том, что люди усложняют себе жизнь
