[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:08:40 --> 00:08:42]  Я его подумаю еще, я его покажу.
[00:08:42 --> 00:08:45]  И он сейчас работает на 30% на своем мощности.
[00:08:45 --> 00:08:48]  В высасовой этой зэпы из этогоентиляционного короба
[00:08:48 --> 00:08:50]  и высасовую зэпы.
[00:08:50 --> 00:08:53]  По хорошему, вот эту камеру тоже нужно подключить такому.
[00:08:53 --> 00:08:55]  Вентиляционного занту.
[00:08:55 --> 00:08:59]  Но у нас этот зон, таили клиенту.
[00:08:59 --> 00:09:03]  И за вами подключивает в камеру нашим нашим тестом.
[00:09:03 --> 00:09:05]  С помощью такого патра.
[00:09:05 --> 00:09:07]  И как мы видим, из этого патра,
[00:09:07 --> 00:09:10]  по нему, речку конденцат, вот так вот стекает,
[00:09:10 --> 00:09:11]  и попадает вот сюда.
[00:09:11 --> 00:09:15]  То есть, результат нашего неправильно подключения.
[00:09:15 --> 00:09:17]  То есть, нужно делать таким образом,
[00:09:17 --> 00:09:20]  чтобы вот эти все соединения были герметичны.
[00:09:20 --> 00:09:24]  И чтобы если конденцат, какой-то образовывается у нас в трубе,
[00:09:24 --> 00:09:28]  чтобы он обязательно стекал либо обратно в камеру,
[00:09:28 --> 00:09:30]  либо в конденцата сборник.
[00:09:30 --> 00:09:34]  Так вот так вот, например, вот такой конденцата сборник.
[00:09:34 --> 00:09:38]  И если бы это камера, у нас в горячего общения в образововой
[00:09:38 --> 00:09:42]  пар и дым вот в этот вот миллционный зон.
[00:09:42 --> 00:09:46]  В этот миллционный зон забирал бы дым и самая камера и с помещения.
[00:09:46 --> 00:09:50]  И образующаяся конденцата, он пластекал в одном месте.
[00:09:50 --> 00:09:53]  И вот в этом вместе мы бы подключили,
[00:09:53 --> 00:09:57]  к анализации, и все это у нас правильно удалился конализацию.
[00:09:57 --> 00:09:59]  Слушайте, мы это не сделали.
[00:09:59 --> 00:10:02]  Вот, у нас получается вот такая вот история.
[00:10:02 --> 00:10:05]  Вот это, как бы важно учесть,
[00:10:05 --> 00:10:09]  будет обключение вашей камеры системе вентиляции.
[00:10:09 --> 00:10:11]  Сейчас идет активное копчение.
[00:10:11 --> 00:10:13]  В нашем тестом цигует можно посмотреть,
[00:10:13 --> 00:10:17]  сколько дыма собственно у нас выходит из трубы,
[00:10:17 --> 00:10:20]  вот которая у нас собственно у нас выходит из дым.
[00:10:20 --> 00:10:22]  Затископерин.
[00:10:22 --> 00:10:27]  Ждим, особо у нас не виден прикобщение.
[00:10:27 --> 00:10:32]  Ну вот и вокруг дыма мне пахнет.
[00:10:32 --> 00:10:37]  Рекну, что у нас, наш кусочек варится в 105 минут уже температура
[00:10:37 --> 00:10:40]  продукт в семье, стать им градусом.
[00:10:40 --> 00:10:42]  Я думаю, что в течение там одной двух минут,
[00:10:42 --> 00:10:44]  когда за ее до 72 минут,
[00:10:44 --> 00:10:47]  мы это идем температура продукты плавно,
[00:10:47 --> 00:10:53]  плавно, а стремится на сверх влажность у нас в основном выше 90 процентов,
[00:10:53 --> 00:10:57]  температура в таймере нас стабильно 8,72 градусов.
[00:10:57 --> 00:11:00]  Ну вот, мы сейчас ждем,
[00:11:00 --> 00:11:02]  и по поводу у нас строительные пара генерации.
[00:11:02 --> 00:11:05]  Мы вот и остановились по проболе
[00:11:05 --> 00:11:09]  одна секунда импульса 16 секундами паузы.
[00:11:09 --> 00:11:11]  У нас влажность немножко упала на 2%
[00:11:11 --> 00:11:13]  мы вернули на 14,
[00:11:13 --> 00:11:16]  и вот это для нашу удовлетней системе
[00:11:16 --> 00:11:18]  оптимальные пара герой.
[00:11:18 --> 00:11:20]  Один раз мы их выстрелили и постоянно
[00:11:20 --> 00:11:23]  теперь камера будет подавать воду
[00:11:23 --> 00:11:25]  с оптимальными парами, когда того чтобы и вашу
[00:11:25 --> 00:11:29]  с голову к саму максимальной, чтобы здесь много воды не лили.
[00:11:29 --> 00:11:32]  А из хранщика у нас 150 мл.
[00:11:32 --> 00:11:34]  Мы видим маленькая стручка.
[00:11:34 --> 00:11:38]  Это оправная пара генерация,
[00:11:38 --> 00:11:39]  оправная эта танца,
[00:11:39 --> 00:11:40]  оправная пара поисходит у нас.
[00:11:40 --> 00:11:43]  Вот и вот из будет у нас,
[00:11:43 --> 00:11:45]  они могут снимать.
[00:11:45 --> 00:11:47]  И увидимся в руках воду уже чизная.
[00:11:47 --> 00:11:50]  Камера прослесил адки самосипед уже промывод.
[00:11:50 --> 00:11:53]  Ну вот, мы создался к каждому из звонок.
[00:11:53 --> 00:11:55]  Падим на женой хубку.
[00:11:55 --> 00:11:57]  На красном назеленной.
[00:11:57 --> 00:11:58]  Все завершить.
[00:11:58 --> 00:12:00]  Все у нас процесс завершился.
[00:12:00 --> 00:12:02]  Открывайте камеру,
[00:12:02 --> 00:12:04]  посмотрим сколько пар у нас внутри.
[00:12:04 --> 00:12:06]  Давай, открывай.
[00:12:06 --> 00:12:09]  Вот и шпоследно, ввеска.
[00:12:12 --> 00:12:15]  И все ромовы, немного перегавтили видеть.
[00:12:15 --> 00:12:18]  Сочет, перегавтили сведных отель,
[00:12:18 --> 00:12:20]  посвятые, я сделаю титром.
[00:12:20 --> 00:12:22]  Все взялся, можно было как дирги паскать,
[00:12:22 --> 00:12:24]  минута паскать.
[00:12:24 --> 00:12:26]  Вот видишь.
[00:12:26 --> 00:12:29]  Вони мы уже упольшой,
[00:12:29 --> 00:12:32]  потому что важно не столько стильный цвет,
[00:12:32 --> 00:12:35]  сколько ароматик.
[00:12:37 --> 00:12:39]  Может чуть-чуть посвят лет.
[00:12:41 --> 00:12:42]  Просто злоцай.
[00:12:42 --> 00:12:43]  Хорошо.
[00:12:52 --> 00:12:54]  Можно, знаешь, проедрение делать.
[00:12:54 --> 00:12:57]  То есть, что у нас это и, что вперед в парк.
[00:13:00 --> 00:13:02]  Давай, доставай еще.
[00:13:09 --> 00:13:11]  Вот, вот.
[00:13:17 --> 00:13:18]  Все, так как надо.
[00:13:19 --> 00:13:21]  Мы создали нашу сриенки остыть.
[00:13:21 --> 00:13:24]  Вот так у нас получается рисунок,
[00:13:24 --> 00:13:25]  от мелкой сетки.
[00:13:26 --> 00:13:28]  Сейчас мы коптиваем на мелкой сетки.
[00:13:28 --> 00:13:31]  Мы сейчас оттарировали келодвести шизнус,
[00:13:31 --> 00:13:33]  получилась стара.
[00:13:33 --> 00:13:34]  Чего-то.
[00:13:34 --> 00:13:37]  Роск, приступим, может, подреть.
[00:13:40 --> 00:13:42]  Вот там еще там кожа.
[00:13:42 --> 00:13:44]  Хорошо, я шерок у нас.
[00:13:45 --> 00:13:46]  Сейчас здесь шизнус,
[00:13:46 --> 00:13:48]  135, чистого вес.
[00:13:49 --> 00:13:50]  После копчения-то не помнишь,
[00:13:50 --> 00:13:52]  сколько у вас было изначально.
[00:13:52 --> 00:13:53]  Сносам начнеговорил.
[00:13:56 --> 00:13:59]  И сейчас, на 15 было 5, 6.
[00:13:59 --> 00:14:00]  5, 6.
[00:14:00 --> 00:14:01]  5, 6.
[00:14:01 --> 00:14:02]  Мясо.
[00:14:02 --> 00:14:04]  Мы потом делаем инъекцию.
[00:14:05 --> 00:14:08]  То есть, сейчас, даже больше у нас получает,
[00:14:08 --> 00:14:10]  чем изначально было мясо.
[00:14:10 --> 00:14:12]  Натрица процентов.
[00:14:12 --> 00:14:14]  А на 30% на ктиру.
[00:14:14 --> 00:14:16]  И получилась на ктиру.
[00:14:16 --> 00:14:18]  Натрица процентов.
[00:14:18 --> 00:14:21]  То есть у нас, по сути, сейчас небольшая прибавка
[00:14:21 --> 00:14:23]  к весу по сатерому обработке.
[00:14:24 --> 00:14:26]  Приставые потери.
[00:14:27 --> 00:14:29]  То есть, было нас.
[00:14:33 --> 00:14:34]  59.
[00:14:34 --> 00:14:35]  У кого 59.
[00:14:35 --> 00:14:38]  Сейчас, мы после готовки, 6, 135.
[00:14:38 --> 00:14:40]  Вот, сейчас, на связи, посмотрите, что он получилась.
[00:14:42 --> 00:14:44]  На где-то к родине у нас.
[00:14:53 --> 00:14:56]  Вон, что мы и не хиловали на 30%.
[00:14:56 --> 00:14:59]  И изгодочные водинисты с ним, мы здесь не видим.
[00:14:59 --> 00:15:01]  Звинисты, что получился сочный.
[00:15:01 --> 00:15:05]  Но он не избыточный, но не сочный,
[00:15:05 --> 00:15:07]  такой как прямо от вода, а валедный с него.
[00:15:07 --> 00:15:09]  Ну, он еще подознанет.
[00:15:09 --> 00:15:10]  Да, еще подознанет.
[00:15:10 --> 00:15:12]  Ну, еще подознанет.
[00:15:12 --> 00:15:14]  Ну, еще подознанет.
[00:15:14 --> 00:15:15]  Да, еще подознанет.
[00:15:15 --> 00:15:16]  Что пока чё?
[00:15:16 --> 00:15:19]  Ну, я же мы вели тервали лишь только.
[00:15:19 --> 00:15:21]  Не с ней слави.
[00:15:21 --> 00:15:23]  Са, как, с прочего, с пустой просоленом.
[00:15:23 --> 00:15:25]  Посмотрим, как, как, как, как, как, как.
[00:15:28 --> 00:15:31]  Но мы все возглажды, не прекрасно нет.
[00:15:38 --> 00:15:39]  Ну, пробуй.
[00:15:39 --> 00:15:40]  А ты посмотри.
[00:15:40 --> 00:15:41]  Ну, что, какой-то.
[00:15:43 --> 00:15:45]  Ничего, какой-то.
[00:15:45 --> 00:15:48]  Ну, не посолен, нравится.
[00:15:48 --> 00:15:51]  Не пересолен, но чуть-чуть соли чувствуется.
[00:15:51 --> 00:15:52]  Это достаточно.
[00:15:52 --> 00:15:54]  Соль чувствуется, что я должна чувствовать.
[00:15:54 --> 00:15:57]  Она есть, абсолютно непересолен,
[00:15:57 --> 00:15:58]  но не до соли.
[00:15:58 --> 00:15:59]  Очень нежно.
[00:15:59 --> 00:16:01]  А шкурка.
[00:16:01 --> 00:16:02]  А абсолютно мягкая.
[00:16:02 --> 00:16:04]  То есть, можно живопец.
[00:16:04 --> 00:16:05]  Вашкурка, да.
[00:16:05 --> 00:16:06]  Ну, конечно, живопец.
[00:16:06 --> 00:16:08]  Действительно, тем, что мы её суть,
[00:16:08 --> 00:16:09]  в правилье с паром,
[00:16:09 --> 00:16:11]  прогрели перед кучением.
[00:16:12 --> 00:16:14]  Уже была тепла, размягченная.
[00:16:14 --> 00:16:15]  И она абсолютно.
[00:16:15 --> 00:16:17]  Живется хорошо, да.
[00:16:17 --> 00:16:20]  Отдимная кольцо, да, про который ты говорила, как раз.
[00:16:20 --> 00:16:21]  Ну, все, да.
[00:16:21 --> 00:16:22]  Да.
[00:16:22 --> 00:16:24]  У нас здесь образовалась куручка.
[00:16:24 --> 00:16:26]  Так это уже надо быть.
[00:16:26 --> 00:16:28]  Что я буду видеть?
[00:16:28 --> 00:16:29]  Чего?
[00:16:29 --> 00:16:31]  Сухая снаружи.
[00:16:31 --> 00:16:32]  Снаружи?
[00:16:32 --> 00:16:33]  Вот.
[00:16:33 --> 00:16:34]  Нережно.
[00:16:34 --> 00:16:35]  Солюдная.
[00:16:35 --> 00:16:36]  Закрыто.
[00:16:36 --> 00:16:39]  Ты там, да, да, да, да, да, да, да, да, да, да, да, да.
[00:16:39 --> 00:16:41]  Уже, да, да, да, да.
[00:16:41 --> 00:16:42]  Сдержит.
[00:16:42 --> 00:16:43]  Что мы?
[00:16:49 --> 00:16:51]  Вот он, ты его получаешь запечатанную?
[00:16:51 --> 00:16:52]  Да.
[00:16:52 --> 00:16:54]  Подсушеного, ты его от крепким дымным кольцом.
[00:16:54 --> 00:16:55]  Да.
[00:16:55 --> 00:16:56]  Крепки.
[00:17:03 --> 00:17:04]  Крепанычик.
[00:17:04 --> 00:17:06]  Ну, все, вот, вот, вот, вот, вот.
[00:17:07 --> 00:17:11]  Как про, про, про-краски, по сравнению с нейтридной скуля.
[00:17:11 --> 00:17:12]  Что?
[00:17:12 --> 00:17:13]  Да, да, да.
[00:17:13 --> 00:17:14]  Нормально.
[00:17:14 --> 00:17:15]  Нормально.
[00:17:15 --> 00:17:16]  Нормально.
[00:17:17 --> 00:17:19]  Нормально, я утечен.
[00:17:19 --> 00:17:20]  Угу.
[00:17:20 --> 00:17:22]  Зманит, вот.
[00:17:28 --> 00:17:29]  Смесь одна да, да.
[00:17:29 --> 00:17:30]  Да, да, да.
[00:17:30 --> 00:17:32]  Взвисим一次 от шерности.
[00:17:32 --> 00:17:34]  Вот.
[00:17:34 --> 00:17:38]  частью души, вот свойств мяса этой частью души.
[00:17:38 --> 00:17:40]  Вот у нас слева направо.
[00:17:40 --> 00:17:45]  На скарбанад, грудинка и мукра.
[00:17:50 --> 00:17:52]  Это у нас самая родивка один кусочек.
[00:17:53 --> 00:17:54]  Вот так.
[00:17:54 --> 00:17:56]  И это у нас его полкоро.
[00:17:56 --> 00:17:58]  Коже, два кусочек.
[00:17:58 --> 00:18:01]  Но скарбанатика, три кусочек.
[00:18:01 --> 00:18:04]  Самый мой у вас требованный продукт.
[00:18:06 --> 00:18:09]  Ну, технологию, работа, нет.
[00:18:09 --> 00:18:11]  Что?
