[00:00:00 --> 00:00:08]  Здравствуйте дорогие друзья!
[00:06:26 --> 00:06:28]  Вот так вот.
[00:06:28 --> 00:06:29]  Возьмите.
[00:06:31 --> 00:06:32]  Возьмите еще.
[00:06:32 --> 00:06:34]  Возьмите еще.
[00:06:35 --> 00:06:37]  Вот так.
[00:06:38 --> 00:06:40]  Старим на костюр.
[00:06:40 --> 00:06:43]  И даем рыбки.
[00:06:43 --> 00:06:46]  По стоять в таком состоянии, где-то.
[00:06:46 --> 00:06:48]  И ночь 10.
[00:06:48 --> 00:06:49]  Так.
[00:06:49 --> 00:06:50]  Ну что.
[00:06:50 --> 00:06:52]  Прошло.
[00:06:52 --> 00:06:53]  Может быть 10 минут.
[00:06:53 --> 00:06:55]  Давайте откроем.
[00:06:55 --> 00:06:57]  Посмотрим.
[00:06:57 --> 00:06:59]  Вот видите.
[00:06:59 --> 00:07:01]  Одна немножко раскрыл.
[00:07:01 --> 00:07:02]  Смотрите, что страшно.
[00:07:02 --> 00:07:03]  Дым есть.
[00:07:03 --> 00:07:05]  Додим немножко подышать.
[00:07:05 --> 00:07:07]  И теперь для того, что будет.
[00:07:07 --> 00:07:10]  Оно уже начало готовиться.
[00:07:10 --> 00:07:12]  Надо немножко нам пасть,
[00:07:12 --> 00:07:14]  уже сделать активнее.
[00:07:14 --> 00:07:18]  Это лучше, чтобы дым начал активно удержаться.
[00:07:18 --> 00:07:20]  Пасть, чтобы начало верить активно.
[00:07:20 --> 00:07:22]  Сейчас немножко подправим.
[00:07:22 --> 00:07:25]  И будем сюда.
[00:07:25 --> 00:07:26]  Вот.
[00:07:32 --> 00:07:34]  Бекто насти.
[00:07:34 --> 00:07:37]  Ну, подготовности в среднем, как я рыба.
[00:07:37 --> 00:07:39]  Он теперь готовится.
[00:07:39 --> 00:07:40]  Где-то.
[00:07:40 --> 00:07:42]  Ну, за 30.
[00:07:42 --> 00:07:44]  Ну, максимум 40.
[00:07:44 --> 00:07:45]  Ну.
[00:07:45 --> 00:07:46]  До сихая время.
[00:07:46 --> 00:07:47]  И ждем результат.
[00:07:48 --> 00:07:50]  Ну вот такой должен быть приблизительно.
[00:07:50 --> 00:07:51]  Вот такой.
[00:07:51 --> 00:07:53]  Как вы сейчас видите.
[00:07:53 --> 00:07:58]  То есть должно активно подогреваться одно
[00:07:58 --> 00:08:00]  до того, чтобы пилочки наши горельные.
[00:08:00 --> 00:08:02]  И соответственно, это уже вот видите.
[00:08:02 --> 00:08:05]  Спокойшки немножко идёт дым.
[00:08:05 --> 00:08:09]  Еще отдельно хотелось бы остановиться на реправе,
[00:08:09 --> 00:08:10]  который мы используем.
[00:08:10 --> 00:08:13]  Я не знаю, почему-то я вот выбрал именно ее.
[00:08:13 --> 00:08:16]  Производители FullCouSmaster.
[00:08:16 --> 00:08:19]  Я не в том случае не рекламирую брать.
[00:08:19 --> 00:08:21]  Я не знаю, почему-то мне очень понравилось.
[00:08:22 --> 00:08:24]  Я сделал в том, что получается так, что здесь.
[00:08:26 --> 00:08:28]  15 грамм смеси.
[00:08:28 --> 00:08:31]  Но это смесь сразу.
[00:08:34 --> 00:08:38]  Однал по кетах, хватает побесительно 2-3 килограммовое рыбное филе.
[00:08:38 --> 00:08:42]  То есть, на пусть мы можете если его любить чуть по салюне используют
[00:08:42 --> 00:08:44]  на 2 килограммов целую пачку.
[00:08:44 --> 00:08:47]  Если более такое.
[00:08:47 --> 00:08:53]  Чем менее соленое, тогда чуть не хуй.
[00:08:53 --> 00:08:54]  Вот.
[00:08:54 --> 00:08:58]  Состав и эти поларенные соли, горчичный по-ошелк, перец черный,
[00:08:58 --> 00:09:01]  у коб, кариандер, кмин, перец душист.
[00:09:01 --> 00:09:04]  Прости, как раз, все эти приправы,
[00:09:04 --> 00:09:07]  которые необходимо для нормальной засолки рыбы.
[00:09:07 --> 00:09:12]  И вот припомощи это приправа, очень получается именно соленое.
[00:09:12 --> 00:09:15]  Сильт.
[00:09:16 --> 00:09:20]  И припомощи это приправа, но нам я пытаюсь салить с кумбрию.
[00:09:20 --> 00:09:22]  Потому что очень вкусно получается.
[00:09:22 --> 00:09:27]  И самое главное, вот покупая именно 2,5 килограммов.
[00:09:27 --> 00:09:32]  Рыбы используют целую пачку, но его даже не считают.
[00:09:32 --> 00:09:34]  Досолил и не досолил.
[00:09:34 --> 00:09:38]  Пересолил, и даже два дня, и вот, приемспе, даже день.
[00:09:38 --> 00:09:42]  Не рыбу уже засоленом, готова прилетал, где я не всубил на скандер.
[00:09:43 --> 00:09:44]  Так что вам рекомендую.
[00:09:44 --> 00:09:47]  Кусмасты, производители, Россия.
[00:09:47 --> 00:09:50]  Сейчас мы сфоттаются, вкусираются.
[00:09:50 --> 00:09:55]  Вот. Рассия, шелкового импортера, так далее.
[00:09:55 --> 00:10:00]  Так что рекомендую вам именно эту приправу.
[00:10:00 --> 00:10:03]  Ну что, дорогие друзья, ну вот прошло приблизительно.
[00:10:03 --> 00:10:07]  Ну, полчаса, может, не тридцать, давайте откроем посмотрим.
[00:10:07 --> 00:10:10]  Какая красота.
[00:10:10 --> 00:10:13]  Ну, я честно говоря, думаю, что их надо уже достать,
[00:10:13 --> 00:10:18]  потому что если еще немножко надежим, то он не возможно.
[00:10:18 --> 00:10:21]  Ну же, оно пересохнет на костре.
[00:10:21 --> 00:10:24]  Поэтому давайте.
[00:10:26 --> 00:10:27]  Я сниму.
[00:10:40 --> 00:10:43]  Так, он готов, и закроем.
[00:10:48 --> 00:10:53]  Ну что, а то, что, если это красота получилось, еще не немножко угольки,
[00:10:53 --> 00:10:55]  не забирают.
[00:10:55 --> 00:10:58]  Все, теперь даем немножко я встать.
[00:10:58 --> 00:11:00]  Скажем так.
[00:11:02 --> 00:11:05]  Ну вместе с коптилкой.
[00:11:05 --> 00:11:10]  Непотрескается сама кожа, и будем пробовать.
[00:11:10 --> 00:11:13]  Так что, не перебучать.
[00:11:15 --> 00:11:19]  Ну вот, дорогие друзья, закончился процесс копчения.
[00:11:19 --> 00:11:21]  Я достал это все из коптилки.
[00:11:21 --> 00:11:27]  Ну, и, наверное, надо сейчас будет совместно попробовать на тебе.
[00:11:28 --> 00:11:30]  Давайте раздербаем.
[00:11:30 --> 00:11:34]  Вот этот кусочек он мне кажется будет точно готовый.
[00:11:34 --> 00:11:36]  Кусенька.
[00:11:36 --> 00:11:38]  Видео, колетно.
[00:11:38 --> 00:11:41]  Вот, самое главное, что мы...
[00:11:41 --> 00:11:43]  Соль, что надо.
[00:11:43 --> 00:11:44]  Соль, то, что надо.
[00:11:44 --> 00:11:49]  И самое главное, она осталась сочной, не просушены.
[00:11:49 --> 00:11:52]  И, наверное, думаю, что самое вкусно будет, если у тебя есть половинки.
[00:11:52 --> 00:11:56]  Вот так что, дорогие друзья, кому понравилось,
[00:11:56 --> 00:11:59]  и внешний вид ставим лайки.
[00:11:59 --> 00:12:02]  Подписываемся на наш канал в комментариях.
[00:12:02 --> 00:12:08]  Может, и добавлять в лице, которые бы вы хотите любить в кроме нашу шахарную копчения
[00:12:08 --> 00:12:10]  всех видов продуктов.
[00:12:10 --> 00:12:11]  Вот.
[00:12:11 --> 00:12:13]  Всем спасибо за просмотр.
[00:12:13 --> 00:12:15]  Всем приятной пяти-то, всем пока.
[00:12:26 --> 00:12:28]  Редактор субтитров А.
