[00:00:00 --> 00:00:02]  Ребята, всем привет!
[00:03:54 --> 00:03:56]  Еще какие-то приправки.
[00:03:56 --> 00:03:58]  И рыбу просто заливается этим раз солом.
[00:03:58 --> 00:04:01]  И также просолируется течение двухсуток.
[00:04:01 --> 00:04:04]  Мы решили вот таким способом сегодня социалить.
[00:04:05 --> 00:04:09]  Не знаю, когда мыть в возможную сделаем тоже с кумбры в мокран.
[00:04:09 --> 00:04:11]  В раз соли засолим.
[00:04:11 --> 00:04:13]  И сравним в каждом впечатления.
[00:04:13 --> 00:04:16]  Я думаю, что мы сомбуют один и тот же.
[00:04:16 --> 00:04:19]  Потому что все равно рыбу нас будет двое суток.
[00:04:19 --> 00:04:21]  Солеться в холодильнике.
[00:04:21 --> 00:04:24]  Мы поставим там пресс небольшой культатарелку с верхом.
[00:04:24 --> 00:04:27]  Я думаю, что она выдает 100-го раз соли.
[00:04:27 --> 00:04:29]  Она не будет сухой.
[00:04:29 --> 00:04:32]  Поэтому я думаю, с мыслом этого особого нету.
[00:04:32 --> 00:04:35]  Самое главное, что рыбу просолилась хорошо.
[00:04:35 --> 00:04:36]  Не жалеет соли.
[00:04:36 --> 00:04:38]  Налека, сколько соли.
[00:04:38 --> 00:04:40]  Но сегодняшняя влюда.
[00:04:40 --> 00:04:42]  Хотет жмани 10 соли.
[00:04:42 --> 00:04:44]  Причем большую.
[00:04:44 --> 00:04:47]  Последний рыбку сидмаю у нас на подходе.
[00:04:47 --> 00:04:49]  Да, соли.
[00:04:52 --> 00:04:54]  Я ручу пищу двух.
[00:05:03 --> 00:05:06]  Провняю укладываю, что все можно было.
[00:05:06 --> 00:05:08]  Прес какой-то поставить.
[00:05:10 --> 00:05:12]  Так нормально.
[00:05:14 --> 00:05:17]  Теперь можно с верхом еще чуть-чуть.
[00:05:17 --> 00:05:18]  Перочек.
[00:05:21 --> 00:05:23]  Пометло в рову листан.
[00:05:23 --> 00:05:33]  Все это все равно будет промываться.
[00:05:33 --> 00:05:37]  Поэтому ничего не соли не перца много не будет.
[00:05:37 --> 00:05:39]  Я оставшую все соли.
[00:05:39 --> 00:05:40]  У нас полпачки осталось.
[00:05:40 --> 00:05:43]  Прям смело сверху досыпаем.
[00:05:43 --> 00:05:49]  Чтобы рыбу все было покрыть соли.
[00:05:49 --> 00:05:53]  Теперь сверху.
[00:05:53 --> 00:05:55]  Теперь сверху.
[00:05:55 --> 00:05:57]  Какой не будет тарелочку.
[00:05:57 --> 00:05:59]  И банку с водой поставим.
[00:05:59 --> 00:06:01]  Все рыбу засавили.
[00:06:01 --> 00:06:03]  Накрываем блюдцам.
[00:06:03 --> 00:06:06]  Убираем кладеньк на 200.
[00:06:06 --> 00:06:08]  Челить 200.
[00:06:08 --> 00:06:12]  Прошло у нас полдорая дня.
[00:06:12 --> 00:06:14]  В общем, солить надо.
[00:06:14 --> 00:06:15]  Но не знаю.
[00:06:15 --> 00:06:17]  Если мелкая рыба и суток достаточно.
[00:06:17 --> 00:06:19]  У нас среднее.
[00:06:19 --> 00:06:21]  Поэтому полпор.
[00:06:21 --> 00:06:23]  Если крупный рыба.
[00:06:23 --> 00:06:25]  Конечно надо двое.
[00:06:25 --> 00:06:27]  Дожем быть крови.
[00:06:27 --> 00:06:31]  Чачательно все промываем от соли.
[00:06:31 --> 00:06:33]  Вон они были соленые.
[00:06:33 --> 00:06:37]  Огязательно внутри хорошо промыть надо.
[00:06:37 --> 00:06:40]  Собрет с наколудной водой.
[00:06:40 --> 00:06:42]  И так промываем все рыбу.
[00:06:42 --> 00:06:44]  Обязательно подпорточный холодный водой.
[00:06:44 --> 00:06:46]  Несмотря на чательно очень промываем.
[00:06:46 --> 00:06:48]  Особенно вбрюха.
[00:06:48 --> 00:06:50]  Все соли вымываем.
[00:06:50 --> 00:06:52]  Снизу сколько раз сола.
[00:06:52 --> 00:06:54]  Нужно смотреть.
[00:06:54 --> 00:06:56]  Смотрите.
[00:06:56 --> 00:06:58]  Итак промываем.
[00:06:58 --> 00:07:00]  И пойдем гараж коптить.
[00:07:00 --> 00:07:06]  И, отрешить, гараж угрожил нас склад рыба.
[00:07:06 --> 00:07:12]  Мену с 20 градусов.
[00:07:12 --> 00:07:14]  Вот принесли.
[00:07:14 --> 00:07:16]  У нас не было.
[00:07:16 --> 00:07:18]  Вон они не было.
[00:07:18 --> 00:07:20]  Вон они не было.
[00:07:20 --> 00:07:22]  Вон они не было.
[00:07:23 --> 00:07:26]  А то помыть.
[00:07:26 --> 00:07:28]  Вон они не было.
[00:07:28 --> 00:07:30]  И они не было.
[00:07:30 --> 00:07:31]  Вон они не было.
[00:07:31 --> 00:07:32]  Ну, мы посмотрим.
[00:07:32 --> 00:07:34]  Вон они не было.
[00:07:34 --> 00:07:36]  Вон они не было.
[00:07:36 --> 00:07:38]  Впринсип сука.
[00:07:38 --> 00:07:40]  Женые женые.
[00:07:40 --> 00:07:42]  И я помню.
[00:07:42 --> 00:07:44]  Вон они не было.
[00:07:44 --> 00:07:48]  И я думаю, что я вообще нас GUA в Н stitch.
[00:07:48 --> 00:07:53]  вратится, поэтому просто обмакнем бумажном плотенце и прислубим к обчению.
[00:07:53 --> 00:07:59]  Сейчас также сверху накроем, промакнем ее все, что сухая была.
[00:07:59 --> 00:08:03]  Потом можно даже каждую рыбу по отдельности.
[00:08:09 --> 00:08:13]  А у нас, как обычно, минутка пьяра, хотелось бы предпомендовать муказин.
[00:08:13 --> 00:08:17]  Удачная выбор, которым можете приобрести козанной печке.
[00:08:17 --> 00:08:21]  И многое другое для приготовления вкусные еды, как дома, так и надача.
[00:08:21 --> 00:08:27]  Самое главное, если вы скажите, что в этом хв видео получится скидку 5% с обычкой будет внизу в описании.
[00:08:27 --> 00:08:29]  И зайдите, посмотрите.
[00:08:29 --> 00:08:33]  Пока рыбу у нас обсахает, мы начнем подготовить к аптеню, к работе.
[00:08:33 --> 00:08:36]  К аптеть будем на льховую 4 сегодня.
[00:08:37 --> 00:08:38]  Чепал такая крупная.
[00:08:38 --> 00:08:40]  Поближе можно посмотреть.
[00:08:43 --> 00:08:45]  Используюсь будет где-то планино этого пакета.
[00:08:45 --> 00:08:48]  Здесь утобьем 3 кубическую до 3 метра.
[00:08:54 --> 00:08:55]  Драматаку даже до 6.
[00:08:56 --> 00:08:59]  3 пакет, ребята, 1 кубически до 3 метра.
[00:08:59 --> 00:09:00]  Проблизительно, здесь еще и куэн.
[00:09:00 --> 00:09:03]  Чепал крупная, ж быстро продарать не будет.
[00:09:03 --> 00:09:05]  Поэтому замачивать на рыбу.
[00:09:06 --> 00:09:08]  Но все, ставим поддон.
[00:09:10 --> 00:09:12]  А вернули его фальгой, чтобы жир капал.
[00:09:12 --> 00:09:13]  Ну, мыть у долгие потом будет.
[00:09:15 --> 00:09:20]  Теперь ставим 1 решетку.
[00:09:20 --> 00:09:26]  Каптелем 2 хурру, не нужно сказать нижний ряд и верхней 2 решетки.
[00:09:26 --> 00:09:33]  Не кажу рыбу сейчас будем обмать его салфеткой, чтобы она прям сухая была.
[00:09:33 --> 00:09:36]  Я аккуратненько укладываю.
[00:09:36 --> 00:09:40]  Вниз старайтесь класть.
[00:09:40 --> 00:09:45]  Если у вас разнокалиберная рыба, которая по крупнее и кладите на низ,
[00:09:45 --> 00:09:48]  потому что жар больше, она будет лучше каптица.
[00:09:48 --> 00:09:51]  А если мелкая, то ее желательно наверх.
[00:09:55 --> 00:09:56]  Так вот 4 штучки.
[00:09:57 --> 00:09:59]  Ставим 2 ярос.
[00:10:05 --> 00:10:12]  Прокаптелем, чтобы хотелось бы рассказать, каптелем у нас 50 на 30 и 25 глубина у нее.
[00:10:13 --> 00:10:18]  Принципи, аптимальный вариант, каптелем больше средний можно так сказать.
[00:10:18 --> 00:10:21]  Маленький и каптелем вообще советую использовать.
[00:10:21 --> 00:10:23]  Говорят, такие продаются на разу и каптелем.
[00:10:23 --> 00:10:26]  Вообще супермарк на рексе видели.
[00:10:26 --> 00:10:28]  У такой глубины, там сантиметров.
[00:10:28 --> 00:10:29]  15 наверх.
[00:10:29 --> 00:10:34]  Там просто не знаю, если устающе на тастёру уже попробую,
[00:10:34 --> 00:10:35]  но сгарает очень быстро.
[00:10:35 --> 00:10:36]  Другой продукт.
[00:10:36 --> 00:10:38]  Там одно облях, каптеть.
[00:10:38 --> 00:10:39]  Или что-то очень быстро.
[00:10:39 --> 00:10:41]  Но короче, не то.
[00:10:41 --> 00:10:44]  Каптельный вот оптимальный вариант можно и крупный кусок мяса.
[00:10:44 --> 00:10:47]  Пропного вещат, а мы ли какую другую рыбу?
[00:10:47 --> 00:10:48]  Поэтому нам нравится.
[00:10:48 --> 00:10:50]  Все рыбу подготовились.
[00:10:50 --> 00:10:51]  Запрываем каптелем.
[00:10:51 --> 00:10:53]  Идем разумкать печку.
[00:10:55 --> 00:10:58]  Каптите, они будем напечки таган.
[00:10:58 --> 00:10:59]  Подждаем.
[00:11:04 --> 00:11:06]  У нас есть обзор, но не ее.
[00:11:06 --> 00:11:07]  Кому интересно?
[00:11:07 --> 00:11:09]  На среднем декабне.
[00:11:11 --> 00:11:12]  Ставим каптилку.
[00:11:15 --> 00:11:16]  Есть обзор на данную печку.
[00:11:16 --> 00:11:17]  На нашем канале.
[00:11:17 --> 00:11:19]  Кому интересно, ссылка будет в описании.
[00:11:19 --> 00:11:22]  Может, посмотреть, классная вещь, кстати.
[00:11:22 --> 00:11:23]  Недроф не надо.
[00:11:23 --> 00:11:24]  Ничего, щелкну.
[00:11:25 --> 00:11:28]  Еще хотелось бы рассказать про гидрозатор.
[00:11:28 --> 00:11:29]  Я не понимаю, да?
[00:11:29 --> 00:11:33]  Смотрел много видео с копчением, с горячим.
[00:11:33 --> 00:11:34]  Типа на таких же коптилках.
[00:11:34 --> 00:11:38]  Многие на улице заливаются, чем ты этот гидрозатор не понятно.
[00:11:38 --> 00:11:41]  В гидрозатору заливается вода, только для того,
[00:11:41 --> 00:11:44]  чтобы, когда вы коптите дома, чтобы дым у вас в квартиру не шел.
[00:11:44 --> 00:11:47]  А вот на этойносе коптите шланг, ну и выбрасывает с там
[00:11:47 --> 00:11:48]  за форточек на улицу.
[00:11:48 --> 00:11:51]  Она улица это вообще делать, не к чему.
[00:11:51 --> 00:11:54]  Как пойдет дыму, у нас павали от отсюда сносика,
[00:11:54 --> 00:11:57]  засекаем 40 минут, будем 40 минут коптить.
[00:11:57 --> 00:11:59]  Но через 40 минут мы посмотрим.
[00:11:59 --> 00:12:02]  Возможно придется до сих пор чипу и больше коптить,
[00:12:02 --> 00:12:06]  потому что на улице 20 градусов слишком мороза, посмотрим, короче.
[00:12:06 --> 00:12:08]  Прошла буквально минута.
[00:12:08 --> 00:12:11]  У нас со зносик уже пошел дым, то есть процесс начался.
[00:12:11 --> 00:12:14]  Секаем 40 минут и проверяем рыбу.
[00:12:14 --> 00:12:17]  Прошло 10 минут, как рыбу у нас коптиться.
[00:12:17 --> 00:12:20]  Сейчас мы откроем крышку, чтобы выпустить лишний дым.
[00:12:20 --> 00:12:22]  И делайте для того, чтобы рыбы не была горькой.
[00:12:24 --> 00:12:26]  Вот начинает, она чего-то уже.
[00:12:27 --> 00:12:28]  Цвет приобретать.
[00:12:28 --> 00:12:31]  Но все накрываем, ждем еще 30 минут и будем смотреть.
[00:12:31 --> 00:12:33]  Прошло 40 минут у нас.
[00:12:33 --> 00:12:37]  Чипа уже все прогарело, рыбы еще не докоптилось,
[00:12:37 --> 00:12:39]  а температура только по трескалась слегка.
[00:12:39 --> 00:12:40]  Но ничего страшного.
[00:12:40 --> 00:12:44]  Мы досыпали еще чипы и будем коптить еще на 1 минут 20 точно,
[00:12:44 --> 00:12:45]  то и 30.
[00:12:45 --> 00:12:47]  Потому что на улице температура, как я уже сказал,
[00:12:47 --> 00:12:49]  20 с лишним градусов, в минус.
[00:12:49 --> 00:12:52]  Было плета, она уже была бы готова.
[00:12:52 --> 00:12:56]  Коптилка греется с трудом, поэтому будем коптить еще 20 минут.
[00:12:56 --> 00:12:58]  В общей сложности у нас прошел час.
[00:12:58 --> 00:13:03]  Рыба готова на 100%.
[00:13:03 --> 00:13:07]  Включаем газ, сейчас она постоянно станет немножко,
[00:13:07 --> 00:13:09]  буквально пару минут у нас на улице, до бак.
[00:13:09 --> 00:13:10]  Как я уже говорил.
[00:13:10 --> 00:13:14]  Включаем газ, пусть постоит немножко остынет.
[00:13:14 --> 00:13:16]  И идем to густировать.
[00:13:16 --> 00:13:18]  Рыба у нас остыла.
[00:13:22 --> 00:13:25]  Ча достанем одну штучку, продегустим.
[00:13:28 --> 00:13:31]  Рыба красивая получилась.
[00:13:39 --> 00:13:41]  Рыба разваливается.
[00:13:42 --> 00:13:44]  Все пробуем, ча.
[00:13:46 --> 00:13:48]  Ну давай, провоя, как говори.
[00:13:49 --> 00:13:52]  Ну чо, как соль.
[00:13:52 --> 00:13:54]  Посоливавща отлично.
[00:13:54 --> 00:13:57]  С лихапа, соленая ничего не присолена, ничего.
[00:13:58 --> 00:14:01]  По вкусу, кто елка чё на скумблю,
[00:14:01 --> 00:14:02]  обычная скумблю.
[00:14:02 --> 00:14:04]  Ничего себе, но мне нравится.
[00:14:04 --> 00:14:06]  Вообще вкус от ярыба.
[00:14:07 --> 00:14:08]  Я тоже хочу.
[00:14:10 --> 00:14:12]  Ребята, заканчиваю наш видео.
[00:14:12 --> 00:14:14]  А я тоже как сюда хочу сказать в менин.
[00:14:15 --> 00:14:18]  Вообще скумблю я очень люблю.
[00:14:18 --> 00:14:20]  Очень вкусный рыбка.
[00:14:20 --> 00:14:21]  Она всегда очень классно получается.
[00:14:21 --> 00:14:24]  Я уже не первый раз елка чё на скумблю.
[00:14:24 --> 00:14:25]  Галячую копчение.
[00:14:25 --> 00:14:26]  Сам уже делал.
[00:14:26 --> 00:14:27]  Неоднократно.
[00:14:27 --> 00:14:30]  Ещё что хотел сказать, кто будет коптить у кого маленькой
[00:14:30 --> 00:14:32]  коптильня, тогда коптить чуть поменьше.
[00:14:32 --> 00:14:35]  Время не минут 40, минут 30.
[00:14:35 --> 00:14:38]  Если теплая погода, если коптильня как у нас большая,
[00:14:38 --> 00:14:41]  то можно и час коптить, не испортить.
[00:14:41 --> 00:14:42]  Ну, в принципе, все, наверное.
[00:14:42 --> 00:14:44]  Да, будем заканчиваться.
[00:14:44 --> 00:14:47]  От себя хотелось бы добавить, что попивайся,
[00:14:47 --> 00:14:50]  к дому, что-нибудь три, на человеку, на самом,
[00:14:50 --> 00:14:53]  но как закуск пиву, вообще, обалденное штука.
[00:14:53 --> 00:14:56]  Как бы понравилось видео, как всегда, ставьте лайки.
[00:14:56 --> 00:14:58]  А мы не понравилось тоже пальцы вверх.
[00:14:58 --> 00:15:01]  Да, ребята, нажимайте, нравится обязательно под видео.
[00:15:01 --> 00:15:03]  Ну все, ребята, всем пока.
[00:15:03 --> 00:15:05]  Пока, ребята, поджали домой хоро.
