[00:00:00 --> 00:00:02]  Все поехали.
[00:08:02 --> 00:08:05]  И выглядит программу вот именно таким образом.
[00:08:05 --> 00:08:06]  Мы все лишним убираем.
[00:08:06 --> 00:08:09]  Ну, вот так.
[00:08:09 --> 00:08:10]  Здесь мы.
[00:08:11 --> 00:08:13]  Чищаем, закрываем.
[00:08:13 --> 00:08:17]  И, времен, на 50 минут, это стандартная шаг сушки.
[00:08:17 --> 00:08:18]  Вот.
[00:08:18 --> 00:08:20]  Значит, следующий топаноска в чении,
[00:08:20 --> 00:08:22]  коптимые при температуре 60 градусов.
[00:08:22 --> 00:08:29]  В по времени 35 минут, или 30 минут, это стандартный шаг для копчения.
[00:08:29 --> 00:08:29]  Вот.
[00:08:29 --> 00:08:34]  И на варке, на стандартный шаг.
[00:08:34 --> 00:08:37]  Ач температуру в камере мы делаем 82 градуса.
[00:08:37 --> 00:08:41]  Влажность мы поддерживаем 100%.
[00:08:41 --> 00:08:46]  Вот эти вещи мы убираем, чтобы программа сама определяла импульсии
[00:08:46 --> 00:08:49]  паузы на разнотеемператоре, ставим 100% влажечки.
[00:08:49 --> 00:08:50]  И время нас не интересует.
[00:08:50 --> 00:08:53]  А мы ставим температуру в продукте.
[00:08:53 --> 00:08:54]  На сентяйте висуют на свинни.
[00:08:54 --> 00:08:55]  Семь из два градуса.
[00:08:55 --> 00:08:58]  На сидинственном стоят перехода к температуру.
[00:08:58 --> 00:08:59]  Вот.
[00:08:59 --> 00:09:02]  На предучи двух вариантов мы переходили на следующий этап.
[00:09:02 --> 00:09:03]  Просто по времени.
[00:09:03 --> 00:09:04]  Вот.
[00:09:05 --> 00:09:05]  Вот.
[00:09:05 --> 00:09:08]  Соответственно, если мы говорим про программу на режим.
[00:09:08 --> 00:09:10]  У нас здесь есть либо решно режим.
[00:09:10 --> 00:09:11]  Вот решно режим.
[00:09:11 --> 00:09:12]  Возврат в программу режим.
[00:09:12 --> 00:09:14]  Здесь у нас есть программы.
[00:09:14 --> 00:09:15]  По программу мы можем ходить.
[00:09:15 --> 00:09:17]  Так перерот назад.
[00:09:17 --> 00:09:18]  Заходят в программу.
[00:09:18 --> 00:09:20]  У нас здесь есть программу мойко.
[00:09:20 --> 00:09:21]  Программа один, какая-то.
[00:09:21 --> 00:09:23]  И создаем новый рецепт.
[00:09:23 --> 00:09:27]  Назвываем название шагов.
[00:09:27 --> 00:09:31]  У нас первую шагу нас будет сушкой.
[00:09:31 --> 00:09:33]  Как мы делаем сушкой.
[00:09:34 --> 00:09:35]  Сухоро нети.
[00:09:35 --> 00:09:37]  Значит, в регулируем параметах шаг температура в камере мы делаем
[00:09:37 --> 00:09:39]  с 40-50 градусов.
[00:09:39 --> 00:09:43]  Время мы делаем 50 минут сухоро нети.
[00:09:43 --> 00:09:45]  Значит, здесь мы задаем программу.
[00:09:45 --> 00:09:47]  Назвываем свинина.
[00:09:47 --> 00:09:52]  Кого копчона варенная.
[00:09:52 --> 00:09:55]  То есть сначала мы коптим в отоу варим.
[00:09:55 --> 00:09:57]  Сухоро не оем.
[00:09:57 --> 00:09:58]  Вставить следующий шаг.
[00:09:58 --> 00:09:59]  Очень просто у нас все нажимаем.
[00:09:59 --> 00:10:01]  Светащен на шаг.
[00:10:01 --> 00:10:06]  В следующем шаге мы с этот коптим.
[00:10:06 --> 00:10:07]  Копчение.
[00:10:07 --> 00:10:08]  Вветь очень просто быстро.
[00:10:08 --> 00:10:09]  Значит, наобивается.
[00:10:09 --> 00:10:12]  Собопанальне, достаточно удобно.
[00:10:12 --> 00:10:14]  Вот регулируем параметах шаг температура в камере.
[00:10:14 --> 00:10:19]  Коптим мы при температуре 60 градусов.
[00:10:19 --> 00:10:22]  Шаг 60 градусов.
[00:10:22 --> 00:10:24]  Значит, температура про локк на 90-20.
[00:10:24 --> 00:10:26]  И у нас у нас 30 минут.
[00:10:26 --> 00:10:27]  Назвываем.
[00:10:27 --> 00:10:30]  Домы генератра зелененькую кнопочку нажимаем для того, чтобы
[00:10:30 --> 00:10:31]  сработал.
[00:10:31 --> 00:10:35]  Звоночек, чтобы коптейщик знал, что нужно подойти
[00:10:35 --> 00:10:37]  за рожечь до магиниратор.
[00:10:37 --> 00:10:40]  Здесь просто у нас будет звенеть звоночек на обшаге.
[00:10:40 --> 00:10:41]  Сохранение.
[00:10:41 --> 00:10:42]  И вставляем следующий шаг.
[00:10:42 --> 00:10:45]  Последний у нас будет на сварках.
[00:10:45 --> 00:10:47]  Варк сохранить.
[00:10:47 --> 00:10:49]  Светара тура на варке на 28 градусов.
[00:10:49 --> 00:10:51]  И влажность мы здесь видите.
[00:10:51 --> 00:10:53]  Мы можем паузу и импульчат.
[00:10:53 --> 00:10:55]  Кажем в шаге, задавать ручную.
[00:10:55 --> 00:10:56]  Видите?
[00:10:56 --> 00:10:58]  В общем, мы можем говорить камере, что просто сделаем
[00:10:58 --> 00:11:00]  100% влажности.
[00:11:00 --> 00:11:05]  Можно в рычную мы задавать импульс и импульс и импульс и
[00:11:05 --> 00:11:06]  паузу.
[00:11:06 --> 00:11:09]  Значит, время на засенении террисуют, потому что основной
[00:11:09 --> 00:11:11]  условия перехода будет с каждым сохранить.
[00:11:11 --> 00:11:13]  Все, программа готовы.
[00:11:13 --> 00:11:14]  Вот у нас свиней на ковеночек.
[00:11:14 --> 00:11:18]  Кобшу на варену выбираем выбор 3 цепт.
[00:11:18 --> 00:11:19]  Вот у нас все потену.
[00:11:19 --> 00:11:20]  Стрешаг и видите.
[00:11:20 --> 00:11:22]  Первый, второй, третий.
[00:11:22 --> 00:11:25]  Можно по этим шагам ходить туда сюда.
[00:11:25 --> 00:11:30]  Если мы например по каптили, остаемся на этапе капчения.
[00:11:30 --> 00:11:32]  Ну, хотим вывеличить время, потому что он про них
[00:11:32 --> 00:11:33]  хватил.
[00:11:33 --> 00:11:35]  Но, времени, я и увидим, что еще с шипани на горевом.
[00:11:35 --> 00:11:37]  Мы переходим в рычную режим.
[00:11:37 --> 00:11:40]  Все параметр, этого шага потяги будет.
[00:11:40 --> 00:11:42]  Сорочное вижу, видите, 63.
[00:11:42 --> 00:11:44]  Вот мы вернулись в программ и живем в 63.
[00:11:44 --> 00:11:45]  И в рычной.
[00:11:45 --> 00:11:48]  Здесь делаем на программю 35 минут.
[00:11:48 --> 00:11:50]  И возвращаемся.
[00:11:50 --> 00:11:52]  Проверное режим.
[00:11:52 --> 00:11:53]  Разовое.
[00:11:53 --> 00:11:55]  Раз параметр поменяется.
[00:11:55 --> 00:11:56]  Весь на 35 минут.
[00:11:56 --> 00:11:58]  Но в программе собирается храниться.
[00:11:58 --> 00:12:01]  И мы в 30-го, когда у программ будет открывать хранится.
[00:12:01 --> 00:12:02]  В 30 минут.
[00:12:02 --> 00:12:13]  Сатисно мы сейчас перешли из шага на шаг.
[00:12:13 --> 00:12:16]  Он опять потянул данный из программ.
[00:12:16 --> 00:12:20]  Соответственно, где то уже в запусте программ.
[00:12:20 --> 00:12:25]  Но мы видим процесс пошел.
[00:12:25 --> 00:12:28]  Когда стрелочки мы видим зеленники.
[00:12:28 --> 00:12:29]  Стримятся.
[00:12:29 --> 00:12:31]  Это значит, что программа идёт в ИС.
[00:12:31 --> 00:12:32]  Ты и перимарги будет.
[00:12:32 --> 00:12:36]  Значит, что вот эти параметы стримятся к тем, которые мы задали.
[00:12:36 --> 00:12:39]  Значит, смотрите еще важный момент.
[00:12:39 --> 00:12:43]  Как я говорил, вот левые зеленники.
[00:12:43 --> 00:12:49]  Кружки говорят о том, что дачек температуры в камере.
[00:12:49 --> 00:12:51]  Дачек температуры продукты и дачек влажности.
[00:12:51 --> 00:12:53]  Они работают корректно.
[00:12:53 --> 00:12:56]  Когда он с красником правой, я могу почекать.
[00:12:56 --> 00:12:58]  Значит, что ты на неработаю сейчас.
[00:12:58 --> 00:13:00]  Ты на ненагревая.
[00:13:00 --> 00:13:03]  Если мы сейчас затудем, зелененько кнопочка загорелась.
[00:13:03 --> 00:13:04]  Значит, ты на работе.
[00:13:04 --> 00:13:06]  Вот.
[00:13:06 --> 00:13:07]  Стол.
[00:13:07 --> 00:13:11]  А значит, дальше вот здесь вот, но красная кнопочка вот это вот.
[00:13:11 --> 00:13:16]  Она, разным горит, когда клапан подачивалась для паргенерации
[00:13:16 --> 00:13:17]  закрыт.
[00:13:17 --> 00:13:22]  Когда он открывается, он горит зелено святого, например, мы сделаем
[00:13:22 --> 00:13:23]  сейчас.
[00:13:23 --> 00:13:24]  Запустили.
[00:13:24 --> 00:13:25]  Ты решили его чную режим.
[00:13:25 --> 00:13:29]  Говорим, что мы сейчас, каким 100% на улажность.
[00:13:29 --> 00:13:33]  И говорим, что им будет сдая нам в 10 секунды.
[00:13:33 --> 00:13:35]  А паузу тоже в 2 секунды.
[00:13:35 --> 00:13:37]  И сейчас он на начале 30.
[00:13:37 --> 00:13:38]  Посмотрите.
[00:13:38 --> 00:13:39]  Открыл.
[00:13:39 --> 00:13:41]  Льо-двеси секунды.
[00:13:41 --> 00:13:42]  Паузы.
[00:13:42 --> 00:13:43]  Открыл.
[00:13:43 --> 00:13:44]  Льо-двеси секунды.
[00:13:44 --> 00:13:45]  Паузы.
[00:13:45 --> 00:13:46]  Открыл.
[00:13:46 --> 00:13:47]  Льо-двеси секунды.
[00:13:47 --> 00:13:48]  Паузы.
[00:13:48 --> 00:13:53]  Вот таким образом работает парогенерация.
[00:13:53 --> 00:14:01]  Значит, давайте с вами это все в общем-то пропанное лиоправление.
[00:14:01 --> 00:14:05]  Давайте с вами создадим еще одно программу.
[00:14:05 --> 00:14:06]  Варенок.
[00:14:06 --> 00:14:09]  Еще две программы, мы с вами создадим.
[00:14:09 --> 00:14:13]  Значит, в программу задем в программы.
[00:14:13 --> 00:14:17]  Я сделаю вам программу с программом.
[00:14:17 --> 00:14:19]  Кобчоноваренная с программом.
[00:14:19 --> 00:14:23]  Если на принокоптите с нейтритной солью, в программе предварительный
[00:14:23 --> 00:14:24]  важен.
[00:14:24 --> 00:14:27]  Чтобы температуру внутри продукта была там 25-28 градусов, чтобы
[00:14:27 --> 00:14:30]  не тридить на соль с хомотом, перейд тем, как вы начнете
[00:14:30 --> 00:14:31]  его варить.
[00:14:31 --> 00:14:35]  Но, если вы начнете варить пей тем, как температуру
[00:14:35 --> 00:14:39]  внутри продукта будет до 25 градусов, может в пойти неравном
[00:14:39 --> 00:14:40]  намерную проказ продукта.
[00:14:40 --> 00:14:44]  Неравномерном не тридить на соль, проказать продукт внутри.
[00:14:44 --> 00:14:45]  Понимаете?
[00:14:45 --> 00:14:50]  Вот, соответственно, создадим новый программу.
[00:14:50 --> 00:14:54]  В сначала нас пойдет в программе.
[00:14:54 --> 00:14:57]  Провогревы.
[00:14:57 --> 00:15:03]  Сохранить на этом шаге мы делаем температуру в 250 градусов.
[00:15:03 --> 00:15:05]  Значит, и этим перооттут.
[00:15:05 --> 00:15:09]  И нас интересует именно температуров внутри продукта, чтобы она
[00:15:09 --> 00:15:13]  была на 20-8 градусов на прогреве мы сделаем.
[00:15:13 --> 00:15:17]  Если это будет слишком большая температура, продукты внутри
[00:15:17 --> 00:15:22]  на плярам мало, это температуру можно по-нести до 25.
[00:15:22 --> 00:15:23]  Вот.
[00:15:23 --> 00:15:25]  И сохраняем.
[00:15:25 --> 00:15:28]  На прогреве мы обязательно все заслонечки закрыли.
[00:15:28 --> 00:15:31]  Но в лагу мы не подаем, чтобы товалаг, которая
[00:15:31 --> 00:15:34]  испаряется самого продукта, она сам продукта горела.
[00:15:34 --> 00:15:36]  Вот все заслонечки нас на прогреве закрыли.
[00:15:36 --> 00:15:38]  После прогрения мы делаем сушку.
[00:15:38 --> 00:15:45]  Сушку мы в 5-11 градусов.
[00:15:45 --> 00:15:53]  Сушку мы в 5-20 минут сохранить.
[00:15:53 --> 00:16:00]  Значит, после сушки мы делаем как обычно копчение.
[00:16:00 --> 00:16:05]  Копчение температура камерона на копчение как обычно 60 градусов.
[00:16:05 --> 00:16:11]  Если вы захотите более нежный цвет, то есть, как он
[00:16:11 --> 00:16:16]  готовил, можно уменьшить время копчение до 25 минут.
[00:16:16 --> 00:16:22]  Обязательно проедить после копчения 50 минут открыть за столки и убрать
[00:16:22 --> 00:16:27]  весь дым, который остался в камере.
[00:16:27 --> 00:16:31]  Так, копчение.
[00:16:31 --> 00:16:35]  Следующий шаг мы делаем варк.
[00:16:35 --> 00:16:41]  Давайте сделаем проведывание.
[00:16:41 --> 00:16:42]  Проедивание.
[00:16:42 --> 00:16:48]  Максима 10 с его проведывания сохранить.
[00:16:48 --> 00:16:51]  Значит, мы даем просто 5 минут без нагрева камера.
[00:16:51 --> 00:16:53]  5 минут на проведывание.
[00:16:53 --> 00:16:56]  И мы на проведывание тоже чтобы звоночек сработал.
[00:16:56 --> 00:17:01]  Мы тоже сохраним, чтобы оператор открыл все за столочки.
[00:17:01 --> 00:17:03]  Обрал кассету домогенератора.
[00:17:03 --> 00:17:05]  Все на проведывание.
[00:17:05 --> 00:17:08]  И после этого начинаем варку сохранять.
[00:17:08 --> 00:17:10]  Следующий этап у нас варка.
[00:17:10 --> 00:17:13]  Варка.
[00:17:13 --> 00:17:16]  Теперь оттурокамеры на варке на 18 градусов.
[00:17:16 --> 00:17:20]  Вложность 110%.
[00:17:20 --> 00:17:25]  И продукт у нас 7 сной до 0.
[00:17:25 --> 00:17:26]  Все.
[00:17:26 --> 00:17:27]  Программа.
[00:17:27 --> 00:17:28]  Программа.
[00:17:28 --> 00:17:29]  Да. Программа.
[00:17:29 --> 00:17:33]  Он называем свини на свини на сын.
[00:17:33 --> 00:17:36]  Как чё на варёное, прогрев.
[00:17:36 --> 00:17:37]  И пишу.
[00:17:37 --> 00:17:38]  С прогревом.
[00:17:38 --> 00:17:39]  Сохранить.
[00:17:39 --> 00:17:41]  Вот он свини на как чё на варёное, с прогревом.
[00:17:41 --> 00:17:42]  И эти.
[00:17:42 --> 00:17:44]  Как видите, мы затратили все в этом 2 минут.
[00:17:44 --> 00:17:46]  Для того, чтобы полноценно создать на его программу.
[00:17:46 --> 00:17:47]  Программа.
[00:17:47 --> 00:17:48]  В общем, вы очень быстро.
[00:17:48 --> 00:17:50]  В общем, просто за этим нужно 5 минут разобраться.
[00:17:50 --> 00:17:53]  И потом самостоятельно понимать, какие параметры.
[00:17:53 --> 00:17:54]  Тетеменять.
[00:17:54 --> 00:17:57]  Для того, чтобы продукт получил именно эти качества,
[00:17:57 --> 00:17:58]  которые вам нужно.
[00:17:58 --> 00:17:59]  Он профессиональная коптигная.
[00:17:59 --> 00:18:00]  Славная.
[00:18:00 --> 00:18:02]  Хишка в том, что вы гибко можете подходить,
[00:18:02 --> 00:18:05]  к цвету, караматики, консистенции этого продукта,
[00:18:05 --> 00:18:07]  который вы хотите получать на выходе.
[00:18:07 --> 00:18:09]  Значит, ну, вы создает.
[00:18:09 --> 00:18:11]  Например, мы сделаем.
[00:18:11 --> 00:18:14]  Курец.
[00:18:14 --> 00:18:15]  Варёна, как чём?
[00:18:15 --> 00:18:16]  Не копчёно.
[00:18:16 --> 00:18:17]  Варёна, а именно.
[00:18:17 --> 00:18:20]  Варёна, как чём, и про которую мы с вами говорим.
[00:18:20 --> 00:18:22]  Например, первую нас про прогрев.
[00:18:22 --> 00:18:24]  Прогрев.
[00:18:24 --> 00:18:27]  Температуру мы сделаем 45 градусов.
[00:18:27 --> 00:18:30]  Значит, 2 температура.
[00:18:30 --> 00:18:32]  Мы требуют продукты 25 градусов.
[00:18:32 --> 00:18:34]  Все заслоночки закрыты у нас.
[00:18:34 --> 00:18:35]  Как только у нас.
[00:18:35 --> 00:18:37]  Прогрев заканчивается.
[00:18:37 --> 00:18:40]  Мы сразу же переходим на этап варке.
[00:18:41 --> 00:18:45]  А порогрев мы делаем, раз для того, чтобы не тридка он 3 сработала.
[00:18:45 --> 00:18:46]  Какое помните.
[00:18:46 --> 00:18:49]  Также сделаем, например, сохранить.
[00:18:49 --> 00:18:51]  Варим.
[00:18:51 --> 00:18:53]  Давайте перевозим вместе с другу градусов.
[00:18:53 --> 00:18:54]  Курец нужно говорить.
[00:18:54 --> 00:18:56]  Доти императору внутри.
[00:18:56 --> 00:18:59]  Всем есть 4, хотя бы градусов, чтобы сокровится как раз.
