[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[00:04:28 --> 00:04:29]  Хорошо.
[00:04:29 --> 00:04:30]  Давайте.
[00:04:30 --> 00:04:31]  Просила на вкусную.
[00:04:31 --> 00:04:32]  Супер.
[00:04:32 --> 00:04:33]  Давайте.
[00:04:33 --> 00:04:34]  Так мы шла на тут подали.
[00:04:34 --> 00:04:35]  Иду.
[00:04:35 --> 00:04:40]  Всем у травы их или здесь триц приехали я не завтракал.
[00:04:40 --> 00:04:43]  Здесь бургев, скответы и зласси.
[00:04:43 --> 00:04:46]  Ты столеть вот такой вот такая вот красота.
[00:04:46 --> 00:04:47]  Картожка.
[00:04:47 --> 00:04:49]  Кусная.
[00:04:49 --> 00:04:50]  Сейчас будем пробовать.
[00:04:59 --> 00:05:00]  Ой, штука.
[00:05:01 --> 00:05:03]  Слассно.
[00:05:03 --> 00:05:04]  Отдеза.
[00:05:08 --> 00:05:10]  Премеса полотно, это какая.
[00:05:10 --> 00:05:12]  Интересная.
[00:05:12 --> 00:05:16]  Не так, как, наверное, живет с немножко более полотно, это какая.
[00:05:16 --> 00:05:19]  Очень ароматная, вкусная.
[00:05:19 --> 00:05:21]  Значит, правда, у вас.
[00:05:21 --> 00:05:23]  Правда, у вас чьевочка нас почует.
[00:05:23 --> 00:05:26]  Так, если...
[00:05:26 --> 00:05:28]  Так, если...
[00:05:29 --> 00:05:30]  Тогда я попробую, колбаска.
[00:05:30 --> 00:05:32]  Скажи мне, как она.
[00:05:32 --> 00:05:33]  Какая насажена.
[00:05:37 --> 00:05:38]  Спыл уже.
[00:05:41 --> 00:05:43]  Ммм, ароматная, вот это.
[00:05:46 --> 00:05:48]  Бем колбаса из настоящего мяса.
[00:05:48 --> 00:05:50]  Оболденная ощущения.
[00:05:50 --> 00:05:53]  Знаете, самая редкая колбаса.
[00:05:53 --> 00:05:56]  Это качественная колбаса.
[00:05:56 --> 00:05:57]  Они какая-то там.
[00:05:58 --> 00:05:59]  Особая.
[00:05:59 --> 00:06:02]  Александра делает колбаски домой.
[00:06:02 --> 00:06:03]  Вот, как раз, для себя.
[00:06:03 --> 00:06:05]  Вот эта колбаса из ласятенные.
[00:06:05 --> 00:06:06]  Сговерждим жиром.
[00:06:06 --> 00:06:09]  Вот, поэтому колбаски такие очень насыщенные,
[00:06:09 --> 00:06:10]  интересные.
[00:06:10 --> 00:06:12]  И, по сути, это настоящий холельный продукт.
[00:06:12 --> 00:06:13]  Может быть.
[00:06:13 --> 00:06:15]  То есть, это, как постная настоящая мяса.
[00:06:15 --> 00:06:18]  И у дикого мяса содержания витаминов,
[00:06:18 --> 00:06:20]  гораздо выше, получается.
[00:06:20 --> 00:06:22]  То есть, даже для себя,
[00:06:22 --> 00:06:24]  вот и для клиентов, это делать прямо.
[00:06:24 --> 00:06:25]  Очень вкусно и полезно.
[00:06:28 --> 00:06:31]  СМЕХ
[00:06:31 --> 00:06:33]  СМЕХ
[00:06:44 --> 00:06:49]  Сегодня мы в сковской области у гостях у Антона и Александры.
[00:06:49 --> 00:06:53]  Это владельцы и упромленцы дома мяса,
[00:06:53 --> 00:06:56]  которые находятся это поселок в вас или...
[00:06:56 --> 00:06:59]  Это деревня, где даже нет номерации дома.
[00:06:59 --> 00:07:01]  И называется она.
[00:07:01 --> 00:07:02]  Бешки на?
[00:07:02 --> 00:07:03]  Бешки на?
[00:07:03 --> 00:07:06]  У лица нет номерации дома, нет, но все дело за нами.
[00:07:06 --> 00:07:07]  А края на окрае.
[00:07:07 --> 00:07:10]  Нет, к снатк нам приезжал глава волосе Андрей.
[00:07:10 --> 00:07:13]  Вот, и говорит, мы будем делать улицу.
[00:07:13 --> 00:07:15]  Я, к выдовой, давай, давай колбасно.
[00:07:15 --> 00:07:18]  Нет, колбасно, местные жители будут противскорее всего.
[00:07:18 --> 00:07:21]  Вот они там свои придумывают название.
[00:07:21 --> 00:07:23]  Я, к выдоватая колбасная площадь.
[00:07:23 --> 00:07:25]  В общем, гриб, колбасная площадь дома.
[00:07:25 --> 00:07:30]  Скорее всего, скорее всего, скоро будет у нас адрес и будет у нас адрес и будет у нас
[00:07:30 --> 00:07:32]  зваться колбасной площадь дома.
[00:07:32 --> 00:07:36]  Тебя открыли свойцах, при нем небольшой магазин,
[00:07:36 --> 00:07:40]  делают осартимент варенокопченной продукции и саравельной продукции.
[00:07:40 --> 00:07:42]  Открылись вы, когда вы?
[00:07:42 --> 00:07:47]  Мы открылись именно здесь и в 23-м году 29 апреля.
[00:07:47 --> 00:07:49]  Расскажите, как начинали,
[00:07:49 --> 00:07:54]  с чего собственно начали, вот сразу это были там миллионные продажи
[00:07:54 --> 00:07:56]  или шаг за шагом, как-то развивались, и расслей.
[00:07:56 --> 00:07:59]  Вот, а сказать, вообще, в принципе, свой путь, свой колбасной и путь,
[00:07:59 --> 00:08:00]  колбасной площадь.
[00:08:00 --> 00:08:03]  Я забыл, ищелся абсолютно случайно.
[00:08:03 --> 00:08:08]  Вот вину, вину, там у все коронавирус.
[00:08:08 --> 00:08:14]  Вот когда объявили пандемию, я приехал домой,
[00:08:14 --> 00:08:18]  я приехал домой, схватил семью, и мы уже и надачиваем,
[00:08:18 --> 00:08:22]  будем там отциживаться, приятаться, чтобы не заразиться,
[00:08:22 --> 00:08:23]  вот так.
[00:08:23 --> 00:08:24]  Живите в пяти.
[00:08:24 --> 00:08:25]  Да.
[00:08:25 --> 00:08:29]  Я живу в пятирбург, ездить мне, а Антон здесь на месяц.
[00:08:29 --> 00:08:30]  Ну, производство.
[00:08:30 --> 00:08:31]  Прижатик, папецов.
[00:08:31 --> 00:08:34]  Ну, в этом году все меньше и меньше,
[00:08:34 --> 00:08:36]  и меньше, в этом году я приехала первый раз,
[00:08:36 --> 00:08:38]  вот за три месяца, на производство,
[00:08:38 --> 00:08:42]  потому что у меня потусторонний мир, как-то,
[00:08:42 --> 00:08:45]  это уже, да, Вантуна, прикладная работа.
[00:08:45 --> 00:08:48]  Здесь на месте в производстве, в непосредственном.
[00:08:48 --> 00:08:52]  А моя работа может исчальться на удаленке.
[00:08:52 --> 00:08:57]  Поэтому я там, с детьми, на учебе, и с удаленым офисом.
[00:08:57 --> 00:08:58]  Да, приехали мы сюда.
[00:08:58 --> 00:09:00]  Дом у нас был недостроить,
[00:09:00 --> 00:09:02]  ну, как раз было время достроивать.
[00:09:02 --> 00:09:06]  Вот и, чердак,
[00:09:06 --> 00:09:09]  который сейчас прератил с во второй этаж,
[00:09:09 --> 00:09:15]  Итаж довольно каковортный красивый, а тогда это был просто чердак.
[00:09:15 --> 00:09:20]  Глея был хороший скузничок.
[00:09:20 --> 00:09:27]  Это был как раз при месяц начала апреля, конец мая, конец марта.
[00:09:27 --> 00:09:31]  Почему бы не идти по делать колбаску с ровеленой?
[00:09:31 --> 00:09:36]  И стал делать колбаску, тоненький колбаски мы делали лефо это.
[00:09:36 --> 00:09:41]  И я прямо на сушилке для белья и их вывешивал.
[00:09:41 --> 00:09:45]  И это была самая вкусная колбаса, потому что в Велени был естественно.
[00:09:45 --> 00:09:49]  Велени был в комфортных условиях, колбасы.
[00:09:49 --> 00:09:54]  И вот это первая партия мы с вами ее съели с друзьями с большим удовольствием.
[00:09:54 --> 00:09:56]  Но вот и после этого я принял.
[00:09:56 --> 00:10:00]  Почему бы не начать новую историю?
[00:10:00 --> 00:10:02]  Но вот так все это и началось.
[00:10:02 --> 00:10:04]  Сталь мы делать дом по техуническую.
[00:10:04 --> 00:10:10]  У пили небольшой климатический камеры, которые были переделаны из замеицинских ладилников.
[00:10:10 --> 00:10:14]  Вот, и до дома все делали.
[00:10:14 --> 00:10:16]  Правда, прихожем не стояли эти две климатические камеры.
[00:10:16 --> 00:10:18]  Но они довольно киобъемны.
[00:10:18 --> 00:10:20]  Туда можно было по 40 килограмм.
[00:10:20 --> 00:10:21]  Это надощее.
[00:10:21 --> 00:10:22]  Да, да, надощее.
[00:10:22 --> 00:10:25]  Приходим заходишь, прямо в садная страничка.
[00:10:25 --> 00:10:28]  И тогда дети совсем были маленькие.
[00:10:28 --> 00:10:35]  Я наблюил такую историю, что почему-то на нижних хридах колбаса стала пропадать.
[00:10:35 --> 00:10:36]  Вот.
[00:10:36 --> 00:10:38]  Почему-то дети есть не хотят.
[00:10:38 --> 00:10:40]  Да, и дети есть не хотят.
[00:10:40 --> 00:10:45]  Потом я за ними проследил, оказывается они подбегат холодильнику, хвать колбаску.
[00:10:45 --> 00:10:46]  И убегают ее где-то есть.
[00:10:46 --> 00:10:50]  Потому что действительно она такая была сухенькая, тоненькая.
[00:10:50 --> 00:10:56]  Даже дети, то, что взрослые дети, даже ее с удовольствием,
[00:10:56 --> 00:10:57]  и едят из их пор.
[00:10:57 --> 00:11:01]  И когда я думаю, приезжаю, Антушка приблигает все рингвит колбаски.
[00:11:01 --> 00:11:02]  Мистка, привет.
[00:11:02 --> 00:11:04]  Вот это действительно так есть.
[00:11:04 --> 00:11:09]  И вот эта копа, которая, на нас магазине продается, по 50 грамм,
[00:11:09 --> 00:11:11]  такая тоненькая, она резочка.
[00:11:11 --> 00:11:15]  Вот он сам берет ее, открывает ее и с удовольствием ее.
[00:11:15 --> 00:11:19]  Вот это вот прям супер реклама.
[00:11:19 --> 00:11:21]  Потому что дети вот кушают сюда вольствам.
[00:11:21 --> 00:11:26]  Все наши продукции, но и мы помимо, с равиаленной делами.
[00:11:26 --> 00:11:28]  Варенок копченый еще, сочет много.
[00:11:28 --> 00:11:30]  Вот так все это и началось.
[00:11:30 --> 00:11:32]  А варенок копченый, когда впервые начали делать.
[00:11:32 --> 00:11:35]  А варенок копченый начали делать когда...
[00:11:37 --> 00:11:38]  На Камер купили.
[00:11:38 --> 00:11:39]  Ижицу.
[00:11:39 --> 00:11:41]  Тогда я начали делать.
[00:11:41 --> 00:11:45]  Как-то это уже у вас был цех или как надо, что же это организова?
[00:11:45 --> 00:11:50]  Нет, это не надо, это все было при нетерешении делаем колбасу.
[00:11:50 --> 00:11:55]  Я в коронавирус сама выкрасила весь первый этаж в 4-слое.
[00:11:56 --> 00:11:59]  Белый краской по старому бревну.
[00:11:59 --> 00:12:01]  Никого влияния колбаса оказал он надом.
[00:12:01 --> 00:12:05]  Белая кухня, белые стены, белый пол.
[00:12:06 --> 00:12:08]  Красная мяса грязь.
[00:12:08 --> 00:12:12]  Человек, когда в творчестве находится, это все литит в во всей окна.
[00:12:12 --> 00:12:16]  Везде, а у нас перед мойкой окно еще и добавок.
[00:12:18 --> 00:12:21]  И все это вокруг, все боляется.
[00:12:21 --> 00:12:26]  Мясо является собак, это уже ходит дома, подпрыгивает в настерьер.
[00:12:26 --> 00:12:29]  Она подпрыгивает. Она прям в прыжке, со столешницей,
[00:12:29 --> 00:12:31]  с которой выше стандартной.
[00:12:31 --> 00:12:36]  Выжчем 90-м сантиметров. Она в прыжке, когда мордый раз кусок мяса.
[00:12:36 --> 00:12:41]  Но пиком всего было, когда шприц колбаса, фаршем колбасным.
[00:12:41 --> 00:12:43]  Чет не упал на ребенка.
[00:12:43 --> 00:12:46]  Я приезжаю из петербурга в другу полудра.
[00:12:47 --> 00:12:48]  Я говорю, что это такое?
[00:12:48 --> 00:12:51]  Они мне все второе папа и два идите, играть ничего.
[00:12:52 --> 00:12:53]  Просто упал шприц.
[00:12:53 --> 00:12:56]  Да, и потом просто упал.
[00:12:56 --> 00:12:57]  Просто шприц упал.
[00:12:58 --> 00:13:00]  Да, так обалосил.
[00:13:00 --> 00:13:02]  Все, и на этом я сказала, что два, что это другой,
[00:13:02 --> 00:13:06]  и делай, потому что ты хорошо готовишь.
[00:13:06 --> 00:13:08]  Но они настолько, чтобы убивать детей.
[00:13:08 --> 00:13:11]  Мы приняли решение, что нужно заниматься.
[00:13:11 --> 00:13:15]  За выходи, чтобы собственный кухне надачи.
[00:13:15 --> 00:13:17]  И что-то делать.
[00:13:17 --> 00:13:21]  Рендовали помещение, сначала на кдовском рынке.
[00:13:21 --> 00:13:23]  Вот как раз мы заказали камеру.
[00:13:24 --> 00:13:28]  Она пока изготавливалась, моделали ремонт.
[00:13:28 --> 00:13:31]  Я начал уже профессиональным обучения.
[00:13:32 --> 00:13:36]  Вот технологии, копчения, и приготовления.
[00:13:36 --> 00:13:38]  Местнельдель катезов.
[00:13:38 --> 00:13:42]  Вот, все камеры приехала, магазина открыли.
[00:13:42 --> 00:13:44]  Вот и начали работать.
[00:13:44 --> 00:13:45]  Годовья в открыли магазин.
[00:13:45 --> 00:13:47]  Сколько я кайоплощий была?
[00:13:47 --> 00:13:49]  Там ула печатать метров по сфельку.
[00:13:49 --> 00:13:51]  Это был и магазин.
[00:13:51 --> 00:13:52]  И произведение.
[00:13:52 --> 00:13:56]  Это был магазин, при производстве, при маленьком.
[00:13:56 --> 00:13:58]  А магазин, две тринки небольшая была.
[00:13:58 --> 00:13:59]  Это две метров.
[00:13:59 --> 00:14:00]  Да, две метров.
[00:14:00 --> 00:14:01]  Вые метров, и витые.
[00:14:01 --> 00:14:04]  И 15 метров по мещению, 40 метров производства.
[00:14:04 --> 00:14:05]  И 40 метров производства.
[00:14:05 --> 00:14:07]  Все стартовало 40 метров.
[00:14:07 --> 00:14:08]  Получается.
[00:14:08 --> 00:14:09]  И там холодили, какие-то стояли.
[00:14:09 --> 00:14:12]  Тут даже приехали две климатические камеры.
[00:14:12 --> 00:14:14]  Там также весело колбаска.
[00:14:14 --> 00:14:15]  Люди приходили.
[00:14:15 --> 00:14:18]  И как раз эти камеры были на против двери.
[00:14:18 --> 00:14:20]  Вот и проходящие мимолюди.
[00:14:20 --> 00:14:21]  Заглядывай, что он.
[00:14:21 --> 00:14:23]  А там колбаска велица.
[00:14:23 --> 00:14:24]  До свидания.
[00:14:24 --> 00:14:25]  До свидания.
[00:14:25 --> 00:14:26]  В 14-х, 40 производства.
[00:14:26 --> 00:14:27]  15, цовство на магазинчик.
[00:14:27 --> 00:14:30]  В 14-х я подумаю эту практику вернуть.
[00:14:30 --> 00:14:33]  Потому что эти холодилики у меня до сих пор есть.
[00:14:33 --> 00:14:36]  Я хочу поставить магазина один.
[00:14:36 --> 00:14:39]  Вот чтобы демонстративно весело колбаса.
[00:14:39 --> 00:14:42]  Вот чтобы люди видели, что она вот тут прям вея лица.
[00:14:42 --> 00:14:45]  Мы не помните, сколько на первом этапе потратили, чтобы открыть
[00:14:45 --> 00:14:48]  вот такой магазин, 50-50 кв. метров, месяц производства.
[00:14:48 --> 00:14:50]  Сбез камеры, миллион.
[00:14:50 --> 00:14:51]  миллион.
[00:14:51 --> 00:14:52]  Да, был.
[00:14:52 --> 00:14:53]  По сути, про начальных положений.
[00:14:53 --> 00:14:54]  Но это ремонт.
[00:14:54 --> 00:14:56]  Я оборудовывал для магазина.
[00:14:56 --> 00:14:59]  Без аренды, потому что аренда с ялой еще 700.
[00:14:59 --> 00:15:03]  Как быстро вышли на самокупаемость.
[00:15:03 --> 00:15:06]  В том конкретном помещении не вышли.
[00:15:06 --> 00:15:10]  Но если бы мы оставались там, то с учетом сложной местности,
[00:15:10 --> 00:15:16]  где мы рискнули два года, нам бы понадобилось, чтобы...
[00:15:16 --> 00:15:18]  Полностью купить.
[00:15:18 --> 00:15:19]  Полностью.
[00:15:19 --> 00:15:21]  А если чему-то связано?
[00:15:21 --> 00:15:24]  Даже больше, чтобы полностью купить порядка,
[00:15:24 --> 00:15:27]  трех с половиной, потому что нельзя же исключать расходы
[00:15:27 --> 00:15:30]  по аренде, покупку оборудовы, не этот тремонт.
[00:15:30 --> 00:15:33]  Два сезона нам тут пришлось работать.
[00:15:33 --> 00:15:36]  Это связано с тем, что все-таки город годов,
[00:15:36 --> 00:15:41]  это город сезонного отдыха, и зимой здесь не происходит ничего.
[00:15:41 --> 00:15:43]  А, и нужно платить по-деймоте.
[00:15:43 --> 00:15:45]  Таренда нужно платить каждый месяц.
[00:15:45 --> 00:15:49]  И аренда здесь, как в Петербурге, у нас была 50-50 тысячи месяц.
[00:15:49 --> 00:15:53]  А производство не то, что маленькая, это даже не микро,
[00:15:53 --> 00:15:58]  а просто очень маленькая, потому что там стояла на морозельное камера,
[00:15:58 --> 00:16:01]  на производстве, и одна холодильная камера и камеру и рейжится.
[00:16:01 --> 00:16:03]  Мы расширятся здесь невозможно было.
[00:16:03 --> 00:16:08]  Шириация была некуда, соответственно, не таких поставках в Петербург и в Сколфуричей.
[00:16:08 --> 00:16:09]  Даже и не было.
[00:16:09 --> 00:16:10]  Не было.
[00:16:10 --> 00:16:12]  Тебе больше ничего не поместится.
[00:16:12 --> 00:16:15]  То есть, только для обслужения этого магазина.
[00:16:15 --> 00:16:19]  То есть, и по сути, но это для вас явилась площадка, где вы отработали.
[00:16:19 --> 00:16:20]  Да.
[00:16:20 --> 00:16:22]  Что вам нужно сделать следующий шаг?
[00:16:22 --> 00:16:24]  Вот какое производство хотите.
[00:16:24 --> 00:16:27]  Я с нами деньги, я так понимаю, вы зарабатываете на том,
[00:16:27 --> 00:16:33]  что вы будете все-таки уже к вселедним обтом магазинов в Сколф и ВСанкт-Петербург.
[00:16:33 --> 00:16:37]  Собственно, то, что про эти магазины, но это, собственно, оббивает аренда,
[00:16:37 --> 00:16:41]  какие-то накладные платежи, вот эти накладные расходы, какие-то вот эти вот.
[00:16:41 --> 00:16:44]  Сейчас магазин он здесь конкретно.
[00:16:44 --> 00:16:46]  Вот тут, где мы сейчас находимся.
[00:16:46 --> 00:16:47]  Это здание.
[00:16:47 --> 00:16:51]  Мы приобрели в сентябре 2002 года.
[00:16:51 --> 00:16:53]  То есть, тот момент магазину уже был.
[00:16:53 --> 00:16:56]  СМЕХ
[00:16:56 --> 00:16:58]  СМЕХ
[00:17:09 --> 00:17:12]  Посмотрите, как вот в этом помещении так оказались.
[00:17:12 --> 00:17:14]  Мы купили здание очень хорошо,
[00:17:14 --> 00:17:16]  что похорошее предложение было хорошо.
[00:17:16 --> 00:17:19]  Распредо, по крайней мере, как раз закончилось.
[00:17:19 --> 00:17:22]  И люди не понимали, куда дальше двигаться.
[00:17:22 --> 00:17:26]  Это был как раз промежуток между ночалом всех взвестных событий,
[00:17:26 --> 00:17:29]  которые произошли в нашей стране и окончанием под Димии.
[00:17:29 --> 00:17:31]  Собственно, как нового монстрика.
[00:17:31 --> 00:17:34]  Окново, возможно, стиль до существовала в тот момент.
[00:17:34 --> 00:17:38]  Поэтому мы приобрели здание и не закрывая тут точку.
[00:17:38 --> 00:17:41]  Не останавливая производство, он начали здесь ремонт.
[00:17:41 --> 00:17:44]  Первое, что мы открыли это заведение, которое вы сейчас видите,
[00:17:44 --> 00:17:48]  где мы находимся, это кафе с магазином,
[00:17:48 --> 00:17:50]  по продажнейшему продукцию.
[00:17:50 --> 00:17:55]  А производство какое-то время, пока мы здесь делали глобальные изменения внутриздания,
[00:17:55 --> 00:17:59]  там был глобальный ремонт, потому что нельзя было переезжать в те условиях,
[00:17:59 --> 00:18:00]  который существовали.
[00:18:00 --> 00:18:04]  То есть, общий пит и вторая точка работала здесь.
[00:18:04 --> 00:18:08]  А потом потихонечку, когда горячий сезон, первый горячий сезон нашит красок,
[00:18:08 --> 00:18:12]  как в придорожного заведения собственным производством.
[00:18:12 --> 00:18:15]  Мы уже в сентябре производства перевезлись туда.
[00:18:15 --> 00:18:19]  Да, потому что когда мы открылись кафе уже работала,
[00:18:19 --> 00:18:23]  магазин работал, мы продуксила зелия оттуда,
[00:18:23 --> 00:18:24]  с того производства.
[00:18:24 --> 00:18:27]  А где производство мы там ходили по земле еще.
[00:18:27 --> 00:18:29]  Просто это было зиме.
[00:18:29 --> 00:18:32]  Мы туда выдавынули все, потому что нужно полы меняли в уплотной.
[00:18:32 --> 00:18:37]  Вот, попросли, чтобы сделать трапы, нужно было вынуть все.
[00:18:37 --> 00:18:41]  Вот, чтобы пыли не было, мы там поселили пленочку,
[00:18:41 --> 00:18:43]  как бы и вот, вот, ходили бродели.
[00:18:43 --> 00:18:48]  Вот и вечерами, приезжали строители, все туда деловали,
[00:18:48 --> 00:18:52]  в обратном режиме, потому что нужно было запускаться, запускаться,
[00:18:52 --> 00:18:56]  и вот они уже начинают финальаться, пол уже готов.
[00:18:56 --> 00:19:01]  Доделывать стены, вот и тут происходит весь луха.
[00:19:01 --> 00:19:04]  У нас на том производстве, полностью забивается канализация.
[00:19:04 --> 00:19:08]  И они две недели никто не может подчинить.
[00:19:08 --> 00:19:12]  Вот, начинают уже просто ломать, оцывальт, вы искать причину,
[00:19:12 --> 00:19:16]  никто не может найти, я понимаю, решение все.
[00:19:16 --> 00:19:19]  Пережаем сюда, да?
[00:19:19 --> 00:19:24]  Пережаем и начинаем работать здесь уже какое-то время не работали,
[00:19:24 --> 00:19:29]  запас продукции были и вот строители доделали, быстро быстро я сам помогал.
[00:19:29 --> 00:19:31]  И все запустили здесь.
[00:19:31 --> 00:19:34]  В привезле оттуда оборудования все эти.
[00:19:34 --> 00:19:37]  Такой стихийный, предпринимательство, особенно в регионе,
[00:19:37 --> 00:19:40]  которые не так хорошо разведают, как большие города.
[00:19:49 --> 00:19:53]  Так, участенька, как красиво-то, вас запах приятный, антон.
[00:19:53 --> 00:19:55]  Потому что, на дураальную, все.
[00:19:55 --> 00:19:57]  Да, на дураальную, все, в частативной.
[00:19:57 --> 00:20:03]  А как иначе-то, значит, раз с 2-3, 4-5, 6, 7, 8, 9.
[00:20:03 --> 00:20:06]  Их надо, чтобы лочёт на количество, что по него так отвесели.
[00:20:07 --> 00:20:11]  Раз 2, 3, 5, 6, 7, 8, 9, 7, 7, 12, 10.
[00:20:11 --> 00:20:14]  В 8, 8, 5.
[00:20:14 --> 00:20:16]  А, чтобы их как раз друг другу можно было.
[00:20:16 --> 00:20:19]  Чтобы не было, что-то так, что, одна висит вот тут.
[00:20:19 --> 00:20:21]  А, да, да, призать, постоянно как бы мучение.
[00:20:21 --> 00:20:23]  Поэтому лучше, вот, чотно, кольцо.
[00:20:23 --> 00:20:28]  Четная колеса. С одной стороны получается 9. С двух сторон получается 18. На два он нажаем.
[00:20:29 --> 00:20:35]  Черевает 45 плюс. Она довольно фаршиенка. Это свиная.
