[00:00:00 --> 00:00:08]  Здравствуйте дорогие друзья!
[00:04:07 --> 00:04:09]  Сушили на шкаф, производство компанижется.
[00:04:09 --> 00:04:11]  Шкаф называется СВ.
[00:04:11 --> 00:04:14]  В этом шкафу мы проводим и подсушку.
[00:04:14 --> 00:04:16]  И можно даже вяли тмелку рыбу.
[00:04:16 --> 00:04:17]  Такой как мелкой.
[00:04:17 --> 00:04:18]  Мой, вот корючка, мелка, как мала.
[00:04:18 --> 00:04:23]  Поэтому сейчас мы подсушим рыбку и перейдем дальше к основному
[00:04:23 --> 00:04:27]  процессу, в камере электростатического копчения.
[00:04:27 --> 00:04:30]  Презосы компанией, и уже за М4, а.
[00:04:30 --> 00:04:35]  Ну вот с кумрию я повесел на проток.
[00:04:35 --> 00:04:37]  Вот таким образом.
[00:04:37 --> 00:04:40]  И сейчас она праяться у нас на подсушку.
[00:04:40 --> 00:04:43]  А форрельку мы положим на сеточку.
[00:04:43 --> 00:04:49]  И все время подсушки займет порядка 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.
[00:04:49 --> 00:04:56]  Калийство рыбы в камере, в шкафу, ряд, ее был говорить, а размеров.
[00:04:56 --> 00:04:57]  Ну, а у потурд.
[00:04:57 --> 00:05:01]  Это рыбки надо подсушиться где-то порядка 60 минут.
[00:05:01 --> 00:05:03]  Что, отправляем на сушку.
[00:05:03 --> 00:05:09]  Дорогие друзья, меня зовут Роман Сакая.
[00:05:09 --> 00:05:12]  Я приглашаю вас принять участие в турнире и местников,
[00:05:12 --> 00:05:13]  2025 года.
[00:05:13 --> 00:05:16]  Это первый турнир по копчению мяса в России.
[00:05:16 --> 00:05:25]  Мы предлагаем амокумутся в эту потрясающее атмосферу,
[00:05:25 --> 00:05:27]  дружеского сестезания.
[00:05:27 --> 00:05:31]  Где каждый может продемонстрирует свои науки и обязательно узнать,
[00:05:31 --> 00:05:32]  что там новые от коллег.
[00:05:32 --> 00:05:37]  Приглашаю все, кто готов показать своему мастерству, поделиться
[00:05:37 --> 00:05:39]  знаниями с другими участниками.
[00:05:39 --> 00:05:44]  Это мероприятия будет проходить 17 и 18 июля в поиселке репена,
[00:05:44 --> 00:05:46]  в курортном районе Санкт-Петербурга в прямо на берегу
[00:05:46 --> 00:05:48]  нашего любимого пинского залива.
[00:05:48 --> 00:05:51]  Програден турнира два дня на полными знаниями.
[00:05:51 --> 00:05:55]  Общения в соревнованиям будут выступления тведущих специалистов
[00:05:55 --> 00:05:56]  отраспе.
[00:05:56 --> 00:06:00]  Обязательно устроим дискуссия среди ненамышленников из других
[00:06:00 --> 00:06:01]  городов.
[00:06:01 --> 00:06:03]  Обменяемся опытом и демьями и мнениями.
[00:06:03 --> 00:06:07]  Посмотрим о цене работы и местников вместе с жюрией,
[00:06:07 --> 00:06:09]  чтобы будет очень увлекательно.
[00:06:09 --> 00:06:13]  Победитель турнира получит главный приз, термокамеру, в армне,
[00:06:13 --> 00:06:14]  от ижицы.
[00:06:14 --> 00:06:17]  Как это было в прошлом году, можете посмотреть на нашем
[00:06:17 --> 00:06:21]  сайте, компания ижица в разделе турнир и местников.
[00:06:21 --> 00:06:25]  До встречи на турнире и местников, у копчения мяса в 2025 году.
[00:06:25 --> 00:06:33]  Итак, дорогие друзья, наша рыбка подсушилась.
[00:06:33 --> 00:06:40]  Сушилась она, напомнивала, шкафу, производство компании.
[00:06:40 --> 00:06:42]  Ижица шкаф называется S.Vа.
[00:06:42 --> 00:06:46]  Для чего нам нужен процесс подсушки перед копчением?
[00:06:46 --> 00:06:50]  Во-первых, для того чтобы убрать поверхностную влагу,
[00:06:50 --> 00:06:53]  с рыбы, как определить готовы рыбка или нет, подсухая
[00:06:53 --> 00:06:55]  она, чтобы сцепаться, ушла за копчеление.
[00:06:55 --> 00:06:58]  Конправила эта все, она, определяется визуально.
[00:06:58 --> 00:07:01]  Первое, что мы смотрим это на хвости, как однобремили
[00:07:01 --> 00:07:02]  с хомбрией.
[00:07:02 --> 00:07:04]  Хвости должен затвердеть.
[00:07:04 --> 00:07:06]  Но не в коем случае не загмутся.
[00:07:06 --> 00:07:10]  Если у вас хвости их загибается, то это уже показатель того,
[00:07:10 --> 00:07:11]  что рыбка у вас пересыхает.
[00:07:11 --> 00:07:12]  А это не очень хорошо.
[00:07:12 --> 00:07:15]  Поверство с рыбки должна быть практически сухой.
[00:07:15 --> 00:07:18]  С небольшой такой еле, уловимой липкой.
[00:07:18 --> 00:07:21]  Сюда определяется тылная, я сейчас печатка.
[00:07:21 --> 00:07:24]  Придляется тылная, старомой ладони.
[00:07:24 --> 00:07:26]  Вы рыбков.
[00:07:26 --> 00:07:30]  Проверяется и видите, что она сухая и небольшая липкасть.
[00:07:30 --> 00:07:35]  Это идеальная состояния рыбы для того, чтобы уже ее отправить
[00:07:35 --> 00:07:37]  на общение.
[00:07:37 --> 00:07:40]  Пу форелей здесь тоже ситуация следующая.
[00:07:40 --> 00:07:42]  Должна образоваться легенькая корочка.
[00:07:42 --> 00:07:46]  То есть такая же корочка, и тоже провели, именно тылная,
[00:07:46 --> 00:07:50]  старом ладони, чтобы определить удалили мы поверхностную влагу
[00:07:50 --> 00:07:51]  или нет.
[00:07:51 --> 00:07:53]  В данном случае у нас все произошло быстро, и за то,
[00:07:53 --> 00:07:56]  что на срыбке небольшой количества осуществленный шкаф.
[00:07:56 --> 00:07:59]  Слэ, производство компания, и уже засправился с этим,
[00:07:59 --> 00:08:01]  всего за 30 минут.
[00:08:01 --> 00:08:08]  Самое главное в подсушке, это то, чтобы обмещение в котором
[00:08:08 --> 00:08:10]  происходит подсушка, то должна быть идеально сухим.
[00:08:10 --> 00:08:11]  Невереги их лучше.
[00:08:11 --> 00:08:16]  И чтобы это обмещение не связывалось с сэхом или с
[00:08:16 --> 00:08:22]  сэхом, в котором происходит разделка, потому что сушильное
[00:08:22 --> 00:08:25]  оборудование, она хватает эту влагу, и ваша рыба очень
[00:08:25 --> 00:08:26]  медленно сухня.
[00:08:26 --> 00:08:29]  То есть для сушки у вас бодожен бы отдельно теплопомещения
[00:08:29 --> 00:08:32]  с температурой 22, 24 градусов.
[00:08:32 --> 00:08:39]  Сейчас мы будем загружать наш рыбу в коптильную камеру.
[00:08:39 --> 00:08:45]  Камера электростатического холодного общения, и жится М4А.
[00:08:45 --> 00:08:52]  Буква названия этого агрегата означает то, что это камера
[00:08:52 --> 00:08:54]  полностью автоматизирована.
[00:08:54 --> 00:08:59]  И здесь абсолютно не надо тернистую следить за процессом
[00:08:59 --> 00:09:00]  общения.
[00:09:00 --> 00:09:04]  Да и зачем ему следить, если процесс общения в общем-то здесь
[00:09:04 --> 00:09:06]  проходит за считанные минуты?
[00:09:06 --> 00:09:10]  При полной загрузке камера коптить за каких-то 20 минут до
[00:09:10 --> 00:09:13]  80-х киловарм рыбной продукции.
[00:09:13 --> 00:09:16]  Если она у вас тополовину загружная, это время займёт
[00:09:16 --> 00:09:22]  и 10-х и 5 минут, поэтому очень продвинута, унговорить
[00:09:22 --> 00:09:23]  камера.
[00:09:23 --> 00:09:29]  И она у меня хочу вам сказать даже в мире такой камеры
[00:09:29 --> 00:09:31]  и не найдете.
[00:09:31 --> 00:09:34]  Мечта рыба обработчков.
[00:09:34 --> 00:09:36]  Ну что они и хочется сказать?
[00:09:36 --> 00:09:40]  Работает она по принципу электростатического общения.
[00:09:40 --> 00:09:44]  Ну если вы не делаете вопросы часто, а что такое электростатическое
[00:09:44 --> 00:09:45]  общение?
[00:09:45 --> 00:09:49]  Это как рыбу бюкту, как она там страдает или что-то меняется
[00:09:49 --> 00:09:50]  у нее в тканях.
[00:09:50 --> 00:09:54]  Нет, абсолютно ничего такого нет.
[00:09:54 --> 00:09:58]  Работает она по принципу электростатике.
[00:09:58 --> 00:10:02]  Это метод, это общение был извести на сразу еще босс
[00:10:02 --> 00:10:05]  велика тесной войны, когда стране нужно было делать много
[00:10:05 --> 00:10:06]  продуктов.
[00:10:06 --> 00:10:09]  И уже камеры такого типа они уже существовали.
[00:10:09 --> 00:10:13]  Но, кстати, за них серьезно взялись у 90-х годах.
[00:10:13 --> 00:10:16]  И как раз это компания, я вижу, что уже на начала выпускать.
[00:10:16 --> 00:10:18]  Это очень больших количеств.
[00:10:18 --> 00:10:21]  На сих пор эти камеры, которые выпищены еще в конце 90-х они
[00:10:21 --> 00:10:22]  работают.
[00:10:22 --> 00:10:25]  Понимаете, потому что там ломаться в принципе здесь нечего.
[00:10:25 --> 00:10:26]  По какому принципу работают?
[00:10:26 --> 00:10:27]  На каком принципе работают?
[00:10:27 --> 00:10:28]  Да, очень просто.
[00:10:28 --> 00:10:30]  У нас висит на изолированном контури.
[00:10:30 --> 00:10:35]  Выпка, рядом расположенные, ускорители на этот ускоритель
[00:10:35 --> 00:10:38]  представляется вот такую плана чкун.
[00:10:38 --> 00:10:42]  Так, на нее подается на этот ускоритель подается,
[00:10:42 --> 00:10:46]  тверх высокое напряжение, с высокочистатой на кончик
[00:10:46 --> 00:10:49]  о каких ускорителя образуется коронавной разыоды.
[00:10:49 --> 00:10:51]  А рыбка висит у нас.
[00:10:51 --> 00:10:54]  На небольшом расстоянии от этого ускорителя.
[00:10:54 --> 00:10:58]  И так как раз из потенциалов, разное, будем говорить дым
[00:10:58 --> 00:11:03]  с помощью электронного ветра, напоминается на поверхность рыбы.
[00:11:03 --> 00:11:04]  Все, ничего особено.
[00:11:04 --> 00:11:08]  То есть это поток, бунгарить части дыма в электростодическом
[00:11:08 --> 00:11:10]  электроногнитном поле.
[00:11:10 --> 00:11:14]  Как я знаю, физипу, это происходит вот так.
[00:11:14 --> 00:11:18]  То есть мы активизируемые ускоряем к общения.
[00:11:18 --> 00:11:22]  То есть мы не ждем как в традиции поторбицона схемия.
[00:11:22 --> 00:11:26]  4,5 часов, когда у нас там с щиповой быма генерата,
[00:11:26 --> 00:11:32]  работает, загрязляет за 4,5 часов окружающую среду.
[00:11:33 --> 00:11:36]  Реботиряет весь и тогда здесь все происходит гораздо быстрее.
[00:11:36 --> 00:11:41]  В этой камере, и же за 4,5 часов, установлен бимагиниратор,
[00:11:41 --> 00:11:43]  3,5 боколения.
[00:11:43 --> 00:11:53]  Работает, он на грузке размером 8,5 мм.
[00:11:53 --> 00:12:00]  И материал грузка, это у нас идет красная леха или бук.
[00:12:00 --> 00:12:05]  И тут и хорошая, это прекрасный гугарить материал для
[00:12:05 --> 00:12:07]  общения рыбы.
[00:12:08 --> 00:12:09]  Галия.
[00:12:11 --> 00:12:15]  Этот дыма генерактор имеет очень большую производительность
[00:12:15 --> 00:12:16]  в дыма генерации.
[00:12:16 --> 00:12:20]  Такой дыма генерата может спокойно питать камеры зумя евро,
[00:12:20 --> 00:12:23]  в ампи, загрузки рыбы по 250 килограмм.
[00:12:23 --> 00:12:26]  А у нас здесь загрузка до 80 килограмм.
[00:12:26 --> 00:12:30]  Теперь вы понимаете, какая плодная здима образуется в этой камере.
[00:12:30 --> 00:12:33]  И защита на иминуты с помощью лифрастатики,
[00:12:33 --> 00:12:35]  такой количеством дыма вбивается в рыбу,
[00:12:35 --> 00:12:37]  вы получаете готовые продукты.
[00:12:37 --> 00:12:43]  Вот перед вами внутренняя рабочая пространства этой камеры
[00:12:43 --> 00:12:48]  нас обключает клеть, которая изолирована от корпуса.
[00:12:48 --> 00:12:50]  Так клет загружается с помощью специальной пилия,
[00:12:50 --> 00:12:54]  женщики, которые в комплекте снабжаются с этой камерой.
[00:12:54 --> 00:12:57]  Она мобильная на колесиках и вы можете по всесушке
[00:12:57 --> 00:13:00]  спокойно без применения всяких усилий,
[00:13:00 --> 00:13:02]  там лишних загружатель.
[00:13:02 --> 00:13:06]  Клеится рыбкой в камеру.
[00:13:06 --> 00:13:09]  Ну, все, как я говорил, внутри ней на клеть,
[00:13:09 --> 00:13:12]  она изолирована, расположена на изоляторах.
[00:13:12 --> 00:13:15]  Она не из никогда не контактивают с корпусом.
[00:13:15 --> 00:13:18]  Здесь вывешиваются рыбка, что я сейчас буду делать.
[00:13:18 --> 00:13:19]  Так.
[00:13:20 --> 00:13:26]  Вдешему контрол у нас мантируется ускорители.
[00:13:26 --> 00:13:28]  Сейчас я вам покажу.
[00:13:28 --> 00:13:31]  И таким образом у нас происходит за грузкой.
[00:13:36 --> 00:13:39]  Слымка вывешивается на вишалах.
[00:13:39 --> 00:13:42]  Дальше мы установлены ускорители.
[00:13:42 --> 00:13:46]  Ускоритель устанавливается на специальные ланочки,
[00:13:46 --> 00:13:50]  которые находятся на горпусе позади.
[00:13:50 --> 00:13:54]  Жанен сущий мы, установлен их вертикальным положения.
[00:13:54 --> 00:13:57]  Ушло у нас вывесит вертикально.
[00:14:01 --> 00:14:04]  У нас не завевало ускоритель.
[00:14:04 --> 00:14:07]  Если рыбов у нас будет завевать ускоритель,
[00:14:07 --> 00:14:09]  электростатикой не будет работать.
[00:14:12 --> 00:14:16]  Кростая ня от ускорителя до рыбки, у нас должно быть.
[00:14:16 --> 00:14:20]  Вон, а линтируло, вот два пальца.
[00:14:20 --> 00:14:22]  Вот так.
[00:14:22 --> 00:14:25]  Вот такое у нас должен быть расстояния.
[00:14:25 --> 00:14:28]  И самое главное, что повторюсь,
[00:14:28 --> 00:14:32]  не было у нас соприкосани рыбы и ускорителя.
[00:14:32 --> 00:14:34]  Фарель у нас загружается в их правило.
[00:14:34 --> 00:14:35]  На сеточку.
[00:14:35 --> 00:14:37]  Так.
[00:14:37 --> 00:14:41]  Но ускорители здесь приварены к ранштейн,
[00:14:41 --> 00:14:44]  которые позволяют нам ускоритель установить как вертикальным положения.
[00:14:44 --> 00:14:46]  И в горизонтальном.
[00:14:46 --> 00:14:50]  Дам вам сущим, мы установим вертикентальным положения.
[00:14:51 --> 00:14:52]  Нак.
[00:14:56 --> 00:14:58]  Филье у вас сущих.
[00:15:04 --> 00:15:09]  Все, у нас все готово для холодного общения.
[00:15:14 --> 00:15:18]  Проговоримирование процессов в этой камере.
[00:15:18 --> 00:15:19]  И управление.
[00:15:19 --> 00:15:21]  Сущается путем контроллера.
[00:15:21 --> 00:15:26]  На нем как правило немного параметра фудли этой камеры.
[00:15:26 --> 00:15:28]  Как правило это время электростатич.
[00:15:28 --> 00:15:29]  Сколько общения проговорим.
[00:15:29 --> 00:15:31]  И время паузы.
[00:15:31 --> 00:15:33]  То есть время наполнения камеры дымом.
[00:15:33 --> 00:15:37]  И общие время общения.
[00:15:37 --> 00:15:39]  Все довольно просто.
[00:15:39 --> 00:15:42]  При желании можно управлять за слонками.
[00:15:42 --> 00:15:46]  Если вы хотите, допустим, увеличить общение без электростатики.
[00:15:46 --> 00:15:50]  Например, побольше, что ваша рыба побыла в имя.
[00:15:50 --> 00:15:53]  Поэтому здесь очень много возможностей.
[00:15:53 --> 00:15:55]  Но как правило, они все стандартные.
[00:15:55 --> 00:15:58]  И здесь особо ничего не надо мудрить.
[00:15:58 --> 00:16:00]  Здесь, например, данном случае у нас стоит.
[00:16:00 --> 00:16:02]  Проговорим, на 5 минут.
[00:16:02 --> 00:16:03]  Есть на 10 минут.
[00:16:03 --> 00:16:07]  А если мы забьем ее полностью, то можно сделать программу на 20 минут.
[00:16:07 --> 00:16:09]  Как правило, нам у этого хватит.
[00:16:09 --> 00:16:13]  То, что мы сейчас загрузили, буквально на общий процесс будет занимать
[00:16:13 --> 00:16:14]  у нас 5 минут.
[00:16:14 --> 00:16:16]  Чтобы этому сейчас ее включу.
[00:16:16 --> 00:16:18]  И начнется холу на копчение.
[00:16:18 --> 00:16:22]  На контролере, как мы видим, у нас уже есть.
[00:16:22 --> 00:16:23]  Нужасто программа.
[00:16:23 --> 00:16:26]  Но, как правило, мы здесь используем две программы.
[00:16:26 --> 00:16:29]  Это программа у нас копчение 5 минут и копчение 10 минут.
[00:16:29 --> 00:16:33]  Это все элементарно набирается на этом контролере.
[00:16:33 --> 00:16:35]  Данном случае мы будем использовать программу
[00:16:35 --> 00:16:38]  в Деву на копчение 5 минут.
[00:16:39 --> 00:16:41]  Тем более у нас камера не полной загрузки у нас там порядка,
[00:16:41 --> 00:16:43]  там 5 килограмм рыбы.
[00:16:43 --> 00:16:47]  Поэтому мы спокойно можем включить копчение 5 минут и запять минут.
[00:16:47 --> 00:16:49]  Наша рыбка закопится.
[00:16:49 --> 00:16:52]  Для этого мы выбираем рецепт копчение 5.
[00:16:52 --> 00:16:56]  Убираем рецепт, который у нас вывлекатель, все же вывлекатель.
[00:16:56 --> 00:16:57]  Вывлекательная.
[00:16:57 --> 00:17:01]  У нас получается по 10 минут на пол, 10 секунд на пол.
[00:17:01 --> 00:17:03]  И мы или фростатика тоже 10 секунд.
[00:17:03 --> 00:17:04]  Запускаем камер.
[00:17:04 --> 00:17:11]  Все, через 5 минут мы получим с вами готовую рыбу холодного копчения.
[00:17:11 --> 00:17:23]  И вот дорогие друзья, наши копчения закончилось.
[00:17:23 --> 00:17:27]  Каких-то 10 минут и рыбка готова.
[00:17:27 --> 00:17:30]  5 минут и последствия на копчение и 5 минут удаления.
[00:17:30 --> 00:17:34]  Дыма с помощью вентиляции, блюдительной.
[00:17:34 --> 00:17:38]  Общий процесс у нас занял всего 10 минут.
[00:17:38 --> 00:17:38]  Что мы имеем?
[00:17:38 --> 00:17:40]  Наша скуmbря красавицы.
[00:17:40 --> 00:17:42]  Пожалуйста.
[00:17:42 --> 00:17:44]  Все.
[00:17:44 --> 00:17:48]  5 минут в копчение господа.
[00:17:48 --> 00:17:51]  Сейчас мы ее правильно подсушиться.
[00:17:51 --> 00:17:53]  Потому что она видит у нас с лековожного.
[00:17:53 --> 00:17:55]  Это все же влажно и стреля.
[00:17:55 --> 00:17:58]  На каплевый цовон в большом количестве влаги.
[00:17:58 --> 00:18:00]  Она копается у нас, конечно.
[00:18:00 --> 00:18:01]  Ну как?
[00:18:01 --> 00:18:02]  Не в большом новом допустим.
[00:18:02 --> 00:18:03]  Каличисвей.
[00:18:03 --> 00:18:08]  Поэтому рекомендуется после копчения отправить ее на 10-15 минут в шкаф
[00:18:08 --> 00:18:10]  и свои для подсушки.
[00:18:10 --> 00:18:13]  После того, как она подсохнет мы произведем с вами.
[00:18:13 --> 00:18:17]  Звешивание и посмотрим, какой выход у нас готовые продукции.
[00:18:17 --> 00:18:20]  Получился именно на скуmbря.
[00:18:20 --> 00:18:25]  Что у нас с фараей?
[00:18:25 --> 00:18:29]  Параей, гонастожно, ничатная.
[00:18:29 --> 00:18:30]  Жанст.
[00:18:30 --> 00:18:31]  Все.
[00:18:31 --> 00:18:35]  Приквасно, копченное фарель.
[00:18:35 --> 00:18:42]  Пожа отправиться сейчас на подсушку и все дальше мы с весем.
[00:18:42 --> 00:18:44]  И я вас очень приятно порадую.
[00:18:44 --> 00:18:51]  Итак, дорогие друзья, наши рыба.
[00:18:51 --> 00:18:53]  Закоптилось.
[00:18:53 --> 00:18:57]  Подсушилось после копчения удалили мы поверхностную влагу
[00:18:57 --> 00:19:00]  и с поверхности рыбы.
[00:19:00 --> 00:19:05]  И теперь будем звершивать и смотреть, что мы получили в итоге,
[00:19:05 --> 00:19:10]  какие выхода, какие потеря или приветцы.
[00:19:10 --> 00:19:12]  Ну давайте начнем с фарейли.
[00:19:12 --> 00:19:15]  Значит, напомню, что фарей на у нас была.
[00:19:15 --> 00:19:19]  Изначально, девятьсот, двадцать пять грамм весело наше филие.
[00:19:19 --> 00:19:27]  После инектирования двух проходов и посола наш вес оставил 1,35 грамм.
[00:19:27 --> 00:19:30]  После копчения смотрим.
[00:19:30 --> 00:19:31]  Вот обнуляем.
[00:19:31 --> 00:19:34]  Итак, вторым смотрим.
[00:19:34 --> 00:19:37]  Девидцо 95 грамм.
[00:19:37 --> 00:19:39]  Так, девидцо 95.
[00:19:39 --> 00:19:42]  Это порядка 7% у нас выхода.
[00:19:42 --> 00:19:45]  Очень хороший результат.
[00:19:45 --> 00:19:50]  В предсанее за это филие, вынговорить в магазине
[00:19:50 --> 00:19:56]  до 4,000 штумлей за килограмм, мы с вами поймали 8%.
[00:19:56 --> 00:20:03]  Если, опять же, делать это все более технологично с нормальным оборудованием
[00:20:03 --> 00:20:09]  для инектирования, это цифра всегда должна быть порядка 10-15%.
[00:20:09 --> 00:20:12]  Ну, вы делали где-то 10-12%.
[00:20:12 --> 00:20:13]  Очень хорошо.
[00:20:13 --> 00:20:17]  Здесь помочь инектирования и электростатической общения можно
[00:20:17 --> 00:20:19]  добиваться очень больших выходов.
[00:20:19 --> 00:20:22]  Что я вам и доказал?
[00:20:22 --> 00:20:25]  Далее, у нас есть скумбря.
[00:20:25 --> 00:20:28]  Скумбря тоже готова у нас.
[00:20:28 --> 00:20:35]  Давайте извесим ее, как вы видите цвет у нее шокарный.
[00:20:35 --> 00:20:36]  Чуп.
[00:20:36 --> 00:20:40]  Ну, а бы скумря, я тоже рука отца.
[00:20:40 --> 00:20:42]  Очень трудно сейчас найти.
[00:20:42 --> 00:20:47]  Ну, и это рыбка у нас замечательно получилось.
[00:20:47 --> 00:20:51]  Вот мы получили 2,595 грамм.
[00:20:51 --> 00:20:57]  Изначально напомню, что было у нас 2,720 грамм.
[00:20:57 --> 00:21:03]  И после копчения мы добились с вами веса 2,950 грамм.
[00:21:03 --> 00:21:06]  Это порядка 8%.
[00:21:06 --> 00:21:11]  То есть 180% у нас выход готовы продукции при традиционной схеме.
[00:21:11 --> 00:21:18]  Если вы сольте, то лучшим посолом этот цифрова сбудет порядка
[00:21:18 --> 00:21:20]  на лучшем случае 99%.
[00:21:20 --> 00:21:26]  Ну, а стандартная цифра – это 8,7%.
[00:21:26 --> 00:21:28]  Решайте сами, или 87%.
[00:21:28 --> 00:21:30]  Или 150-600.
[00:21:30 --> 00:21:33]  Он согласен, здесь это очень серьезная разница.
[00:21:33 --> 00:21:36]  При этом с кумбре, не воденистая плотника.
[00:21:36 --> 00:21:41]  Очень красивая идеальная на вкус, на соль.
[00:21:41 --> 00:21:44]  Прикрасно будет храниться никаких морщин.
[00:21:44 --> 00:21:47]  Ну, в данном случае у нас не может, когда вот такая средства
[00:21:47 --> 00:21:48]  мы говорить.
[00:21:48 --> 00:21:52]  Не очень хорошая, но все равно мы добились плотной консистенции.
[00:21:52 --> 00:21:57]  Поэтому, опять же, сделаем подведем итоги, что посол рыба,
[00:21:57 --> 00:22:01]  способом ехтируня – это очень выгодно для рыбников.
[00:22:01 --> 00:22:04]  И добавок, если вы коптите на камере.
[00:22:04 --> 00:22:11]  М4а – это вообще будет просто потрясающий результат.
[00:22:11 --> 00:22:12]  Ваше работать.
[00:22:12 --> 00:22:16]  Тогда есть мясо работать, есть мясо зарабатывать деньги и выпускать
[00:22:16 --> 00:22:20]  прикавастящую вкусную красивую продукцию.
[00:22:20 --> 00:22:26]  Другие друзья, давайте поговорим о преимуществах этих технологий,
[00:22:26 --> 00:22:28]  которые сегодня я вам показал.
[00:22:29 --> 00:22:32]  Первое – что касается и нефтирования.
[00:22:32 --> 00:22:38]  Мы абсолютно не испортили рыбу этим способом посола.
