[00:00:00 --> 00:00:02]  Попробратно.
[00:01:58 --> 00:02:01]  потому как для отестирования холодильной установки
[00:02:01 --> 00:02:04]  нам удобно вывести трубки в бок и компрессор поставить рядом всюстановку.
[00:02:04 --> 00:02:06]  Когда камера приезжает в заказчику,
[00:02:06 --> 00:02:09]  устанавливается фальшпанель и трубки в воде вверх.
[00:02:09 --> 00:02:13]  В потолок, чтобы ужак не подключать холодильную установку.
[00:02:13 --> 00:02:15]  Можно в потолок, можно в правовле,
[00:02:15 --> 00:02:17]  либо чей исключу назад.
[00:02:17 --> 00:02:20]  В случае 4х ровного исполнения можно вывести все трубки вперед,
[00:02:20 --> 00:02:22]  так все трубки назад.
[00:02:22 --> 00:02:24]  Здесь нужно, а здесь уже там говорится,
[00:02:24 --> 00:02:30]  с клиентом и по проекту выстраиваются установка.
[00:02:30 --> 00:02:33]  Чему у нас здесь камера оснащена?
[00:02:33 --> 00:02:36]  В рирционном домогенератрам.
[00:02:36 --> 00:02:41]  Это домогенятого дает чистый бюм практически без консорогеров.
[00:02:41 --> 00:02:44]  И для холодного копчения он оптимает,
[00:02:44 --> 00:02:47]  потому как практически не загрязнять установку.
[00:02:47 --> 00:02:49]  Это цифра доходит в 10 раз,
[00:02:49 --> 00:02:50]  с ременщипалом домогенератра.
[00:02:50 --> 00:02:52]  В случае необходимости,
[00:02:52 --> 00:02:55]  мы можем останустить камеру от эмизатором,
[00:02:55 --> 00:02:57]  это экологический чистый бюм.
[00:02:57 --> 00:02:59]  Ищипалым домогенератром,
[00:02:59 --> 00:03:02]  если исполнения установки больше 4х рам.
[00:03:02 --> 00:03:05]  Мы можем устанавливать так же щиповые домогенераторы.
[00:03:05 --> 00:03:08]  В случае, если заказчику это необходимо.
[00:03:08 --> 00:03:09]  Если он отдает припочтение,
[00:03:09 --> 00:03:11]  именно трицоном и муще поодному.
[00:03:11 --> 00:03:13]  Но также у нас есть система от эмизации,
[00:03:13 --> 00:03:15]  без ограничения количества рам.
[00:03:15 --> 00:03:20]  И система фрикционной домогенерации
[00:03:20 --> 00:03:23]  работает на камеру на одну и на дверам.
[00:03:23 --> 00:03:30]  Думаю, что это в основном домогенератором
[00:03:30 --> 00:03:33]  в основном домогенератором.
[00:03:33 --> 00:03:36]  Особенность этого домогенератора в том,
[00:03:36 --> 00:03:40]  что он позволяет реализовать режимы рисекуляции бима,
[00:03:40 --> 00:03:45]  то есть дым, который попал в камеру из домогенератора,
[00:03:45 --> 00:03:47]  может вернуться в домогенератор
[00:03:47 --> 00:03:51]  из установки до насыки с бимом и подаваться вновь.
[00:03:51 --> 00:03:54]  Это позволяет увеличить плотный зимом на какратно.
[00:03:54 --> 00:03:56]  Также этот домогенератор может работать
[00:03:56 --> 00:03:57]  по прямоточность хеми.
[00:03:57 --> 00:04:00]  То есть засасываться с свежей воздубитом,
[00:04:00 --> 00:04:03]  чтобы забирать рабочие тело дым из дымогенератора.
[00:04:03 --> 00:04:06]  Он по трубе попадает в установку и дальше выбрасывается
[00:04:06 --> 00:04:08]  в системы вентиляции.
[00:04:08 --> 00:04:12]  Все это делается при помощи системы засловных,
[00:04:12 --> 00:04:15]  которые позволяет настроить гибко,
[00:04:15 --> 00:04:18]  сколько дымом будет попадать в установку,
[00:04:18 --> 00:04:19]  сколько дымом будет выбрасываться.
[00:04:19 --> 00:04:22]  Все эти пропорция не настраиваются.
[00:04:22 --> 00:04:24]  Что мы здесь видим?
[00:04:24 --> 00:04:26]  Труба подача дыма.
[00:04:26 --> 00:04:28]  Я не ест宴 на установку,
[00:04:28 --> 00:04:30]  а подача дыма камерой у нас двухравная,
[00:04:30 --> 00:04:33]  соответственно, коллектор на 2 дым.
[00:04:33 --> 00:04:35]  То есть дым, в каждую установку,
[00:04:35 --> 00:04:39]  попадает одинаков, потому что дыма получается труп у одинаковых.
[00:04:39 --> 00:04:41]  И труба у нас врата дыма.
[00:04:41 --> 00:04:46]  С системы управления установки
[00:04:46 --> 00:04:52]  основной на базе сенсорной панейля оператора.
[00:04:52 --> 00:04:56]  Она позволяет реализовать интуитивную понятную интерфейсть
[00:04:56 --> 00:05:00]  и достаточно быстрее просто программировать установку.
[00:05:00 --> 00:05:02]  Сейчас я не буду показывать,
[00:05:02 --> 00:05:04]  что это сделаем чуть позже.
[00:05:04 --> 00:05:07]  С системы позволяет подключить так неудаленно
[00:05:07 --> 00:05:10]  и производить эти настройки с помощью компьютера.
[00:05:10 --> 00:05:18]  Здесь мы разрабатываем нашу установки.
[00:05:18 --> 00:05:22]  На экране вы видите камеру,
[00:05:22 --> 00:05:25]  в которую мы сегодня сегодня со водей наспоматывали
[00:05:25 --> 00:05:27]  уже на производстве с цеху.
[00:05:27 --> 00:05:30]  Вот так вот примерно она выглядит.
[00:05:30 --> 00:05:33]  И здесь уже фальшпанейля на установлено.
[00:05:33 --> 00:05:35]  Сухую еще пока нет.
[00:05:35 --> 00:05:37]  Мы прорабатываем каждую деталь,
[00:05:37 --> 00:05:39]  чтобы мы еще раз не разогибаем,
[00:05:39 --> 00:05:43]  чтобы потом при сборке невестника уже никаких проблем.
[00:05:43 --> 00:05:46]  Как вы видите камеры все предыдущие,
[00:05:46 --> 00:05:50]  чтобы получаются в металле и в нашек конструкции.
[00:05:50 --> 00:05:55]  Из опций, что мы здесь можем сделать на этапе проектирования
[00:05:55 --> 00:05:56]  разработки установки,
[00:05:56 --> 00:05:59]  мы можем домогенерать рот остановки отцепить.
[00:05:59 --> 00:06:01]  Поставить его в другое помещение.
[00:06:01 --> 00:06:05]  Плок управления делали более компактный переместитель
[00:06:05 --> 00:06:06]  и учеченая верх,
[00:06:06 --> 00:06:09]  самый панейлуправление вывести в эператорского.
[00:06:09 --> 00:06:11]  Таким образом, получаем модульную конструкцию.
[00:06:11 --> 00:06:14]  Можно вам расположить несколько установок в ряд
[00:06:14 --> 00:06:18]  и панейлуправления будут всегда в оператор под рукой.
[00:06:18 --> 00:06:21]  Интересно рассмотреть также еще пора в у камеру.
[00:06:21 --> 00:06:22]  Камеру справа на грею.
[00:06:22 --> 00:06:24]  Следующий видеорвики,
[00:06:24 --> 00:06:25]  мы покажем ее в живую.
[00:06:25 --> 00:06:28]  Сейчас это пока конструкция.
[00:06:28 --> 00:06:30]  Это будет камера в арке.
[00:06:30 --> 00:06:33]  Соответственно, дымогенература не уполности отсутствует.
[00:06:33 --> 00:06:37]  Входные из основанки установлены напрямую на крюшу камеры.
[00:06:37 --> 00:06:41]  И выходную коллектор сделан более простым более тонким.
[00:06:41 --> 00:06:43]  Потому что здесь не нужна сушка.
[00:06:43 --> 00:06:44]  Здесь нужна только варка.
[00:06:44 --> 00:06:48]  И выход используется только для его квадции пара
[00:06:48 --> 00:06:50]  из камеры с темоментиляцией.
[00:06:50 --> 00:06:53]  Вот здесь блок управления силовой.
[00:06:53 --> 00:06:56]  Размещен над дверью, сверху, выше,
[00:06:56 --> 00:06:58]  над установкой.
[00:06:58 --> 00:07:00]  Пульт сделана в односным.
[00:07:00 --> 00:07:04]  Его оператор будет иметь у себя в помещении.
[00:07:04 --> 00:07:06]  Такие камеры будут установлены три вряд.
[00:07:06 --> 00:07:09]  И используется на одном из предприятий.
[00:07:09 --> 00:07:11]  Но три установки расположен.
[00:07:11 --> 00:07:12]  Так называемый паровый регистер.
[00:07:12 --> 00:07:15]  К установке подводится пар высокое давление в паровый регистер
[00:07:15 --> 00:07:17]  для сухого нагрева.
[00:07:17 --> 00:07:19]  Обычно в паровых варочих камерах
[00:07:19 --> 00:07:20]  это не используется.
[00:07:20 --> 00:07:22]  Здесь потребуется заказчиком это делаем.
[00:07:22 --> 00:07:25]  Также дополнительно подводится пар низкого давления.
[00:07:25 --> 00:07:29]  Для увлажнения и для подъема температуры.
[00:07:29 --> 00:07:31]  И варки в остем парам.
[00:07:31 --> 00:07:32]  Завам.
[00:07:32 --> 00:07:34]  Сейчас я скрую заднюю стенку.
[00:07:34 --> 00:07:38]  Мы увидим как установка устроена внутри.
[00:07:38 --> 00:07:40]  Вот здесь у нас как раз находится правой регистер.
[00:07:40 --> 00:07:44]  И он может открыть отдельный и посмотреть.
[00:07:44 --> 00:07:49]  Таким образом, мы будем террессистем от рубок
[00:07:49 --> 00:07:51]  специальными трубными досками,
[00:07:51 --> 00:07:57]  калекторами и распределения перегородками.
[00:07:57 --> 00:07:59]  И не поднимаем все милименты.
[00:07:59 --> 00:08:03]  Такой распределитель такой параменик будет
[00:08:03 --> 00:08:05]  удавать примерно 50 киловатт нагрева.
[00:08:05 --> 00:08:06]  Подробнее о правой камере.
[00:08:06 --> 00:08:08]  Мы расскажем в следующем видео.
[00:08:08 --> 00:08:10]  Когда соберем ее в нашем саху.
[00:08:15 --> 00:08:18]  Данную установку оснащена система автоматической
[00:08:18 --> 00:08:20]  запирающую механизма.
[00:08:20 --> 00:08:23]  Она позволяет на определенных шагах при открытых дверь.
[00:08:23 --> 00:08:25]  Например, чтобы следить лишнюю воду в трав.
[00:08:25 --> 00:08:28]  Закрыть его дальше и перетинно следующую шаге.
[00:08:28 --> 00:08:32]  Также она открывается непросто ручкой, а при помощи кнопки.
[00:08:33 --> 00:08:35]  Посмотрим, что внутри у установки.
[00:08:41 --> 00:08:45]  Внутри у установки много важнейших устроить.
[00:08:45 --> 00:08:49]  Самое главное, это устройство автоматического открования двери
[00:08:49 --> 00:08:50]  изнутри.
[00:08:50 --> 00:08:53]  Вы никогда не забудете человеку установки.
[00:08:56 --> 00:09:00]  По другому устройству камера выполнен по классической схеме
[00:09:00 --> 00:09:02]  с боков установленного духовода.
[00:09:02 --> 00:09:06]  По середине пластинной 4 сикатель, которые позволяют
[00:09:06 --> 00:09:10]  уровновесить потолк и сделать продовку продукта равномерного.
[00:09:10 --> 00:09:12]  Не зависимости от его загрузки.
[00:09:13 --> 00:09:20]  Итеросекателье подкрывается для того, чтобы проводить обслуживание.
[00:09:20 --> 00:09:23]  Ну или мойку установка.
[00:09:23 --> 00:09:28]  Данный установку у нас с функции холодного копчения.
[00:09:28 --> 00:09:32]  Поэтому здесь мы видим расположен из паритель.
[00:09:32 --> 00:09:35]  Выполнение из нежае и с стали.
[00:09:35 --> 00:09:39]  На всех промышленных установках и с паритель должен быть выполнен из промышленной
[00:09:39 --> 00:09:41]  нежае и еще войстали.
[00:09:41 --> 00:09:45]  Если мы выполнены из времени не имеете, то при мойки еще очень мисвесты
[00:09:45 --> 00:09:49]  и может быть деляться опасной газой, которые могут говорить газариву.
[00:09:53 --> 00:09:56]  Испоритель дополнительно остощен в своей небольшим лисикателем,
[00:09:56 --> 00:09:59]  которые выполняют несколько функций.
[00:09:59 --> 00:10:04]  Одна из них это улучшение продово, самого из паритель.
[00:10:04 --> 00:10:09]  То есть для того, чтобы максимальная количества холода снимать с этого устройства.
[00:10:09 --> 00:10:13]  И второе функция — это лавливание капель влаги,
[00:10:13 --> 00:10:18]  которое на нем возникает при работе.
[00:10:18 --> 00:10:24]  Например, при сушке или при холодом, как чение при обслужении дыма,
[00:10:24 --> 00:10:27]  на нем будет скапливаться достаточно много влаги со смолами.
[00:10:27 --> 00:10:32]  Она вся будет попадать сюда на расекатель и аккуратно водится в сторону
[00:10:32 --> 00:10:35]  и попасть и подаленно продов.
[00:10:35 --> 00:10:39]  Верху мы видим расположена два интиллятора для каждого ромона дельной,
[00:10:39 --> 00:10:46]  которые занимаются перемешиванием воздухов камере и работать сообщением с внешней средой.
[00:10:46 --> 00:10:50]  Загирая это воздух на сушке и с помещения в брасу и пиво, в системе виберятка.
[00:10:58 --> 00:11:02]  На крышу установки установлен так называемый газ за распределитель.
[00:11:02 --> 00:11:06]  Он позволяет управлять воздушными потоками, как внутри установки,
[00:11:06 --> 00:11:07]  за ее немного приделами.
[00:11:07 --> 00:11:11]  То есть, он отвечает за связь с установки с дымы генератором и системы вентиляции.
[00:11:11 --> 00:11:13]  Что позволяет делать за слонки?
[00:11:13 --> 00:11:18]  Заслонки позволяют реализовать различные режимы обработки продуктов камере.
[00:11:18 --> 00:11:26]  Например, сушка, интервольная сушка или копчения с возвратом дыма установку
[00:11:26 --> 00:11:30]  за слонка выхода из камеры обода, четырьмя положениями.
[00:11:30 --> 00:11:35]  Это позволяет открыть на 30-60% или полностью закрыть.
[00:11:35 --> 00:11:38]  Какие режимы в каких режимах это слонка может работать?
[00:11:38 --> 00:11:41]  Это слонка может работать в режим интервольной сушке,
[00:11:41 --> 00:11:45]  то есть по интервалам, заслонка будет открываться на заданной количества процентов.
[00:11:45 --> 00:11:51]  Это за слонка может провести просто по программе, открыто закрыто на нужное количество.
[00:11:51 --> 00:11:55]  Или, скажем так, интеллектуальное поддержание влажности,
[00:11:55 --> 00:11:58]  когда заслонка открывается зависимости от того,
[00:11:58 --> 00:12:02]  насколько текущая влажность камере выыша установленной.
[00:12:02 --> 00:12:06]  Большого расхождения открывается на 100%.
[00:12:06 --> 00:12:08]  Дальше, по уме, приобрежения, влажность и кцелевой,
[00:12:08 --> 00:12:10]  нам будет немножко прикрываться.
[00:12:10 --> 00:12:15]  Это позволяет максимально равномерно производить сушку продуктов внутри
[00:12:15 --> 00:12:17]  и минимизировать потери.
[00:12:17 --> 00:12:20]  Такой режим очень важным пригоречим кофчении рыба.
[00:12:20 --> 00:12:23]  Мы сейчас запустили установку на самых малохоборотах вентилятора.
[00:12:23 --> 00:12:28]  Вентилятор управляет что-то им преобразовательнее и позволяет выставить абсолютно любое порота
[00:12:28 --> 00:12:30]  от 30% до 100%.
[00:12:30 --> 00:12:32]  Это самый низкий оборот.
[00:12:32 --> 00:12:36]  И сейчас мы покажем, как это за слонка открывается.
[00:12:36 --> 00:12:42]  На 30% и 60% и 100%.
[00:12:42 --> 00:12:45]  Закрываем.
[00:12:45 --> 00:12:53]  Такой режиме максимально в воздухобмен в камере обеспечен.
[00:12:53 --> 00:12:58]  И здесь вот травильно как выходит из камеры воздух.
[00:12:58 --> 00:13:01]  Здесь мы помимо за слонки выхода из установки.
[00:13:01 --> 00:13:04]  Здесь, расположена, за слонка обратно в воду в домогенератор.
[00:13:04 --> 00:13:08]  Она позволяет минимизировать количество выбрасанного дыма.
[00:13:08 --> 00:13:13]  Вот массер, что повышает экологичность вокруг вашего производства.
[00:13:13 --> 00:13:18]  Также, сократить количество использованного бруска,
[00:13:18 --> 00:13:21]  потому что дым не выбрасывается, а возвращается от брата для доны сочения.
[00:13:21 --> 00:13:25]  Такая над кровается и закрывается.
[00:13:25 --> 00:13:29]  Здесь же расположены за слонки входа воздух в изпомещение.
[00:13:29 --> 00:13:33]  На каждую раму такая слонку становится отдельно.
[00:13:33 --> 00:13:38]  Это камера двухрамное, поэтому здесь расстояние подъема не регулируется.
[00:13:38 --> 00:13:41]  Но установка, как слышает двухрам, здесь в боку установок.
[00:13:41 --> 00:13:46]  Здесь две шпинки, которые позволяют тонко настроить подачу воздуха из помещения.
[00:13:46 --> 00:13:50]  Камера связана с домогенератором, при помощи за слонки подач дыма.
[00:13:50 --> 00:13:52]  Вот она здесь находится.
[00:13:52 --> 00:13:57]  При помощи этой за слонки контролируется подач дыма, густановку,
[00:13:57 --> 00:14:01]  длину труб на переднюю из-за дни, часть установки, одинаковые.
[00:14:01 --> 00:14:04]  Поэтому дым будет попадать равномерно.
[00:14:04 --> 00:14:07]  Чиждает эту заслонку, можно реализовать приматочный режим к общения.
[00:14:07 --> 00:14:12]  Когда дым не возвращается в домогенератор, выбрасывается в системы вителиации.
[00:14:12 --> 00:14:14]  А также проветрить домогенератор после к общения.
[00:14:14 --> 00:14:19]  Фрикционный дым нет дополнительный примечательный тем, что он подъем дым, когда это нужно.
[00:14:19 --> 00:14:25]  Если мы его останавливаем, ты ему не нужно тухнуть в шущещипу.
[00:14:25 --> 00:14:29]  И еще что-либо он прекращает в работой дым.
[00:14:29 --> 00:14:32]  И его необходимо просто проветрить при помощи вот такой заслот.
[00:14:34 --> 00:14:44]  Раскрой немного пропутающения термокамеры к холодильному оборудованию.
[00:14:44 --> 00:14:51]  Холодильный оборудный это вилму, что он не собирает его обрак.
[00:14:51 --> 00:14:55]  Есть несколько вариантов в подключении установки к холодильной линии.
[00:14:55 --> 00:14:59]  Первый вариант, когда компрессор размещается для ликого,
[00:14:59 --> 00:15:03]  а то установки, здесь у нас наш компрессор для тестирования,
[00:15:03 --> 00:15:06]  с моментречкой станции уже заправлен.
[00:15:06 --> 00:15:10]  И на нем мы в любом случае отрабатываем каждую установку.
[00:15:10 --> 00:15:14]  Для двухрамника необходимо примерно 10-12 км холод.
[00:15:14 --> 00:15:18]  Камеры поставляется по умолчанию без компрессора.
[00:15:18 --> 00:15:25]  Трупки для припаявания ее к холодильной линии выводятся на верхнодфачь панелью.
[00:15:25 --> 00:15:28]  И к ним производится подключение.
[00:15:28 --> 00:15:33]  В качестве опции можно отказать компресс холодильный григот у нас.
[00:15:33 --> 00:15:42]  Мы его смонтируем и дополнительно выведем управление эти могорегатом на нашу систему управления.
[00:15:42 --> 00:15:46]  В случае, если камеры подключаются к центральному холодильному могорегату,
[00:15:46 --> 00:15:50]  то обычно мы выводим сигнал типа сухой контакт для того,
[00:15:50 --> 00:15:54]  чтобы открываться леной миклапан подача в привонах установку.
[00:15:54 --> 00:15:58]  Камеры работает с большинством современных привонов,
[00:15:58 --> 00:16:05]  4-4-4-7-4-10, и если нужно рассчитывать терморегулируемый вентель,
[00:16:05 --> 00:16:08]  с которой будет создавать холод на привонах установки.
[00:16:08 --> 00:16:14]  Напомню, что одна рама камеры подребляет порядка 6 киловатта холода.
[00:16:14 --> 00:16:18]  Думаю, храмные исполнения соответственно 12.
[00:16:18 --> 00:16:32]  Управление индустриальными термоками Рами у нас осуществляется с помощью программы.
[00:16:32 --> 00:16:38]  В программы взбевывается шаги, а шаги выбираются из каких-то типовых шагов.
[00:16:38 --> 00:16:42]  В терминологии контрольеров в адиток называется код процесса.
[00:16:42 --> 00:16:47]  В нашей терминологии мы называем это шаблон шага.
[00:16:47 --> 00:16:50]  В терминологии фессмон называется Базис.
[00:16:50 --> 00:16:54]  Сейчас будем придержаться наши технологии, называть шаблон шага.
[00:16:54 --> 00:16:59]  У нас есть такая таблица, которая у нас указанная все эти повыше шаги,
[00:16:59 --> 00:17:02]  которые можем выбирать, как из библиотеки,
[00:17:02 --> 00:17:05]  для создания нашей технологической программы.
[00:17:05 --> 00:17:09]  В этих шаблонах у нас есть параметр, которые доступны для изменения,
[00:17:09 --> 00:17:12]  а есть параметр, которые фиксированы.
[00:17:12 --> 00:17:18]  В нашей таблице мы можем увидеть, что есть все необходимые шаблоны,
[00:17:18 --> 00:17:22]  которые нужны для создания практически любой технологической программы.
[00:17:22 --> 00:17:24]  Это и программы и сушка.
[00:17:24 --> 00:17:30]  И, интервально, сушка по интервалам открытия из окрытия выбрасной заслонки.
[00:17:30 --> 00:17:36]  Это и сушка повлажности с поддержанием необходимой заданной влажности на конкретном шаге.
[00:17:36 --> 00:17:40]  Это и копчение с помощью фриционного домогенератора,
[00:17:40 --> 00:17:42]  копчение с помощью домогенератора,
[00:17:42 --> 00:17:45]  копчение с помощью щипаого домогенератора.
[00:17:45 --> 00:17:51]  Это и пауза, как отдельный вид технологической программы и
[00:17:51 --> 00:17:54]  отдельный вид шаблон, это повтор.
[00:17:54 --> 00:17:58]  Когда мы хотим зациклеть повторение, какого-либо шага.
[00:17:58 --> 00:18:01]  Сейчас я покажу, как происходит удалённые управления
[00:18:01 --> 00:18:03]  в макамерой с компьютерами.
[00:18:03 --> 00:18:07]  Здесь мы подключаемся непосредственно к панной управления.
[00:18:07 --> 00:18:11]  Здесь мы видим на нашей камере.
[00:18:11 --> 00:18:16]  Здесь мы заходим в библиотек шаблон шагов.
[00:18:16 --> 00:18:20]  Здесь мы видим все базисы, которые мы прописаны.
[00:18:20 --> 00:18:24]  Мы можем подстраивать по работу собственной системе.
[00:18:24 --> 00:18:28]  Здесь мы видим программ, сушка запекания варка.
[00:18:28 --> 00:18:34]  Здесь мы видим, что температура на варке.
[00:18:34 --> 00:18:36]  Но задавился в 80 градусов.
[00:18:36 --> 00:18:39]  Здесь мы можем менять температуру продукта.
[00:18:39 --> 00:18:42]  Я надевляется условиям перехода на следующий шаг.
[00:18:42 --> 00:18:45]  Семь из 2 градуса, ее можем менять.
[00:18:45 --> 00:18:47]  Влажность у нас тоже изменяется.
[00:18:47 --> 00:18:49]  Здесь у нас 1%.
[00:18:49 --> 00:18:52]  Также вы можем иметь влажность.
[00:18:52 --> 00:18:56]  Задавать влажность вручную.
[00:18:56 --> 00:18:59]  Задать время импульса и вырешную.
[00:18:59 --> 00:19:02]  Если мы эти пара интернета не задали,
[00:19:02 --> 00:19:06]  то программа автоматически подбирает время паузы и время импульса.
[00:19:06 --> 00:19:09]  Соответствия с цикущей температуры в камере.
[00:19:09 --> 00:19:12]  Вот пауза и импульс будут меняться.
[00:19:12 --> 00:19:16]  Зависимости от температуры, чем вырешить температура в камере,
[00:19:16 --> 00:19:19]  тем подача влаги должна быть более интенсивная.
[00:19:19 --> 00:19:23]  Здесь у нас в шагов, не мы выбираем заслонки.
[00:19:23 --> 00:19:26]  Как они должны работать в конкретном в этом базе си.
[00:19:26 --> 00:19:28]  В конкретном в этом шагов.
[00:19:28 --> 00:19:30]  Или куда процесса.
[00:19:30 --> 00:19:32]  Работает или нет дымыгенератор.
[00:19:32 --> 00:19:34]  Скорость вращения основного интеллятора.
[00:19:34 --> 00:19:36]  Работает или нет душирования.
[00:19:36 --> 00:19:39]  И режим бойки по каналам.
[00:19:39 --> 00:19:43]  Здесь можно выбирать промывку либо запинивания.
[00:19:43 --> 00:19:47]  И можно выбирать конкретный канал,
[00:19:47 --> 00:19:49]  по которому мы к у нас проходят.
[00:19:49 --> 00:19:52]  В общем, у нас мойка проходит 3 этапа.
[00:19:52 --> 00:19:53]  Первые этапы на смыке.
[00:19:53 --> 00:19:54]  Это нагрев.
[00:19:54 --> 00:19:59]  В процессе, которого у нас происходит на грев.
[00:19:59 --> 00:20:02]  В общем, на камере при максимальной влажности,
[00:20:02 --> 00:20:05]  который занимает примерно 15 минут.
[00:20:05 --> 00:20:07]  Следующую нас идет процесс распыления.
[00:20:07 --> 00:20:08]  По каждому из каналу.
[00:20:08 --> 00:20:10]  Потрименуты на каждой канал.
[00:20:10 --> 00:20:13]  И следующий этап у нас промывка.
[00:20:13 --> 00:20:14]  Мойка промывка.
[00:20:14 --> 00:20:16]  Когда у нас все заслонки открыты.
[00:20:16 --> 00:20:19]  И время промывки у нас составляет средний 10 минут.
[00:20:19 --> 00:20:22]  В более детальном, мы расскажем не посредственно
[00:20:22 --> 00:20:25]  в инструкции по эксплуатации конкретной камере.
[00:20:25 --> 00:20:28]  Потому что по нелюправления и параметр,
[00:20:28 --> 00:20:31]  которые изменяются в конкретной камере,
[00:20:31 --> 00:20:32]  они могут меняться.
[00:20:32 --> 00:20:35]  Помимо настроек шаблонов шагов или кодов процессов.
[00:20:35 --> 00:20:37]  У нас, что предусмотрен,
[00:20:37 --> 00:20:39]  так называемый системный параметр,
[00:20:39 --> 00:20:42]  который влияет в общем работу системы.
[00:20:42 --> 00:20:44]  Но здесь параметр подачеводии,
[00:20:44 --> 00:20:48]  которые, как раз, позволяют задать интенсивность
[00:20:48 --> 00:20:54]  подачи влажены воды при разных температурах.
[00:20:54 --> 00:20:56]  И в этом месте мы задаем.
[00:20:56 --> 00:21:00]  Соответственно, если у нас давление воды системы
[00:21:00 --> 00:21:04]  высокой, мы импульс подачеводы делаем меньше,
[00:21:04 --> 00:21:05]  а ползу больше.
[00:21:05 --> 00:21:08]  Соответственно, если давление воды в системе
[00:21:08 --> 00:21:10]  не такое высокой, то мы ползу уменьшаем,
[00:21:10 --> 00:21:13]  а импульс подачеводы увеличиваем.
[00:21:13 --> 00:21:18]  И параметр сушение здесь вносятся гестеразис.
[00:21:18 --> 00:21:21]  Также есть параметр работы дымы генератра,
[00:21:21 --> 00:21:25]  здесь мы задаем параметр или фрикционного дымы генератора,
[00:21:25 --> 00:21:28]  либо щипа у дымы генератора, либо атомизазтора.
[00:21:28 --> 00:21:30]  то есть, на параметре зевут разные.
[00:21:30 --> 00:21:33]  Параметр системы мойки берут предачево раствора.
[00:21:33 --> 00:21:39]  Весь интенсивность подачи раствора мы задаем систему
[00:21:39 --> 00:21:45]  в систему параметры системы душирования, время переключения сторон и время продовки системы,
[00:21:45 --> 00:21:49]  для того, чтобы система душирования освободилась от накупельной воды.
[00:21:49 --> 00:21:54]  И здесь мы конкретно в этой панели у нас есть еще экспериментальные функции.
[00:21:54 --> 00:21:59]  Самая панели управления устроена следующим образом, с леву у нас текущей параметры,
[00:21:59 --> 00:22:03]  работой камеры, то есть у нас сейчас в камере 13 градусов.
[00:22:03 --> 00:22:08]  И справа те параметры, которым мы стремимся, которым мы хотим достичь.
[00:22:08 --> 00:22:15]  По центру, эти мигалочки мы нас задается те цели, которые мы хотим достичьная там шаги,
[00:22:15 --> 00:22:17]  или так называемый параметр перехода.
[00:22:17 --> 00:22:21]  Если мы с время задана, то время мы всегда будет параметры перехода.
[00:22:21 --> 00:22:24]  Здесь мы видим появляется цель.
[00:22:24 --> 00:22:29]  Влажность, если у нас задана, то она не является параметром перехода,
[00:22:29 --> 00:22:36]  в любом случае температура продукта, если она задана, она всегда будет является условиям перехода.
[00:22:36 --> 00:22:39]  А температура камеры может как являться условиям перехода,
[00:22:39 --> 00:22:42]  вот такой ситуации, либо не являться условиям перехода.
[00:22:42 --> 00:22:47]  Если условия уже выполнена, например, здесь поставим сейчас 13 градусов.
