[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:01:34 --> 00:01:37]  Земы будем делать скумбрю холодного общения.
[00:01:37 --> 00:01:41]  Но перед этим мы ее посолим способом иниктирования.
[00:01:41 --> 00:01:45]  Вторая позиция — это форельморская.
[00:01:45 --> 00:01:51]  Дорогая рыба порядка, вот даже в охлаждю нам в виде.
[00:01:51 --> 00:01:54]  Это филе принеморезелки в магазине сейчас.
[00:01:54 --> 00:01:56]  Вот четыритый еще рублей.
[00:01:56 --> 00:01:59]  После того, как она пройдет обработку, посолы общения,
[00:01:59 --> 00:02:01]  размеется, она будет еще дороже.
[00:02:01 --> 00:02:06]  Поэтому очень интересно производителям, конечно, получить больше
[00:02:06 --> 00:02:10]  выход после общения, размеется и сроких ранения,
[00:02:10 --> 00:02:12]  что мы ли достойны и внешний вид.
[00:02:12 --> 00:02:16]  То есть аркады аргеналептика соответствовал хорошему качеству.
[00:02:16 --> 00:02:18]  Ну, с чего мы начнем?
[00:02:18 --> 00:02:21]  Начнем мы со скумбря.
[00:02:21 --> 00:02:24]  Вот перед нами вы видите, 10 штучек скумбря.
[00:02:24 --> 00:02:29]  Я специально приобрел для сегодняшнего ролика не самую качественную скумбря.
[00:02:29 --> 00:02:31]  Взял ее в обычном магазине.
[00:02:31 --> 00:02:39]  Сетевом это наша течесная мурманская добыта в наших возможных водах
[00:02:39 --> 00:02:42]  в северных ближе к отлантике рыба.
[00:02:42 --> 00:02:44]  Замороженав море размерный ряд.
[00:02:44 --> 00:02:49]  Ну, колеблица, знаете, от 300-400-500 г.
[00:02:49 --> 00:02:51]  Поэтому не самое лучше.
[00:02:51 --> 00:02:54]  Почему я взял именно такую средств.
[00:02:54 --> 00:02:57]  Я просто хочу вам показать, что способа менегтирования,
[00:02:57 --> 00:03:02]  мы не только посолим эту рыбу, но мы и улучшим внешний вид.
[00:03:02 --> 00:03:04]  Она не будет морщиниться.
[00:03:04 --> 00:03:09]  Она будет и внешний, очень красивая.
[00:03:09 --> 00:03:11]  И по плотной семяцам она будет.
[00:03:11 --> 00:03:15]  И по вкусы лымкается, она будет очень достойным продуктом.
[00:03:15 --> 00:03:17]  Какие преимущества и нехтирования?
[00:03:17 --> 00:03:21]  Многих пугает это слово и нехтирования.
[00:03:21 --> 00:03:23]  На самом деле это можно назвать иницирования,
[00:03:23 --> 00:03:25]  аж-прицивания.
[00:03:25 --> 00:03:29]  Мы вносим салило рассловор с помощью шючприца.
[00:03:29 --> 00:03:32]  В мышечную ткань рыба.
[00:03:32 --> 00:03:34]  Мы готовимся салило рассловор.
[00:03:34 --> 00:03:36]  У рыбников называются тунук.
[00:03:36 --> 00:03:40]  Я использую для нехтирования эксурсоль.
[00:03:40 --> 00:03:43]  Выврачная соль неодированная.
[00:03:43 --> 00:03:45]  Почему это соль экстрап?
[00:03:45 --> 00:03:48]  Потому что это самое чистое соль,
[00:03:48 --> 00:03:51]  и чтобы его у нас не забывалось не забивалось,
[00:03:51 --> 00:03:53]  процессе нехтирования.
[00:03:53 --> 00:03:55]  Чтобы постоянно не останавливались.
[00:03:55 --> 00:03:56]  Мы используем一次 соль.
[00:03:56 --> 00:03:59]  Она чистая и поэтому расслована с чистыми.
[00:03:59 --> 00:04:01]  У нас в инъекты еще есть фильтр,
[00:04:01 --> 00:04:02]  который фильтрует этот расслов.
[00:04:02 --> 00:04:04]  То есть мы получаем чисто рассловор
[00:04:04 --> 00:04:06]  и останавливаемся во время работы.
[00:04:06 --> 00:04:07]  Могон сказал, следующих.
[00:04:07 --> 00:04:11]  Кто серьезно будет заниматься способами нехтирования.
[00:04:11 --> 00:04:12]  На мои практике.
[00:04:12 --> 00:04:14]  Один работающий человек.
[00:04:14 --> 00:04:17]  Если он этим занимается в сюрорбудчу смену,
[00:04:17 --> 00:04:24]  может спокойно заанекировать порядка 2000 килограмм с кумбри.
[00:04:24 --> 00:04:26]  Это проверенный факт.
[00:04:26 --> 00:04:27]  Если у человека все готова,
[00:04:27 --> 00:04:30]  у него есть разморожный дефорсированный средец.
[00:04:30 --> 00:04:33]  У него есть досолочный тунук.
[00:04:33 --> 00:04:35]  У него есть рвейца, рабочие места.
[00:04:35 --> 00:04:40]  И он спокойно завучился, что в собедом может заанектировать эти две тонны рыбы.
[00:04:40 --> 00:04:43]  Я понимаю, что это колеса вполне достаточно для.
[00:04:43 --> 00:04:47]  И только для малоприяты, ну и для среднего.
[00:04:47 --> 00:04:49]  Как правило, предприятием среденьком,
[00:04:49 --> 00:04:52]  так вот как просто предприятием ноги.
[00:04:52 --> 00:04:54]  Свержал, и зидой по своей работе.
[00:04:54 --> 00:05:00]  Где по 300, а 300 до 500 килограмм с кумбрии сольца каждый день.
[00:05:00 --> 00:05:02]  И то это считается такой уже предприятием говорить.
[00:05:02 --> 00:05:04]  Ну, чуть выше среднего.
[00:05:04 --> 00:05:07]  Поэтому легко это рыба и нехтируется.
[00:05:07 --> 00:05:08]  И все это физические возможные.
[00:05:08 --> 00:05:11]  Вам выбрать моторику по инъектору.
[00:05:11 --> 00:05:14]  И спугодно заниматься нехтировым.
[00:05:14 --> 00:05:18]  Ну, что мы сами начнем на, мы, конечно, сегодня это все за нехтиры.
[00:05:18 --> 00:05:21]  Однозначно, нам нужно приготовить растворы.
[00:05:21 --> 00:05:22]  У нас будет два раствора.
[00:05:22 --> 00:05:26]  Один раствор мы будем заряжать в инъектор.
[00:05:26 --> 00:05:28]  Производство компании и жится.
[00:05:28 --> 00:05:29]  А второй раствор.
[00:05:29 --> 00:05:33]  У нас будет для того, что мы после нехтировня сразу
[00:05:33 --> 00:05:37]  погрузить с кумбрю, в основе, в котором он будет, она будет до салёция
[00:05:37 --> 00:05:38]  это рыба.
[00:05:38 --> 00:05:43]  Течение 24 часов при температуре плюс 5 градусов.
[00:05:43 --> 00:05:46]  На нам случае мы будем совить, в обычном, где-то он холодильник.
[00:05:46 --> 00:05:47]  В общем, моделение.
[00:05:47 --> 00:05:57]  Сейчас я взвешу нашу с кумбрю для того, чтобы пройти через весь наш цикл от сериаду.
[00:05:57 --> 00:06:03]  К общения, что мы видели на блюдале, какие у нас будут выхода.
[00:06:03 --> 00:06:08]  То есть, сколько мы поймаем веса после нашего копчения.
[00:06:08 --> 00:06:09]  Звешиваем рыбу.
[00:06:09 --> 00:06:11]  Второе.
[00:06:11 --> 00:06:12]  Взудили.
[00:06:12 --> 00:06:18]  А что нас 10 штучек и вес выпки.
[00:06:18 --> 00:06:20]  Дрят тысячи сенсор 20 грамм.
[00:06:20 --> 00:06:22]  Что я и запишу себе в блокнот.
[00:06:22 --> 00:06:24]  Это будет наша начальная цифра.
[00:06:24 --> 00:06:30]  Доргией друзья, меня зовут Роман Сакаях.
[00:06:30 --> 00:06:32]  Я приглашаю вас принять участие в турнире.
[00:06:32 --> 00:06:33]  В немесленников.
[00:06:33 --> 00:06:35]  Две тысячи 25 года.
[00:06:35 --> 00:06:38]  Это первый турнир по копчению мяса в России.
[00:06:38 --> 00:06:47]  Мы предлагаем омокнуться в эту потрясающее атмосферу.
[00:06:47 --> 00:06:49]  Дружеского сестизания.
[00:06:49 --> 00:06:52]  Где каждый может продемонстировать свои науки и обязательно узнать,
[00:06:52 --> 00:06:54]  что там новые от коллег.
[00:06:54 --> 00:06:57]  Приглашаю всех, кто готов показать своем мастерство.
[00:06:57 --> 00:07:00]  Поделиться знаниями с другими участниками.
[00:07:00 --> 00:07:04]  Это мероприятия будет проходить семнабство и 18-юля.
[00:07:04 --> 00:07:07]  В поцелке репина в курортном районе Санкт-Петербурга
[00:07:07 --> 00:07:10]  прямо на берегу нашего любимого пинского залива.
[00:07:10 --> 00:07:13]  Пограден турнира два дня на полном дизнаниями.
[00:07:13 --> 00:07:15]  Общения в соревнованиям будут выступления
[00:07:15 --> 00:07:17]  от ведущих специалистов отраспи.
[00:07:17 --> 00:07:21]  Обязательно устроим дискуссия с идеей ненавышленников
[00:07:21 --> 00:07:22]  из других городов.
[00:07:22 --> 00:07:25]  Обменяемся опытом и идеями и мнениями.
[00:07:25 --> 00:07:29]  Посмотрим о оцением работы ремесников вместе с жири,
[00:07:29 --> 00:07:31]  что будет очень увлекательно победитель турнира
[00:07:31 --> 00:07:35]  получит главный приз термокамеру в армии не от ижицы.
[00:07:35 --> 00:07:39]  Как это было в прошлом году, можете посмотреть на нашем сайте
[00:07:39 --> 00:07:42]  компании ижицева разделят турнир ремесников.
[00:07:42 --> 00:07:47]  До встречи на турнире ремесников, укабщения мяса в 2025 году.
[00:07:47 --> 00:08:03]  И так, дорогие друзья, у нас все готово к конектированию.
[00:08:03 --> 00:08:06]  Хочется добавить еще следующая.
[00:08:06 --> 00:08:13]  Одно из самых главных преимуществ этого способа – это скорость посола.
[00:08:13 --> 00:08:17]  Если мы будем с олицами с конбрютор децонным, то зучным посолом
[00:08:17 --> 00:08:21]  или даже смешанным, кто как предпочитает.
[00:08:21 --> 00:08:27]  Но в основном ее соли-торлиционно в тузуки, то есть в солевых растворах.
[00:08:27 --> 00:08:32]  Время посола в таком случае будет занимать порядка 3,4 суток.
[00:08:32 --> 00:08:36]  Для того, что она была вкусная, потому что рыба должна созреть.
[00:08:36 --> 00:08:39]  И хорошо проциализация.
[00:08:39 --> 00:08:43]  Но после этого она набирает свой должный и прекрасный вкус.
[00:08:43 --> 00:08:45]  Ванектирование здесь все намного лучше.
[00:08:45 --> 00:08:50]  Время посола составляет всего 24 часа.
[00:08:50 --> 00:08:52]  Не зависимо от размеры рыбы.
[00:08:52 --> 00:08:55]  И рыбы, как бы просоливает сама себя изнутри.
[00:08:55 --> 00:08:59]  То есть, в мышечную ткань мы будем с салевой раствором.
[00:08:59 --> 00:09:02]  Здабавками погружаем в раствор для досаливания.
[00:09:02 --> 00:09:06]  Система уравнивается определенной концентрации,
[00:09:06 --> 00:09:10]  которые мы задали по рецептурам, приготовливаете растворы.
[00:09:10 --> 00:09:12]  И рыбка у нас никогда не пересолится.
[00:09:12 --> 00:09:18]  И ровно через 24 часа мы получаем прекрасную слаба саленную скуmbлю.
[00:09:18 --> 00:09:22]  Готовую для соленой продукции, для провестной продукции,
[00:09:22 --> 00:09:24]  или для кобченой.
[00:09:24 --> 00:09:26]  Приезжим на чать инектирование.
[00:09:26 --> 00:09:32]  Хочется рассказать объехторы, которые производят компания ижица.
[00:09:32 --> 00:09:38]  И некоторые этот создан недавно и работает по принципу
[00:09:38 --> 00:09:41]  на гитании раствора с помощью для фрагбинного насоса.
[00:09:41 --> 00:09:43]  Чем это хорошо?
[00:09:43 --> 00:09:47]  На этом позволяет не использовать отдельный компрессор,
[00:09:47 --> 00:09:49]  если это восприимматический инектор.
[00:09:49 --> 00:09:52]  И не использовать электроносос,
[00:09:52 --> 00:09:58]  который всегда говорит, тем, что ваш раствор для негтира не нагревается.
[00:09:58 --> 00:09:59]  Это очень плохо.
[00:09:59 --> 00:10:02]  И когда срабатывается человек с кефактор на производстве,
[00:10:02 --> 00:10:08]  когда рабочий негтирует и не обращает внимание на температуру раствора,
[00:10:08 --> 00:10:11]  это всегда ведет очень плохим последствиям.
[00:10:11 --> 00:10:16]  Так как теплый или ледай-бол горячий раствор для негтира,
[00:10:16 --> 00:10:24]  то тогда все у нас качество нашей рыбки катастрофически будет ухудшаться.
[00:10:24 --> 00:10:27]  В плод для того, что будет подварка,
[00:10:27 --> 00:10:33]  и консистенция мышечной ткани, мяса рыба,
[00:10:33 --> 00:10:37]  но уже будет мягкой, постабразной.
[00:10:37 --> 00:10:40]  А это соответственно все это уже брак.
[00:10:40 --> 00:10:45]  Поэтому этот динектор не нагревает раствор.
[00:10:45 --> 00:10:48]  Он очень деликат на держит давление.
[00:10:48 --> 00:10:52]  То есть если вы висовали там полтора, там очка, там атмосфер.
[00:10:52 --> 00:10:54]  Он у вас будет это все плодника держать,
[00:10:54 --> 00:10:57]  а у вас не разорвет ваш рыбу.
[00:10:57 --> 00:11:01]  То есть здесь все продумано до мелочей.
[00:11:01 --> 00:11:03]  Состоит он из вот такого длочка,
[00:11:03 --> 00:11:08]  манометра диафагме у насоса, фильтра приемный.
[00:11:08 --> 00:11:11]  Здесь у нас тут для крас, помещен раствор для негтира.
[00:11:11 --> 00:11:17]  И, в общем-то, все у нас готово для того, чтобы пронегтировать,
[00:11:17 --> 00:11:19]  посолить наш в скумбре.
[00:11:19 --> 00:11:25]  Напомню, что в скумбре я пребрел специально не высокого качества.
[00:11:25 --> 00:11:28]  Потому что это правило такая скумбре.
[00:11:28 --> 00:11:32]  Сейчас, по-разпособнена на наших предприятий.
[00:11:32 --> 00:11:34]  Хорошую скумбре.
[00:11:34 --> 00:11:36]  Сейчас приблизи очень трудная.
[00:11:36 --> 00:11:39]  Петмод мы все работаем вот на такой слегка.
[00:11:39 --> 00:11:43]  Слегка слаблена, как систенция, вот вы видите, какая она ослабленная.
[00:11:43 --> 00:11:49]  Я обнескал, что это такой пересладный продукт.
[00:11:49 --> 00:11:54]  Сыновая, это, в общем-то, нормально, сидобная скумбре.
[00:11:54 --> 00:11:56]  Извем можно сделать достойный продукт.
[00:11:56 --> 00:12:00]  Что сейчас я вам и буду показывать.
[00:12:00 --> 00:12:03]  Вот перед нами, будем говорить рабочая место,
[00:12:03 --> 00:12:05]  и нектировочек скумбре.
[00:12:05 --> 00:12:08]  У нас есть дефросированный сред.
[00:12:08 --> 00:12:11]  Это, наверное, единственный минус этой технологии,
[00:12:11 --> 00:12:15]  что нам для некирования необходимо полностью дефросированной
[00:12:15 --> 00:12:21]  до плюсовой температуры сериопомной дефросированной.
[00:12:21 --> 00:12:25]  То есть здесь не плюс там ни минус один там.
[00:12:25 --> 00:12:30]  Если она немножечко рыба будет прихватчено, у нас уже сам процесс не пройдет.
[00:12:30 --> 00:12:35]  Уже сливой раствор, тут долго он уже неправильно расстанется
[00:12:35 --> 00:12:39]  по бленгарить по всей рыбке, по мышечной мацію.
[00:12:39 --> 00:12:42]  Это, наверное, рыбу надо максимально хорошо дефросировать.
[00:12:42 --> 00:12:45]  Донний таких кредийских температур, как он надная.
[00:12:45 --> 00:12:48]  Ну хотя бы там, чтобы она была там плюс три, плюс пять там.
[00:12:48 --> 00:12:53]  Ну чтобы полностью, да, уже внутри рыбы не было.
[00:12:53 --> 00:12:56]  Ну, есть, судьбы много способов фенегтирования.
[00:12:56 --> 00:12:58]  Ну как правило, самое распространенный.
[00:12:58 --> 00:12:59]  Это одна иголчатая.
[00:12:59 --> 00:13:04]  Если одна иголчатая у нас, пасты, есть двух иголчатая.
[00:13:04 --> 00:13:07]  Но это у меня данный момент, а одна иголчатая.
[00:13:07 --> 00:13:09]  Можно по разному и не ктиривать.
[00:13:09 --> 00:13:12]  Мне нравится и не ктиривать, например, ее двумя уколы.
[00:13:12 --> 00:13:15]  Мы от я завожу, его лочку до хвоста.
[00:13:15 --> 00:13:18]  И потеконечку ее наполняю раствором.
[00:13:18 --> 00:13:20]  Видите, как она наполняется как сосуд.
[00:13:20 --> 00:13:21]  И с этой стороны завожу.
[00:13:21 --> 00:13:25]  Это и делаю все медлены, но на самом деле обычный человек.
[00:13:25 --> 00:13:26]  Все это делает очень быстро.
[00:13:26 --> 00:13:33]  И все, без фанадизма, вот буквально на ее наполнили достаточно 5,7% от массы рыбы.
[00:13:33 --> 00:13:35]  И все, и не ктирлены произведено.
[00:13:35 --> 00:13:39]  Далее мы ее сразу помещаем слабый тузлу.
[00:13:39 --> 00:13:40]  Слабый, как назвать.
[00:13:40 --> 00:13:42]  Ну, плотностью 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.
[00:13:42 --> 00:13:48]  Кстати, хочу вам напомнить, что раствор для игкирования он
[00:13:48 --> 00:13:51]  готовится по определенной рецептуре.
[00:13:51 --> 00:13:55]  В нюходят техологические препараты, комплексные смеси.
[00:13:55 --> 00:13:57]  Ну, они в большом количестве.
[00:13:57 --> 00:14:01]  Поэтому если вы хотите узнать, что туда входит какие
[00:14:01 --> 00:14:05]  в пищевые добавки, записывайтесь к нам на семинар, где я буду
[00:14:05 --> 00:14:11]  подробно рассказывать про эти все растворы и про рецептуры,
[00:14:11 --> 00:14:13]  как и готовить.
[00:14:13 --> 00:14:15]  Здесь ничего абсолютно сложного нет.
[00:14:15 --> 00:14:19]  Дальше вот на свыбка, некоторые не ктируются.
[00:14:19 --> 00:14:21]  Через анальна ответов все это ее протыкают.
[00:14:21 --> 00:14:25]  Дохлостика и наполняют ее, тоже как сосут, он наполняется.
[00:14:25 --> 00:14:28]  Полностью все, то же вот такой способ, без и не ктирования.
[00:14:28 --> 00:14:33]  Но это как правило распространено на рыбу хорошего хорошего
[00:14:33 --> 00:14:35]  сереза, вот такой плотенький.
[00:14:35 --> 00:14:37]  Вот так вот все.
[00:14:37 --> 00:14:39]  Все, у нас становится.
[00:14:45 --> 00:14:47]  Так, и мужичка у нас тут.
[00:14:47 --> 00:14:51]  Вот тут пацаны, сейчас ее нет.
[00:14:51 --> 00:14:52]  Нормально.
[00:14:52 --> 00:14:58]  Надо просто фильтр, чтобы было погружен в раствор.
[00:15:01 --> 00:15:07]  Значит, хочу заметить, что с троя здесь она выходит
[00:15:07 --> 00:15:11]  не из старца и голой, а из-за голого, чего мы его лочки.
[00:15:11 --> 00:15:13]  То есть у нас распиление вот так оно идет.
[00:15:13 --> 00:15:17]  Ни как медицинской вели, а вот так веером, чтобы позволяя это
[00:15:17 --> 00:15:21]  рономерно распределиться в мышечной массе с кумбре.
[00:15:21 --> 00:15:23]  Вот ее по теконечку, сейчас закончу ее.
[00:15:23 --> 00:15:28]  Хочется отметить следующий, что когда у нас завтра она выйдет из посола,
[00:15:28 --> 00:15:30]  это будет очень плотная рыба.
[00:15:30 --> 00:15:33]  А, абсолютно не такая, какой-то на сейчас вот такая.
[00:15:33 --> 00:15:37]  Опять же это все, говорится, симатически это вам показываю.
[00:15:37 --> 00:15:42]  На производстве, что немножко выглядит по другому, в емкость большая
[00:15:42 --> 00:15:48]  место организовано по другому, более это говорится у нас так.
[00:15:48 --> 00:15:53]  Я вам показываю принцип действия именно принцип работы.
[00:15:53 --> 00:16:03]  Ну вот, все последняя рыба, наполняем ее раствором.
[00:16:03 --> 00:16:09]  Вот совсем она видите, слабенькая.
[00:16:09 --> 00:16:13]  Завтра все будет крепенько.
[00:16:13 --> 00:16:18]  Все, ну вот, мы закончили и нектирование погрузили.
[00:16:18 --> 00:16:24]  Рыбку, в досолочной раствор, то звучок подностью 1,7.
[00:16:24 --> 00:16:28]  Все, 24 часа, надо бы готовы общения.
[00:16:28 --> 00:16:34]  Следующие наши этапы это посол, форели морской, уже многое гощистыми некором.
[00:16:39 --> 00:16:47]  Итак, переходим к следующему инектированию у нас с вами задача
[00:16:47 --> 00:16:50]  посолить форель морскую.
[00:16:50 --> 00:17:00]  Значит, перед вами охлаждённая свежая оквокультура форель морская весом
[00:17:00 --> 00:17:02]  925 грамм.
[00:17:02 --> 00:17:04]  Мы этот вес запишем.
[00:17:04 --> 00:17:09]  Это наш начальный вес. Это филия премиум разделки.
[00:17:09 --> 00:17:14]  И дальше будем смотреть, как дальше у нас по весу будут развиваться событие.
[00:17:14 --> 00:17:20]  Инектировать мы будем опять же с помощью инектора компании,
[00:17:20 --> 00:17:23]  и 2.2.
[00:17:23 --> 00:17:27]  Здесь уже идет другая насадка другого инструмента для инектирования.
[00:17:27 --> 00:17:31]  Если для скумбри мы использовали 1.4 инектора,
[00:17:31 --> 00:17:35]  то в данном случае мы будем использовать много и больше инектора.
[00:17:35 --> 00:17:39]  У нас есть вот такая плашечка.
[00:17:39 --> 00:17:45]  Хочу заметить, что это не профессиональная плашка.
[00:17:45 --> 00:17:52]  Это такая любительская для того, чтобы показать, что такое и лектирование медицинской мигломе.
[00:17:52 --> 00:17:56]  На производстве такой размер плашки на вряд ли используется.
[00:17:56 --> 00:18:00]  На производстве он больше, например, на этом раза в 3-4.
[00:18:00 --> 00:18:02]  Здесь у меня всего лишь 3-3-3-3-тиголочка.
[00:18:02 --> 00:18:05]  Она допользуется, хотя бы там в лигол 110.
[00:18:05 --> 00:18:08]  И то, вычиная плашка.
[00:18:08 --> 00:18:11]  Это самый бы умоговорит бюджетный вариант.
[00:18:11 --> 00:18:16]  Серьезные предприятия используют стационарные инекторы.
[00:18:16 --> 00:18:18]  Неворовых брендов, известных.
[00:18:18 --> 00:18:22]  Что мы сегодня, конечно, на сегодняшний день просто запредельно.
[00:18:22 --> 00:18:28]  Поэтому сейчас стараются, как бы не ктинать вот такими плашками.
[00:18:28 --> 00:18:31]  Такие плашки уже для производства.
[00:18:31 --> 00:18:36]  Именно я производит российские предприятия,
[00:18:36 --> 00:18:39]  которые образуют оборудование.
[00:18:39 --> 00:18:42]  Поэтому, если что вы можете, это му них,
[00:18:42 --> 00:18:45]  заказать, например, это оборудование.
[00:18:45 --> 00:18:50]  С сожалению, компания и же не укускает такого оборудования.
[00:18:50 --> 00:18:54]  Я думаю, в перспективе, я думаю, что не будет придумать.
[00:18:54 --> 00:18:57]  Дорогие друзья, все готово киниктированю.
[00:18:57 --> 00:19:00]  Я приготовил раствор для инектирования.
[00:19:00 --> 00:19:03]  В уровне опять же раствору.
[00:19:03 --> 00:19:06]  Вы можете узнать на семенаре, компания,
[00:19:06 --> 00:19:09]  и рывным, которые я провожу.
[00:19:09 --> 00:19:12]  В составчик не замысловатый.
[00:19:12 --> 00:19:15]  Постану сейчас за два просто.
[00:19:15 --> 00:19:16]  Что что-то удовгоняете?
[00:19:16 --> 00:19:20]  В гоняем добавочки, которые позволяют выдержать строхоронения.
[00:19:20 --> 00:19:23]  В обычном холодильнике до 40 дней,
[00:19:23 --> 00:19:25]  слабо солюной форрели.
[00:19:25 --> 00:19:30]  Также добавочки, которые не позволяют не терять цвет.
[00:19:30 --> 00:19:34]  Кольор рыбки, то есть она будет всегда красивой.
[00:19:34 --> 00:19:36]  Красного цвета.
[00:19:36 --> 00:19:39]  Присущая данному виду рыбы.
[00:19:39 --> 00:19:42]  Что еще выход будет в порядке 10%.
[00:19:42 --> 00:19:45]  Процентов это как минимум, даже вот на этой плашке.
[00:19:45 --> 00:19:47]  Обычное бытовое бы умею говорить.
[00:19:47 --> 00:19:49]  На производстве выхода, конечно, поболее.
[00:19:49 --> 00:19:54]  Это при условии того, что рыбка отече не будет.
[00:19:54 --> 00:19:57]  Потом прислайтированенорецки при вакомпаковке.
[00:19:57 --> 00:20:00]  То есть как раз технологический препарат и комплекс на функциональной.
[00:20:00 --> 00:20:05]  Имеют свойство, достичь, такой аргоналиптики.
[00:20:05 --> 00:20:06]  Сейчас за два просто.
[00:20:06 --> 00:20:10]  Что там химозного страшного.
[00:20:10 --> 00:20:15]  В общем-то, честно вам скажу, как специалист.
[00:20:15 --> 00:20:17]  Ничего там особо опасного лица.
[00:20:17 --> 00:20:21]  Но на бавке разрешенные все задеклорированные.
[00:20:21 --> 00:20:25]  Ну что, за новым пищевыми и кислоты.
[00:20:25 --> 00:20:27]  А что к пищему кислоты?
[00:20:27 --> 00:20:31]  Я обычно, а лимонная, с корбинкой, соли этих кислот.
[00:20:31 --> 00:20:35]  Это чтобы водить уровень паша в кислую бомь говорить.
[00:20:35 --> 00:20:38]  Сторную для того, чтобы у нас не развивались по таким,
[00:20:38 --> 00:20:41]  по такими болезидворные бактерии.
[00:20:41 --> 00:20:44]  То есть, чтобы рыбы милых хорошей качества
[00:20:44 --> 00:20:46]  и была безопасным для здоровья.
[00:20:46 --> 00:20:49]  Ну для связывания воды, как правило,
[00:20:49 --> 00:20:52]  многие используют растительные волокна.
[00:20:52 --> 00:20:55]  Пять же это натуральные бумгорить растительная добавка.
[00:20:55 --> 00:21:00]  Никого это, мне дру на химии, как многие боятся, честно говоря, нет.
[00:21:00 --> 00:21:04]  Лучше бы застреливание моя господа на как раз на квакультуру
[00:21:04 --> 00:21:07]  и спросили те, кто выращивает эту рыбу,
[00:21:07 --> 00:21:10]  возможно, генна модифицированная.
[00:21:10 --> 00:21:12]  Можно ли кушать эту рыбу?
[00:21:12 --> 00:21:14]  Это красота.
[00:21:14 --> 00:21:16]  Ну, на мой взгляд, это так.
[00:21:16 --> 00:21:18]  Шучу, ну это не дико рыба.
[00:21:18 --> 00:21:19]  Это уже может напрягать.
[00:21:19 --> 00:21:21]  Хотя цель не кунивай зунитир.
[00:21:21 --> 00:21:22]  Налеко не дико.
[00:21:22 --> 00:21:24]  То есть, наоборот, очень дико.
[00:21:24 --> 00:21:29]  Ну что, сейчас мы начнем ее не ктирывать.
[00:21:29 --> 00:21:32]  Обычно ее и не ктируют в два прохода.
[00:21:32 --> 00:21:34]  Вот, мы сейчас вычастливые проценты.
[00:21:34 --> 00:21:38]  Посмотрите, у нас форыли, я записываю форыль.
[00:21:38 --> 00:21:40]  И начальний вес у нас сейчас.
[00:21:40 --> 00:21:42]  Заводываю принем, филие.
[00:21:42 --> 00:21:45]  Но целый, девицу, 25 килограмма.
[00:21:45 --> 00:21:46]  Девицу, 25 килограмма.
[00:21:46 --> 00:21:48]  Сейчас мы сделаем первый проход.
[00:21:48 --> 00:21:52]  Конечно, то, что сейчас я буду делать это далеко не технологично.
[00:21:52 --> 00:21:54]  На производстве так не делают.
[00:21:54 --> 00:21:56]  На производстве есть такая плашечка.
[00:21:56 --> 00:21:58]  На ней стоит специально ограничитель.
[00:21:58 --> 00:22:00]  Чтобы нам не ломать и говки,
[00:22:00 --> 00:22:03]  специальный слив идет раствор,
[00:22:03 --> 00:22:07]  через фильтр, по цивкуляции, опять-нибудь идет на плашку.
[00:22:07 --> 00:22:11]  То есть это целая, будем говорить технологическое схемо,
[00:22:11 --> 00:22:14]  целый делический процесс, о котором, кстати, я тоже рассказываю,
