[00:00:00 --> 00:00:05]  Привет, друзья!
[00:05:45 --> 00:05:47]  Почищеная рыбы.
[00:05:47 --> 00:05:49]  15-460.
[00:05:49 --> 00:05:52]  Кругляем до 15 с половиной килограм.
[00:05:52 --> 00:05:54]  Для засолки 15 килограм рыбы.
[00:05:54 --> 00:05:58]  По идею не бы хотел эту звука, литров 10.
[00:05:58 --> 00:06:00]  Но я смотрю, за тужука запасан.
[00:06:00 --> 00:06:02]  И возьму не десять литров воды.
[00:06:02 --> 00:06:03]  А 12,5.
[00:06:03 --> 00:06:04]  Доверное.
[00:06:04 --> 00:06:05]  Дочево с половиной.
[00:06:05 --> 00:06:09]  Чтобы округлить, чтобы у меня получилась 15-450.
[00:06:09 --> 00:06:10]  Ну, 15,550.
[00:06:10 --> 00:06:11]  Доверное.
[00:06:11 --> 00:06:12]  Доверное.
[00:06:12 --> 00:06:17]  Учается 27,28 килограм.
[00:06:17 --> 00:06:19]  Общего веса, друзья.
[00:06:19 --> 00:06:20]  28 килограммов.
[00:06:20 --> 00:06:21]  Рыбы.
[00:06:21 --> 00:06:22]  Рыбы.
[00:06:22 --> 00:06:25]  И, друзья, 15,5 килограммов рыбы.
[00:06:25 --> 00:06:26]  И 12,5 килограммов.
[00:06:26 --> 00:06:27]  Клитров воды.
[00:06:27 --> 00:06:29]  Будет 28,5 килограммов.
[00:06:29 --> 00:06:31]  Общий вес.
[00:06:31 --> 00:06:34]  На этот берём из расчода.
[00:06:34 --> 00:06:35]  На 1 килограмм.
[00:06:35 --> 00:06:36]  Общего веса.
[00:06:36 --> 00:06:37]  Вода плюс рыба.
[00:06:37 --> 00:06:38]  35,5.
[00:06:38 --> 00:06:39]  Граммов.
[00:06:39 --> 00:06:40]  Соли.
[00:06:40 --> 00:06:43]  То есть 28 килограммов.
[00:06:43 --> 00:06:44]  Умножаю.
[00:06:44 --> 00:06:45]  На 35.
[00:06:45 --> 00:06:46]  Сматематикам меня не очень.
[00:06:46 --> 00:06:47]  Так что.
[00:06:47 --> 00:06:48]  На 27,5.
[00:06:48 --> 00:06:49]  На 35.
[00:06:49 --> 00:06:50]  Граммов.
[00:06:50 --> 00:06:51]  Получается.
[00:06:51 --> 00:06:53]  Девидсот 80 граммов.
[00:06:53 --> 00:06:54]  Соли.
[00:06:54 --> 00:06:57]  Мне будет необходимое для засолоке.
[00:06:57 --> 00:06:59]  Вот этого количества рыбы.
[00:06:59 --> 00:07:00]  Один, кодному.
[00:07:00 --> 00:07:01]  Умножаю килограмм рыбы.
[00:07:01 --> 00:07:03]  Друзья, рассчитать, кольцо воды очень просто.
[00:07:03 --> 00:07:06]  Вы можете взять, чтобы проще было намного проще.
[00:07:06 --> 00:07:07]  Килограмм рыбы.
[00:07:07 --> 00:07:10]  А я один литр воды из этого расчета.
[00:07:10 --> 00:07:11]  Получается килогела.
[00:07:11 --> 00:07:12]  Два килограмма.
[00:07:12 --> 00:07:13]  70 граммов.
[00:07:13 --> 00:07:15]  Вамп отребился до засолки одного всего.
[00:07:15 --> 00:07:16]  Ну, понятно, разбопись.
[00:07:16 --> 00:07:19]  Для засолки на корячек общения.
[00:07:19 --> 00:07:20]  Кому-то можно будет интересно.
[00:07:20 --> 00:07:21]  Два-холодных общениям делать.
[00:07:21 --> 00:07:23]  Для гонячого копчения.
[00:07:23 --> 00:07:24]  20 грамм.
[00:07:24 --> 00:07:26]  15-20 грамм соли на килограмм.
[00:07:26 --> 00:07:28]  Получается так же соли на тузуке.
[00:07:28 --> 00:07:30]  Для засолки мяса, то же самое 15-20 грамм.
[00:07:30 --> 00:07:33]  Соли на килограмм мяса.
[00:07:33 --> 00:07:34]  Засоли на тузуке.
[00:07:34 --> 00:07:36]  Там зависимо с этого мяса.
[00:07:36 --> 00:07:37]  Волосолить в римент.
[00:07:37 --> 00:07:38]  Волосолки будет.
[00:07:38 --> 00:07:39]  Будет будет.
[00:07:39 --> 00:07:40]  Прочеду, понятно.
[00:07:40 --> 00:07:42]  На берем, кяз рыбы перекладываю обратно.
[00:07:42 --> 00:07:43]  Наливаю.
[00:07:43 --> 00:07:45]  В кастрюру 12, с половиной литрохводы.
[00:07:45 --> 00:07:47]  Загружаю туда.
[00:07:47 --> 00:07:49]  Деви 18-80 грамм соли.
[00:07:49 --> 00:07:50]  Собственно, кипячут узу.
[00:07:50 --> 00:07:51]  Остужаю эту зву.
[00:07:51 --> 00:07:54]  Я этим узу кум уже заливаю хаоб холодным узу кум.
[00:07:54 --> 00:07:56]  Заливаю нашу рыбу.
[00:07:56 --> 00:07:57]  Как иди, я не стал ее мыть.
[00:07:57 --> 00:07:58]  В водой.
[00:07:58 --> 00:07:59]  Исподкра на друзья.
[00:07:59 --> 00:08:00]  Объясню почему.
[00:08:00 --> 00:08:01]  Хотел помнить.
[00:08:01 --> 00:08:02]  Но не буду.
[00:08:02 --> 00:08:04]  Я сейчас буду солить в тузуке.
[00:08:04 --> 00:08:06]  Просто, когда буду рыбу в тазке.
[00:08:06 --> 00:08:07]  Я уже на вяку.
[00:08:07 --> 00:08:09]  В рыба насольна.
[00:08:09 --> 00:08:10]  В этом взуке.
[00:08:10 --> 00:08:11]  Поисочен от 35 грамм соли на килограмм рыбу.
[00:08:11 --> 00:08:13]  Она не вымачивается.
[00:08:13 --> 00:08:14]  Не промывается.
[00:08:14 --> 00:08:15]  Прямо с узу, когда стоился.
[00:08:17 --> 00:08:18]  В звуке ее и промою.
[00:08:18 --> 00:08:20]  Потом тузу поставил ее все рыбка.
[00:08:20 --> 00:08:21]  Будто начисти.
[00:08:21 --> 00:08:23]  Не люблю я в митую рыбу.
[00:08:23 --> 00:08:25]  Собенно когда филе разделана.
[00:08:25 --> 00:08:27]  Такое на пассрый его разделает.
[00:08:27 --> 00:08:28]  И его мой в воде.
[00:08:28 --> 00:08:30]  Она получит забелое, блеклоя.
[00:08:30 --> 00:08:32]  И, может, даже протокнуть при засову.
[00:08:32 --> 00:08:33]  Поэтому я промою ее в тузу.
[00:08:33 --> 00:08:35]  Если я помыть, возьмите холодной воды.
[00:08:35 --> 00:08:37]  В хастрюлю на лейте добавки немного соли.
[00:08:37 --> 00:08:38]  И слабую зычку.
[00:08:38 --> 00:08:39]  Я его полоснитель.
[00:08:39 --> 00:08:40]  Но мне не объема большей.
[00:08:40 --> 00:08:41]  Я мне проще в тузу.
[00:08:41 --> 00:08:42]  Просто я потом спала снуть.
[00:08:42 --> 00:08:43]  Все обеакация.
[00:08:43 --> 00:08:45]  Но соответственно, я не знаю, что я не знаю, что я не знаю, что я не знаю.
[00:08:45 --> 00:08:47]  Но я все покажу все расскажу.
[00:08:47 --> 00:08:48]  Сейчас будем варить тузу.
[00:08:48 --> 00:08:50]  Друзья, как видите, я буду салить.
[00:08:50 --> 00:08:52]  В одном тузуке всю рыбу.
[00:08:52 --> 00:08:55]  И большую разрезанную на пласт.
[00:08:55 --> 00:08:58]  Среднюю разрезать на колодку.
[00:08:58 --> 00:09:00]  И не крупную.
[00:09:00 --> 00:09:01]  Прям целиком, с потрохайами.
[00:09:01 --> 00:09:02]  Не потрошенную.
[00:09:02 --> 00:09:03]  Вот у клейца или ком.
[00:09:03 --> 00:09:06]  Он солится целый, чтобы вы в хусной понимаете.
[00:09:06 --> 00:09:08]  Все просолятся одинаково посолить.
[00:09:08 --> 00:09:09]  Смотрите, все покажу.
[00:09:09 --> 00:09:11]  Не слушайте тех, кто говорит, что там нельзя в тузуке
[00:09:11 --> 00:09:12]  просолить рыбу.
[00:09:12 --> 00:09:15]  Разного размера можно и нужно ее сойти разного размера.
[00:09:15 --> 00:09:18]  В одном в одной ем пластивой, на том же тузуке.
[00:09:18 --> 00:09:20]  Просто, на даду, знать, сколько соли надо отдадать.
[00:09:20 --> 00:09:22]  Ну, теперь, знаете, три сфейгра на килограмм, в человеке.
[00:09:22 --> 00:09:24]  Беспроблем все просоливается.
[00:09:24 --> 00:09:26]  На моего сока у населетку 40 грамм.
[00:09:26 --> 00:09:28]  Но в Виале на рыбу, три сфейгра.
[00:09:28 --> 00:09:31]  Если хотите сделать, прямо сухую рыбить рыбу, сухую,
[00:09:31 --> 00:09:33]  пушку подрать пиву.
[00:09:33 --> 00:09:34]  Три сфейгра в соли.
[00:09:34 --> 00:09:36]  Ну, я сухую, вот так в рыбу.
[00:09:36 --> 00:09:37]  Ну, лучше не пересушить.
[00:09:37 --> 00:09:38]  Она выцахает.
[00:09:38 --> 00:09:39]  Она собралась.
[00:09:39 --> 00:09:40]  Чтобы она была такая.
[00:09:40 --> 00:09:41]  Но не сухая.
[00:09:41 --> 00:09:42]  Это будет все отлично.
[00:09:42 --> 00:09:45]  Кого тебе друзья, если чем больше вы сушиваем, планируйте.
[00:09:45 --> 00:09:46]  Испективы.
[00:09:46 --> 00:09:48]  За суще чем все-таки, планирует все-таки, планирует.
[00:09:48 --> 00:09:49]  Если ты засушить в вашей рыбу, то, что ли, чуть меньше
[00:09:49 --> 00:09:50]  добавлять.
[00:09:50 --> 00:09:51]  Вот и все.
[00:09:51 --> 00:09:54]  И сюда результат будет стабильный 100% идеальный.
[00:09:54 --> 00:09:56]  Девали попробовали.
[00:09:56 --> 00:09:57]  Что-то не устроила мало соли.
[00:09:57 --> 00:09:59]  Чувствую, еще раз добавили.
[00:09:59 --> 00:10:01]  Но, что ли, еще еще раз убавили.
[00:10:01 --> 00:10:03]  Записали, все, где-то я дали, я дали, я толсу запомнили.
[00:10:03 --> 00:10:07]  И постоянно сделайте, из раза в раз, будет получать 100% результат.
[00:10:07 --> 00:10:08]  Это соли.
[00:10:08 --> 00:10:09]  Я не предсказываю.
[00:10:09 --> 00:10:12]  Здесь, дорогие, профессиональные подходы.
[00:10:12 --> 00:10:14]  И ничего сложного.
[00:10:14 --> 00:10:17]  Так, друзья, вот, видите, 12 с половиной ритров.
[00:10:17 --> 00:10:21]  Не нравится, когда все-процессы, которые происходят, при засолкры,
[00:10:21 --> 00:10:22]  и контролирую я.
[00:10:22 --> 00:10:24]  И результат, я знаю, что я хочу получить.
[00:10:24 --> 00:10:25]  Я это получил.
[00:10:25 --> 00:10:27]  Если сделаю все, как нужно.
[00:10:27 --> 00:10:29]  То же сам, друзья, получится его.
[00:10:29 --> 00:10:31]  Вот, делится 80-80 гр.
[00:10:31 --> 00:10:32]  В соли.
[00:10:32 --> 00:10:33]  Усыпаем соль сразу.
[00:10:33 --> 00:10:34]  Холодную воду.
[00:10:34 --> 00:10:35]  Все.
[00:10:35 --> 00:10:36]  Старим.
[00:10:36 --> 00:10:37]  Бак на огонь.
[00:10:37 --> 00:10:38]  Доводим.
[00:10:38 --> 00:10:39]  До кипения.
[00:10:39 --> 00:10:40]  Кипятим.
[00:10:40 --> 00:10:41]  Пять минут.
[00:10:41 --> 00:10:42]  Дай об повностью.
[00:10:42 --> 00:10:43]  Ту звуку остыть.
[00:10:43 --> 00:10:44]  Это важно.
[00:10:44 --> 00:10:45]  Не в коисточек, врачи, ничего не зареваем.
[00:10:45 --> 00:10:46]  Залеваем.
[00:10:46 --> 00:10:47]  Нашу.
[00:10:47 --> 00:10:48]  Рыбу.
[00:10:48 --> 00:10:50]  И в тузуке, она мне столица будет друзья рыбу.
[00:10:50 --> 00:10:51]  Вот такой размер.
[00:10:51 --> 00:10:52]  Вот в трёх соль грамм.
[00:10:52 --> 00:10:53]  До трёх килограмм.
[00:10:53 --> 00:10:54]  Да, ну, трёх килограмм.
[00:10:54 --> 00:10:55]  Ваше.
[00:10:55 --> 00:10:56]  В трёх килограмм.
[00:10:56 --> 00:10:57]  Да, ну, трёх килограмм.
[00:10:57 --> 00:10:58]  Ваше.
[00:10:58 --> 00:10:59]  В Тилизовую суток.
[00:10:59 --> 00:11:00]  Все рыба равномерно просолиться.
[00:11:06 --> 00:11:08]  По воде и по рыбе.
[00:11:08 --> 00:11:09]  Не хуже.
[00:11:09 --> 00:11:11]  Пихик опять-таки у вас всё просто друзья.
[00:11:11 --> 00:11:12]  Нементорно.
[00:11:12 --> 00:11:14]  Как говорится, я по-помому.
[00:11:14 --> 00:11:16]  Я вот вы его тут вот идеальный формул.
[00:11:16 --> 00:11:17]  35 грамм.
[00:11:17 --> 00:11:18]  Даляли на рыбу сору грамм.
[00:11:18 --> 00:11:19]  Для малосольна рыбы.
[00:11:19 --> 00:11:21]  И она работа, я друзья.
[00:11:21 --> 00:11:22]  Так что пользуйтесь.
[00:11:22 --> 00:11:23]  Многие.
[00:11:23 --> 00:11:26]  В логере коллеги пользу с моими советами.
[00:11:26 --> 00:11:28]  Но вот дают их за свои.
[00:11:28 --> 00:11:29]  Ну, уже ладно.
[00:11:29 --> 00:11:30]  Пусть и там будет на их несовести.
[00:11:30 --> 00:11:31]  Ну, всё друзья.
[00:11:31 --> 00:11:33]  Больше пока по суло показать,
[00:11:33 --> 00:11:34]  что в Кипе, стонёт и сценин.
[00:11:34 --> 00:11:35]  Я заряю рыб.
[00:11:35 --> 00:11:36]  Пусть и зоняло.
[00:11:36 --> 00:11:37]  Не вернемся.
[00:11:37 --> 00:11:38]  Я покажу что делать дальше.
[00:11:38 --> 00:11:39]  Так что не перпечается.
[00:11:39 --> 00:11:40]  Сейчас будет продолжение.
[00:11:40 --> 00:11:41]  Так, вузе, наверха глядики.
[00:11:41 --> 00:11:42]  Красно-пёрки.
[00:11:42 --> 00:11:43]  Два дня, обсыхали.
[00:11:43 --> 00:11:45]  Ну, ещё соревать рыбка толстая.
[00:11:45 --> 00:11:47]  Тебе более из-за у нас, кто-то на кого-то куплор.
[00:11:47 --> 00:11:48]  Это по-брюшку.
[00:11:48 --> 00:11:49]  Еще вое подсохнуть.
[00:11:49 --> 00:11:50]  Ну, ничего.
[00:11:50 --> 00:11:51]  В коптилка сейчас надо идёт.
[00:11:51 --> 00:11:52]  Мы с решами.
[00:11:52 --> 00:11:54]  Температура выставит 20-ти.
[00:11:54 --> 00:11:56]  Восорого сорого сара возрато.
[00:11:56 --> 00:11:57]  Не спут обдол.
[00:11:57 --> 00:11:58]  Проточно дым.
[00:11:58 --> 00:11:59]  Всё это подсохнет.
[00:11:59 --> 00:12:00]  До сохнет засутки.
[00:12:00 --> 00:12:01]  Еще дойдёт.
[00:12:01 --> 00:12:02]  После копчения мы уже эту.
[00:12:02 --> 00:12:03]  В насхалия до паких.
[00:12:03 --> 00:12:06]  Взабудем давадить долг кондиционная катомность.
[00:12:06 --> 00:12:09]  Вжа просто ладешила их на сушку давялку.
[00:12:09 --> 00:12:10]  Вот такие, вот такие друзья.
[00:12:10 --> 00:12:11]  Выдержанные.
[00:12:11 --> 00:12:12]  Вызрившие.
[00:12:12 --> 00:12:13]  Просто офигенные.
[00:12:13 --> 00:12:14]  Капчоны.
[00:12:14 --> 00:12:18]  Диал меня на процесс копчения уходит.
[00:12:18 --> 00:12:20]  12 литров щипы.
[00:12:20 --> 00:12:21]  Сутки.
[00:12:21 --> 00:12:22]  Чуть больше.
[00:12:22 --> 00:12:23]  Повремени.
[00:12:23 --> 00:12:25]  Все-то будет копьиться.
[00:12:25 --> 00:12:28]  И, наверное, я еде вы это не просто так.
[00:12:28 --> 00:12:30]  Разопрочивая статику подробить.
[00:12:30 --> 00:12:32]  Я, как будто все закопить.
[00:12:32 --> 00:12:33]  Она был красивая.
[00:12:33 --> 00:12:34]  Жотник из-за ватиста.
[00:12:34 --> 00:12:35]  Все шикарна.
[00:12:35 --> 00:12:36]  Она друзья.
[00:12:36 --> 00:12:37]  Это не копчона рыба.
[00:12:37 --> 00:12:39]  Мы покрасти ее дыжет кем-дым.
[00:12:39 --> 00:12:41]  Твять будет тоже шикарный.
[00:12:41 --> 00:12:42]  Но это будет не то.
[00:12:42 --> 00:12:43]  Капиц должен в сутки.
[00:12:43 --> 00:12:44]  А то и двое.
[00:12:44 --> 00:12:45]  Дерем-нях коптилем.
[00:12:45 --> 00:12:46]  Под 10 дней.
[00:12:46 --> 00:12:48]  Капчоны щипы.
[00:12:48 --> 00:12:49]  Очень хорошая.
[00:12:49 --> 00:12:50]  Капчоны щипа.
[00:12:50 --> 00:12:51]  Вот Альха.
[00:12:51 --> 00:12:52]  Чистая.
[00:12:52 --> 00:12:53]  Бескоры.
[00:12:53 --> 00:12:54]  Видите.
[00:12:54 --> 00:12:55]  Какой корень.
[00:12:55 --> 00:12:56]  Бук.
[00:12:56 --> 00:12:58]  Я облоне.
[00:12:58 --> 00:12:59]  Все попают.
[00:12:59 --> 00:13:00]  Доказала на зоне.
[00:13:00 --> 00:13:01]  Нашёх нормально.
[00:13:01 --> 00:13:02]  Попотно.
[00:13:02 --> 00:13:03]  Чикачи.
[00:13:03 --> 00:13:04]  Мы с ним не знакомы.
[00:13:04 --> 00:13:05]  Просто его в ревонку.
[00:13:05 --> 00:13:07]  Если вы занимались копчением, берите хорошую щипу.
[00:13:07 --> 00:13:08]  Проверного продолжения.
[00:13:08 --> 00:13:09]  Я перебровал.
[00:13:09 --> 00:13:11]  Но нашёл одного более-менее.
[00:13:11 --> 00:13:12]  Но даже не более-менее.
[00:13:12 --> 00:13:13]  Нашёл одного.
[00:13:13 --> 00:13:14]  Конкретного.
[00:13:14 --> 00:13:16]  В которой занимается щипой.
