[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:07:23 --> 00:07:30]  ингредиентов, и мы всегда будем рады помочь, если кого-то заинтересует, помочь рассказать более детально,
[00:07:30 --> 00:07:38]  показать как это выглядит, помочь в постановке технологии, может быть ответить на какие вопросы прямо сейчас.
[00:07:38 --> 00:07:46]  Здравствуйте, я звусь Сергея Главной Констуктраком по-ниженце, да и немного добавлю про отмизатор. Добавлю самый главный момент,
[00:07:46 --> 00:07:51]  камера не пачкается, и нужно помыть только пол, то что накапывали жира. А второй момент очень важно,
[00:07:51 --> 00:07:56]  что можно скоптить продукцию на вишневом компоте или на самогоне. Такого точно нельзя сделать
[00:07:56 --> 00:08:01]  приклассическое дыма генерация. Что имеется виду вишневый компот из самогон?
[00:08:03 --> 00:08:06]  Классические, компот и самогон.
[00:08:06 --> 00:08:10]  Но очень продукт. В конце концентрата используется магон, например, самогон будет распуляться и
[00:08:10 --> 00:08:14]  вас будет вкус продукт с самогоном на пример. Вы уже это пробовали?
[00:08:14 --> 00:08:17]  Пробуем, что мы там только не пробовали.
[00:08:17 --> 00:08:25]  Отлично. Да, на самом деле Сергей, спасибо огромное, что напомню, мне довольно так и весомом преимущество применений технологии.
[00:08:25 --> 00:08:33]  Это как раз то, что прикопчение дымным конденцатом у нас не остается залы и смоливно три камеры,
[00:08:33 --> 00:08:39]  и соответственно, при повышении влажности до нормальной, там, к 100% в во время варки 90 плюс.
[00:08:39 --> 00:08:46]  У нас все, на лёде, которое получается на стенки либо напало, они просто смываются естественный влажностью.
[00:08:46 --> 00:08:51]  Поэтому затраты на мойку, затрат на клиник снижается в разы. Это уже подтверждено,
[00:08:51 --> 00:08:57]  скажем так, на многих промышленных предприятий, достаточно крупных. Поэтому это является да,
[00:08:57 --> 00:09:01]  действительно одним из самых достаточно весомых преимуществ применения данной технологии.
[00:09:01 --> 00:09:07]  Концентраты, ну, наличие, да, как продаются. Да, они продаются в готовом вводном растворе.
[00:09:07 --> 00:09:14]  В готовом вводном растворе. Именно те концентраты, которые используются для процесса отомизации,
[00:09:14 --> 00:09:20]  это тогда, когда мы регенерируеможиткого состояния в Тумана Образна, они продаются уже в готовом вводном растворе.
[00:09:20 --> 00:09:26]  Все такие жидкие дым, как бы жидкие дым совершенно не опознение,
[00:09:26 --> 00:09:31]  не совершенно не опознание. В двух словах, и жидцы компании, затратятся,
[00:09:31 --> 00:09:37]  на камень. Капчей, именно так. И именно так, мы приехали сюда для такого контраста, потому что уже с кампании
[00:09:37 --> 00:09:41]  и жидцы, я повторюсь, у нас создан большой проект, и мы не стоим на месте.
[00:09:41 --> 00:09:47]  При дудуще спикер, как раз, и говорила о том, что все меняется, мир меняется. И что,
[00:09:47 --> 00:09:53]  бы оставаться на месте, нужно бежать быстрее в два раза сегодня, поэтому нужно рассматривать различные технологии.
[00:09:53 --> 00:10:00]  Смотрите, интересно, то есть мы как раз здесь носло у нас такая домашняя обстановка, и много ребят,
[00:10:00 --> 00:10:07]  которые знакомы с дедами, которые кооптят железном ящики и расклады, что у них то самое настоящая.
[00:10:07 --> 00:10:10]  Все остальное, это лукавого, типа полное фигня.
[00:10:10 --> 00:10:16]  Вот если вы закоптили в чернину, она воняет дюктем и у вас болит печень после сидания, вот это настоящий продукт.
[00:10:16 --> 00:10:25]  То есть, и если мы говорим профессионально, а профессионально подходит, у вас появляется просто новую способу.
[00:10:25 --> 00:10:30]  Это не значит, что мы коптим химии, это не значит, что мы за искусственных, там, за резиновых женщин, понимаете?
[00:10:30 --> 00:10:37]  Это значит, что мы тоже за настоящей продукт, за натуральной, но натуральной продукт можно получить разные способами.
[00:10:37 --> 00:10:38]  Все, наверное.
[00:10:38 --> 00:10:44]  Самый главный плюс, это имязаться, те, кто, наверное, не коптил, никогда или коптил чуть-чуть, это уврять ли поймут.
[00:10:44 --> 00:10:55]  Но одна из основных проблем на крупных комбинатах, да и на маленьких, в том числе, это то, что у вас постоянно присутствует локализованный пожар.
[00:10:55 --> 00:10:59]  Пам для того, чтобы получить дым, во нужен маленький пожар.
[00:10:59 --> 00:11:07]  А мы знаем, что если у нас есть пожар маленький, он всегда стремится стать большим, не съесть все до чего дотянется.
[00:11:07 --> 00:11:18]  Если у вас есть маленький такой вот огонь, у вас есть вторичные продукты горения, сажа, про который сказал Роман, диагодь, немного, но он тоже присутствует.
[00:11:18 --> 00:11:20]  И вам нужно вашу камеру отскобливать.
[00:11:20 --> 00:11:22]  Прям далатому иногда.
[00:11:22 --> 00:11:28]  Понимаете, если у нас есть клиент, который полтора года камеру не мыли, потом берется зубила и зубилом все это делать.
[00:11:28 --> 00:11:33]  А, а если вы мой эти раз не делё, все нормально будет, ну, вам все равно придется ему быть.
[00:11:33 --> 00:11:38]  Если вы используете чистый, ж дымный концентраты, вам нужно ее просто ополаскивать.
[00:11:38 --> 00:11:40]  Сошен в эти.
[00:11:40 --> 00:11:41]  Ну вот.
[00:11:41 --> 00:11:50]  И что такое, по-настоящему, технология отомизации, вы отцурсите пожар на другом производстве.
[00:11:50 --> 00:11:55]  То есть у вас нет локализованного пожара, вам уже сделали дым, понимаете, что самое важное.
[00:11:55 --> 00:11:58]  По-мне нужен локальный источник огня источника опасности.
[00:11:58 --> 00:12:07]  Один из наших крупнейших российских клиентов, которые стопил, устанет, а не все нам рассказывали о том, что мы не можем все позволить в томизацию.
[00:12:07 --> 00:12:16]  Люди придут скажешь, что у нас химия, что мы ерундуя занимает, мы им говорим, что ребята это что такое вообще дымный концентрат, чтобы вы понимали.
[00:12:16 --> 00:12:17]  Вы знаете, что какой Змивик?
[00:12:18 --> 00:12:22]  Ну, Змивич, у вас с одной стороны вот такой вот Змивик.
[00:12:22 --> 00:12:23]  То есть дым проходит по...
[00:12:23 --> 00:12:25]  Змиве полоберинту.
[00:12:25 --> 00:12:26]  Полоберинту.
[00:12:27 --> 00:12:34]  С одной стороны, настоящий совершенно дым натуральный прям деревенский дым у нас получается от Альхина стоящий.
[00:12:34 --> 00:12:38]  Йом проходит по Змивику раз два три четыре.
[00:12:38 --> 00:12:40]  Инаразных этапах он кондансируется.
[00:12:40 --> 00:12:44]  У нас происходит кондансация абсолютно натурального дыма, понимаете?
[00:12:44 --> 00:12:51]  Мы не берем, у нас нет химической станции какой-то химпроизводства, а зот натурал, там какой-нибудь ощущение.
[00:12:51 --> 00:12:53]  Это настоящий дым.
[00:12:53 --> 00:12:56]  Просто он кондансируется на разных этапах.
[00:12:56 --> 00:12:58]  И кондансируется на разных этапах.
[00:12:58 --> 00:13:00]  Мы получаем разные химические составы.
[00:13:00 --> 00:13:03]  На разных этапах кондансация этого настоящего дыма.
[00:13:03 --> 00:13:05]  И подразные технологические задачи.
[00:13:05 --> 00:13:08]  Мы можем взять разные компоненты этого дыма.
[00:13:08 --> 00:13:11]  О трясенных компонента это у нас фемоллы,
[00:13:11 --> 00:13:13]  которую тучает зароматику.
[00:13:13 --> 00:13:16]  Это у нас carbonила, которая отвечает за цвет.
[00:13:16 --> 00:13:18]  И это у нас органические кислоты,
[00:13:18 --> 00:13:22]  которые отвечают за образование белкого Кольца на наших колбацах
[00:13:22 --> 00:13:25]  и за хрустность колбасы,זה, которые мы.
[00:13:25 --> 00:13:27]  И по сути, мы как вина делаем.
[00:13:28 --> 00:13:30]  Мы берем делаем купаш,
[00:13:30 --> 00:13:34]  там тех компонентов, которые у нас получились при производстве
[00:13:34 --> 00:13:36]  при кондензации этого дыма.
[00:13:36 --> 00:13:39]  И одни элементы этого купа жаедут для того,
[00:13:39 --> 00:13:42]  чтобы вас чипсы были с натуральным ароматом коопчения.
[00:13:42 --> 00:13:46]  Другие компоненты этого купа жаедут для того, чтобы получить Бурбегюсоус.
[00:13:46 --> 00:13:50]  А третьих компонентов этого купа жаедут для того, чтобы вам скоптить
[00:13:50 --> 00:13:54]  это максимальная эффективная получить крутейшая аромат цвет и все остальное.
[00:13:54 --> 00:13:58]  Но самое крутое фишка, это в том, что у вас,
[00:13:58 --> 00:14:01]  вы вообще не заморачивайтесь с поджигом.
[00:14:01 --> 00:14:02]  Понимаете?
[00:14:02 --> 00:14:03]  Вам не нужна зажигалка.
[00:14:03 --> 00:14:05]  Вот мы завтра будем поржигать.
[00:14:05 --> 00:14:08]  Это натуральный такой мы будем приомкоптить на натуре,
[00:14:08 --> 00:14:10]  там щипа все дела.
[00:14:10 --> 00:14:12]  Когда у вас есть это мизация,
[00:14:12 --> 00:14:15]  по сути, то есть тоже индустриальщика,
[00:14:15 --> 00:14:17]  мы это легче понять.
[00:14:17 --> 00:14:19]  Вам нужно немножко повезализировать.
[00:14:19 --> 00:14:23]  Но помните, единственный способ на 100% автоматистов
[00:14:23 --> 00:14:27]  автоматизировать процесс копчения, это отомизация.
[00:14:27 --> 00:14:29]  Потому что вам не нужно поджигать.
[00:14:29 --> 00:14:31]  Вам не нужно мыть.
[00:14:31 --> 00:14:34]  Вы как поставили себе тонну дымного концентратора раз.
[00:14:34 --> 00:14:37]  И у вас остальные концентра будут работать полгода.
[00:14:37 --> 00:14:40]  Вы даже в домогенерках залазить никогда не будете.
[00:14:40 --> 00:14:43]  Кто коптил, кто в принципе знает, что такое мой,
[00:14:43 --> 00:14:45]  какой отглепный до сора.
[00:14:45 --> 00:14:49]  Он сейчас испытывает один из отомизаторов на в камере
[00:14:49 --> 00:14:51]  за 100 килограмм.
[00:14:51 --> 00:14:53]  Вот он коптил всегда с помощью щипы натуральной,
[00:14:53 --> 00:14:55]  там поджигал.
[00:14:55 --> 00:14:57]  Это, ну, а у вас нет выборовца.
[00:14:57 --> 00:14:59]  Вы можете же коптить,
[00:14:59 --> 00:15:01]  не посадиться, не посадиться, не пацательной близости
[00:15:01 --> 00:15:02]  от джилых домов.
[00:15:02 --> 00:15:07]  И это как раз наш гость из турпменей,
[00:15:07 --> 00:15:12]  я помимо говорил о том, что как же он сейчас стоит,
[00:15:12 --> 00:15:15]  как же, собственно максимально повезти эффективность
[00:15:15 --> 00:15:17]  производства, чтобы нам деньги зарабатывать.
[00:15:17 --> 00:15:20]  А вот таким способом, когда у вас есть автоматизированный
[00:15:20 --> 00:15:23]  домогенератер, который делает отомизуационная
[00:15:23 --> 00:15:29]  коптильная облака в вашей камере без участие человека.
[00:15:29 --> 00:15:33]  И это на самом деле настолько круто,
[00:15:33 --> 00:15:35]  что многие даже не могут это,
[00:15:35 --> 00:15:38]  но осознать, что и думают, что здесь есть какой-то подвох
[00:15:38 --> 00:15:39]  нет, там подвох нет.
[00:15:39 --> 00:15:42]  Тороса мы истории сейчас история заключается,
[00:15:42 --> 00:15:45]  мы электростать камеры электростатического холодного копчения
[00:15:45 --> 00:15:47]  в общем, начинался наш бизнес.
[00:15:47 --> 00:15:49]  Презводим из 92 года.
[00:15:49 --> 00:15:51]  И до сих пор у нас есть люди, которые говорят,
[00:15:51 --> 00:15:52]  но не возможно.
[00:15:52 --> 00:15:54]  Мы всю жизнь коптилишей часов,
[00:15:54 --> 00:15:56]  а мы нам предлагаете с коптить за 15 минут.
[00:15:56 --> 00:15:59]  Наверное, получается, какой-то какая-то ерунда,
[00:15:59 --> 00:16:00]  мы наверно дурим народ.
[00:16:00 --> 00:16:03]  Здесь проблема в том, что люди многие оцениуют
[00:16:03 --> 00:16:05]  качество своего продукта,
[00:16:05 --> 00:16:08]  потому количество сил, которые не затратили
[00:16:08 --> 00:16:10]  на производство этого продукта.
[00:16:10 --> 00:16:11]  Понимаете, в чем фишка?
[00:16:11 --> 00:16:13]  То есть, на многиех варшно нистоноть только!」
[00:16:13 --> 00:16:15]  many, сколько качественные продукты.
[00:16:15 --> 00:16:16]  А насколько он задал балlam?
[00:16:16 --> 00:16:18]  Производить этот продукт.
[00:16:18 --> 00:16:19]  То есть, если он задал бал adaenta八 số.
[00:16:19 --> 00:16:21]  Значит, получится подубка camb demanding,
[00:16:21 --> 00:16:22]  если он не задал балkl.
[00:16:22 --> 00:16:25]  Значит, это что-то вас не вложило.
[00:16:25 --> 00:16:26]  Кроме-шки сев còn одинades подvised.
[00:16:26 --> 00:16:28]  Сказывает, кто в wonder knappчая продукта не шит.
[00:16:28 --> 00:16:30]  То есть, что пех başka не разговорcence в лесу
[00:16:30 --> 00:16:30] ーム за из motivate themselves.
[00:16:31 --> 00:16:33]  Есть veutаковыеYE, и папок предоходят в footsteps.
[00:16:33 --> 00:16:35]  Ты не был сыгрace, конечно.
[00:16:35 --> 00:16:37]  А что это, наверное, пред恐омited?...
[00:16:37 --> 00:16:39]  И, конечно, под bluntить нас,
[00:16:39 --> 00:16:43]  люди в относилиющей США. Прогресса, ты ещё и просто повышение
[00:16:43 --> 00:16:44]  собственной эффективности.
[00:16:44 --> 00:16:48]  Парнем всё правильно говорят и основные плюсы перечислили,
[00:16:48 --> 00:16:53]  но не перечисли один момент, который важен для тех, кто
[00:16:53 --> 00:16:55]  работают в городской черке.
[00:16:55 --> 00:16:59]  То есть почему у нас мы с нашу школе появилась печка
[00:16:59 --> 00:17:01]  с функцией отомизации дома?
[00:17:01 --> 00:17:04]  Найорная эта единственная сейчас печка, доброй си из-за
[00:17:04 --> 00:17:06]  в Комаринкой, которая есть отомизатора.
[00:17:06 --> 00:17:08]  Всё как происходило.
[00:17:08 --> 00:17:11]  Я прям помню, что это был феврал, и мы проводили обучению
[00:17:11 --> 00:17:13]  у нас куда семинар был.
[00:17:13 --> 00:17:17]  И в момент копчения нам привыгает жительные содомы,
[00:17:17 --> 00:17:18]  в котором мы находимся.
[00:17:18 --> 00:17:23]  И начинает просто нам кричать на нас, что у них вся квартира
[00:17:23 --> 00:17:24]  в дыму.
[00:17:24 --> 00:17:31]  И реально это проблема образования дыма, то есть дым, у копчения
[00:17:31 --> 00:17:35]  он яркий, его слышно, его видно.
[00:17:35 --> 00:17:38]  То есть достаточно, его чуть-чуть маленько, это понимая, что
[00:17:38 --> 00:17:40]  это аромат, но он у него чувствуешь.
[00:17:40 --> 00:17:45]  И если это один раз в полгода, когда ты проходишь мимо,
[00:17:45 --> 00:17:47]  какого-то предприятия, либо магазины ты чувствуешь этот
[00:17:47 --> 00:17:48]  запах.
[00:17:48 --> 00:17:49]  Это может быть тебе приятно.
[00:17:49 --> 00:17:54]  Но когда эти подокнами постоянно регулярно 4 раза по
[00:17:54 --> 00:17:58]  полчаса, каптит камера, и выбрасывает воздух, вот
[00:17:58 --> 00:17:59]  мосферу, это дым.
[00:17:59 --> 00:18:02]  А когда найти шаговату, что лета на балконе повесили
[00:18:02 --> 00:18:05]  на бельё постиранное, и ты приходишь, вечером сработает
[00:18:05 --> 00:18:08]  снимаешь, а оно пахнет дымом.
[00:18:08 --> 00:18:10]  То есть это вообще неприкольно.
[00:18:10 --> 00:18:14]  И людям это не нравится, у меня были примеры, когда
[00:18:14 --> 00:18:18]  закрывали магазины за того, что выхлопышал на улицу,
[00:18:18 --> 00:18:21]  аряда могут стоять какие-то солидные домавки, которые
[00:18:21 --> 00:18:23]  уже живут солидные люди.
[00:18:23 --> 00:18:27]  И рост, потребрая, когда разбирать из-то было, они
[00:18:27 --> 00:18:30]  не сказали, вы либо магазин закрываете, либо термокамеру
[00:18:30 --> 00:18:32]  убираете из этого магазина.
[00:18:32 --> 00:18:37]  В термокамеру ушла, потому что надо понимать, что любое
[00:18:37 --> 00:18:40]  образование дыма традиционного способа, он пиролизм,
[00:18:40 --> 00:18:41]  фрикционным, безразинца.
[00:18:41 --> 00:18:45]  Это дым, он яркий, люди его чувствуют, и не все мы
[00:18:45 --> 00:18:46]  это понравится.
[00:18:46 --> 00:18:50]  И из этого у нас, мы с мужской леврала появилась спечка с функцией,
[00:18:50 --> 00:18:54]  для того, чтобы решить конкретное от момент, чтобы не было дыма.
[00:18:54 --> 00:18:57]  То есть качество продукции мы его настроим, мы его подтянем,
[00:18:57 --> 00:19:01]  это будет нехуже, чем при классическом дыма образования.
[00:19:01 --> 00:19:03]  Но фактово, что у нас не будет выбрасно.
[00:19:03 --> 00:19:07]  Это ключевыми момент, потому что много предприятия находится
[00:19:07 --> 00:19:12]  в городской черте, актив, легально коптить в городской
[00:19:12 --> 00:19:13]  черте.
[00:19:13 --> 00:19:14]  Мы не можем.
[00:19:14 --> 00:19:16]  Это становится делать все сложнее сложнее, и имен на
[00:19:16 --> 00:19:19]  стакиме техническими заданиями, к нам сейчас соборощается
[00:19:19 --> 00:19:20]  все больше и больше.
[00:19:20 --> 00:19:25]  Объясню почему, потому что процесс атомизации
[00:19:25 --> 00:19:28]  проходит закрытыми заслонками при то, и вытяжки.
[00:19:28 --> 00:19:32]  На самом деле там идет процесс конвекции, то есть маленькое движение
[00:19:32 --> 00:19:33]  воздуха.
[00:19:33 --> 00:19:36]  Плюс ко всему процесс копчения атомизации.
[00:19:36 --> 00:19:37]  Ну, он достаточно жатт повремение.
[00:19:37 --> 00:19:43]  Что касается производства самого конденсата, я не рассказал,
[00:19:43 --> 00:19:45]  романно раздначал развивать эту мысль.
[00:19:45 --> 00:19:49]  На самом деле очень правильный слова, тогда когда мы отдаём
[00:19:49 --> 00:19:52]  эти проблемы с нагревом на outsource, это очень круто,
[00:19:52 --> 00:19:54]  очень круто подмечено, действительно, так и есть.
[00:19:54 --> 00:19:58]  Представьте огромный дымогенерator, огромный, да, он просто
[00:19:58 --> 00:20:00]  каких-то невероятных размеров.
[00:20:00 --> 00:20:02]  И туда действительно загружаетсящипа.
[00:20:02 --> 00:20:05]  Мы были у наших партнеров, кто производит дымные
[00:20:05 --> 00:20:06]  концентраторы.
[00:20:06 --> 00:20:08]  И мы видели сам этот процесс.
[00:20:08 --> 00:20:10]  Весительно правильно роман сказал о том, что идет
[00:20:10 --> 00:20:14]  некий процесс охлаждений, сепорации, филитрации.
[00:20:14 --> 00:20:17]  Это достаточно длительный технологический процесс, который
[00:20:17 --> 00:20:20]  позволяет получить на выходе.
[00:20:20 --> 00:20:25]  По сути, ну, назовем это примитивно на сыченную
[00:20:25 --> 00:20:26]  копченную воду.
[00:20:26 --> 00:20:31]  Если говорить прямо вот совсем примитивными словами.
[00:20:31 --> 00:20:36]  И вы знаете, говоря о том, что опасен продукт либо не опасен,
[00:20:36 --> 00:20:38]  ну, здесь, наверное, точно уже нет сомнений, то, что если
[00:20:38 --> 00:20:42]  я сам лично своими глазами видел, что вначале щипа,
[00:20:42 --> 00:20:45]  которые потом превращаются в копченную воду, и имея
[00:20:45 --> 00:20:50]  просто допустим пиролис, это безкислородное тление, достаточно
[00:20:50 --> 00:20:51]  длительное время.
[00:20:51 --> 00:20:55]  Щипа, ну, то есть представьте, щипа, огонь и копченое вода.
[00:20:55 --> 00:20:56]  Ну, где тут химия?
[00:20:56 --> 00:20:59]  Да, органической хими есть, но это органической хими.
[00:20:59 --> 00:21:02]  И вся органической хими она вокруг нас.
[00:21:02 --> 00:21:05]  Поэтому, поэтому, как-то, не знаю, на это пить такую копченную
[00:21:05 --> 00:21:07]  воду все-таки мы не рекомендуем, она все-таки используется
[00:21:07 --> 00:21:08]  больше для отимезации.
[00:21:08 --> 00:21:12]  А вы знаете, роман, когда мы были на экскурсии, у производителей
[00:21:12 --> 00:21:17]  дыма, в тех что-то, где достаточно распространен
[00:21:17 --> 00:21:20]  культ применения копченых продуктов, даже в ресторанах
[00:21:20 --> 00:21:21]  подают копченную воду.
[00:21:21 --> 00:21:24]  То есть, они ее используют просто как совус для того,
[00:21:24 --> 00:21:26]  чтобы кушать допустим мясо.
[00:21:26 --> 00:21:30]  То есть, люди живут именно форматом такого копчения.
[00:21:30 --> 00:21:34]  Тогда когда у тебя в кусе, аромат копчения преобладает абсолютно
[00:21:34 --> 00:21:35]  во всем.
[00:21:35 --> 00:21:38]  Это раз в этой культуре, это уже, в ревета, ни одного
[00:21:38 --> 00:21:41]  поколения, скажем так, люди понимают, что это действительно
[00:21:41 --> 00:21:42]  безопасно.
[00:21:42 --> 00:21:45]  Роман, а может, немножко прокоментировать.
[00:21:45 --> 00:21:49]  Вот мы у нас в компании есть три вида дыма генерации.
[00:21:49 --> 00:21:52]  Есть фрикционная дыма генерация фрикшена с логотрине.
[00:21:52 --> 00:21:56]  То есть, когда мы тремм, брусок, от дерева, и у нас получается
[00:21:56 --> 00:22:00]  дыма генерация, постоянно контролируемый температурый дыма
[00:22:00 --> 00:22:03]  образования, что исключает образование бед-заперена,
[00:22:03 --> 00:22:05]  про которую много говорили.
