[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[00:05:31 --> 00:05:33]  Давай, ты быстро.
[00:05:33 --> 00:05:35]  А-а-а.
[00:05:35 --> 00:05:37]  Так, ничего, стартуем.
[00:05:37 --> 00:05:42]  Стос.
[00:05:42 --> 00:05:43]  Стос.
[00:05:43 --> 00:05:44]  Стос.
[00:05:44 --> 00:05:47]  Ты попросил шоке, он получил.
[00:05:47 --> 00:05:51]  Может быть, от того, что мы сами параллельны транскации.
[00:05:59 --> 00:06:00]  Мы сейчас начинаем.
[00:06:00 --> 00:06:03]  Если будут, мы смотреть в стоги габит,
[00:06:03 --> 00:06:07]  то, что мы не забудем, мы не забудем.
[00:06:07 --> 00:06:08]  Вот.
[00:06:08 --> 00:06:10]  Значит, оплана.
[00:06:16 --> 00:06:18]  У нас присутствует сегодня разную дитуре.
[00:06:18 --> 00:06:23]  Те, кто уже на конкурте, уже есть в кого определённый румпот.
[00:06:23 --> 00:06:27]  В копчении и теннернтой, только базовым,
[00:06:27 --> 00:06:29]  начинает ознакомиться с этой тематикой.
[00:06:29 --> 00:06:32]  Вот и в которых есть достаточно много вопроса.
[00:06:32 --> 00:06:37]  Поэтому, в стреме, мы затронем.
[00:06:37 --> 00:06:42]  Он будет интереснее, думаю, для объех категорией.
[00:06:42 --> 00:06:47]  Слушайте, вы и значит, я немножко расскажу про то,
[00:06:47 --> 00:06:49]  что-то как универсальные камеры,
[00:06:49 --> 00:06:51]  и в чем может быть подвух и минул нюжсальных камеры.
[00:06:51 --> 00:06:54]  В общем, понимание, универсального копчения.
[00:06:54 --> 00:06:56]  Потом расскажу немножко провиды,
[00:06:56 --> 00:06:59]  копчения, виды, готовых продукт, готовые продуксы.
[00:06:59 --> 00:07:01]  И какие за дихвидах можно делать на наши камере.
[00:07:01 --> 00:07:03]  Ижество за 150.
[00:07:03 --> 00:07:06]  Потом, почему же она на самом деле,
[00:07:06 --> 00:07:09]  ижество за 150, это в жизни стицы.
[00:07:09 --> 00:07:13]  Остановлюсь отдельно на том вопросе,
[00:07:13 --> 00:07:16]  в чем же на самом деле отличие профессиональных камер.
[00:07:16 --> 00:07:18]  Вот бытовых камер.
[00:07:18 --> 00:07:21]  Например, когда вы копите в дворе,
[00:07:21 --> 00:07:25]  там на какой-то бытовой коптильме,
[00:07:25 --> 00:07:28]  чем отличие будет продукта приготовленного профессиональной
[00:07:28 --> 00:07:33]  термакамилии и бытовой коптильме в вас на даче.
[00:07:33 --> 00:07:39]  Вот мы расскажу подробно о тех технических новших стухоневанцах,
[00:07:39 --> 00:07:46]  которые мы реализовали в термакамилии ижество за 150.
[00:07:46 --> 00:07:48]  Значит,
[00:07:49 --> 00:07:50]  осталось мы все вот начнем.
[00:07:50 --> 00:07:52]  С точки зрения именно в нерсальности.
[00:07:52 --> 00:07:54]  В нашемного звонят клиентов,
[00:07:54 --> 00:07:56]  говорят, мы хотим универсальной камеры.
[00:07:56 --> 00:07:59]  И вот, пожалуйста, сделать на ее нерсальной.
[00:07:59 --> 00:08:03]  Нужно подойти с двухточек зрения.
[00:08:03 --> 00:08:07]  Во-первых, с точки зрения того, какой продукт мы будем коптить в камере.
[00:08:07 --> 00:08:09]  Другая точка в виде,
[00:08:09 --> 00:08:12]  как у этих технологий мы будем это и камере реализовывать.
[00:08:12 --> 00:08:14]  С точки зрения продукта, копчения,
[00:08:14 --> 00:08:17]  все наши камеры являются в нерсальными.
[00:08:17 --> 00:08:19]  В них можно коптить и сал,
[00:08:19 --> 00:08:22]  ерую и мясо, и различные спецы,
[00:08:22 --> 00:08:24]  и в общем-то любую продукт,
[00:08:24 --> 00:08:26]  которые вы поместите в камеру.
[00:08:26 --> 00:08:28]  С точки зрения технологии,
[00:08:28 --> 00:08:31]  если мы говорим про технологию,
[00:08:31 --> 00:08:36]  я бы разделил технологию на 4 разных категории.
[00:08:36 --> 00:08:38]  Значит, две категории,
[00:08:38 --> 00:08:41]  то горячие копчения, отдельные копчения рыбы,
[00:08:41 --> 00:08:43]  отдельные горячие копчения мяса,
[00:08:43 --> 00:08:44]  и отдельные две категории,
[00:08:44 --> 00:08:46]  по холодному копчению рыбы,
[00:08:46 --> 00:08:49]  опять-таки холодное копчение мяса.
[00:08:49 --> 00:08:52]  И я расскажу подробно,
[00:08:52 --> 00:08:54]  что из этих категории можно делать в
[00:08:54 --> 00:08:57]  катийные ирусы за 115.
[00:08:57 --> 00:08:59]  А в базовой комплектации.
[00:08:59 --> 00:09:02]  Значит, если мы говорим про горячей копчения мяса,
[00:09:02 --> 00:09:04]  практически любые виды,
[00:09:04 --> 00:09:05]  все виды,
[00:09:05 --> 00:09:06]  в общем, в общем,
[00:09:06 --> 00:09:07]  в общем, мясов,
[00:09:07 --> 00:09:08]  плоду запекания,
[00:09:08 --> 00:09:10]  в этой камере можно делать.
[00:09:10 --> 00:09:12]  Что такое горячие копчения мяса?
[00:09:12 --> 00:09:13]  Это общая,
[00:09:13 --> 00:09:15]  такой собирательная название
[00:09:15 --> 00:09:16]  технологического процесса,
[00:09:16 --> 00:09:19]  которая обычно состоит из трехтирочек и трех шагов.
[00:09:19 --> 00:09:21]  Значит, первый шаг обычно у нас сушка,
[00:09:21 --> 00:09:23]  второй шаг у нас обычно копчения,
[00:09:23 --> 00:09:26]  просто когда поверхность продукта подсушена,
[00:09:26 --> 00:09:27]  она готова к тому,
[00:09:27 --> 00:09:28]  чтобы на нее легкколер,
[00:09:28 --> 00:09:30]  леглит длинные компоненты.
[00:09:30 --> 00:09:33]  После того, как мы продукцию прокоптили,
[00:09:33 --> 00:09:36]  мы делаем кулинарную готовность.
[00:09:36 --> 00:09:37]  Мы нам нужно сделать так,
[00:09:37 --> 00:09:39]  чтобы продукт можно было употреблять.
[00:09:39 --> 00:09:41]  Мы добиваем все этого тем,
[00:09:41 --> 00:09:44]  что достигаем внутри продукта
[00:09:44 --> 00:09:47]  порядка 70-70 на уградуса.
[00:09:47 --> 00:09:49]  При 69 градусов,
[00:09:49 --> 00:09:50]  продукту же реально готов.
[00:09:50 --> 00:09:52]  Все, по-тагентной микрофлор,
[00:09:52 --> 00:09:53]  мне вам не что же,
[00:09:53 --> 00:09:56]  значит, его можно употреблять в пищу.
[00:09:56 --> 00:09:59]  Но мы специально
[00:09:59 --> 00:10:02]  доводим температуру до 70-71 градусов
[00:10:02 --> 00:10:05]  для того, чтобы гарантирует,
[00:10:05 --> 00:10:08]  что в отец точках всего продукта на все раме,
[00:10:08 --> 00:10:11]  у нас везде 69 градусов.
[00:10:11 --> 00:10:12]  Если мы говорим,
[00:10:12 --> 00:10:14]  прокуриться,
[00:10:14 --> 00:10:16]  укуриться межкодельный момент,
[00:10:16 --> 00:10:19]  потому что даже при 70 градусов
[00:10:19 --> 00:10:24]  с выродка у кости укурится все равно сохраняет красный цвет.
[00:10:24 --> 00:10:26]  В общем, тут потреблять пищу ее уже можно,
[00:10:26 --> 00:10:29]  но для того, чтобы не смущать наших клиентов,
[00:10:29 --> 00:10:33]  мы все равно должны температуру в центре
[00:10:33 --> 00:10:35]  кулица, добавить приемен до 74 градусов.
[00:10:35 --> 00:10:39]  При 74 и на 575 градусов
[00:10:39 --> 00:10:43]  краснотату уже теряется и приобретает такой боенчатый серватаций
[00:10:43 --> 00:10:46]  оттенок совершенно готового продукта.
[00:10:46 --> 00:10:49]  Веще говоря, у меня,
[00:10:49 --> 00:10:52]  в общем, в общем, все это технология прекрасно реализуется
[00:10:52 --> 00:10:54]  базовые комплектации и рецепт 15.
[00:10:54 --> 00:10:56]  Если мы говорим,
[00:10:56 --> 00:10:58]  прогорячая копчения рыбы.
[00:10:58 --> 00:11:00]  Ворячая копчения несколька отключается
[00:11:00 --> 00:11:02]  от горячего копчения мяса,
[00:11:02 --> 00:11:04]  но не смотри на это,
[00:11:04 --> 00:11:06]  опять-таки любое любую рыбу горячего копчения,
[00:11:06 --> 00:11:09]  мы также можем изготавливать выжиться за 15.
[00:11:09 --> 00:11:13]  В чем же отличие рыбы горячего копчения?
[00:11:13 --> 00:11:18]  Основую отличие от в этапах сушки и варки.
[00:11:18 --> 00:11:22]  То есть кулинарного достижения кулинарной готовности рыбы.
[00:11:22 --> 00:11:26]  Суши мы рыбу, особенно турлибу,
[00:11:26 --> 00:11:30]  которая у которой нет учешу и такую как скрубря
[00:11:30 --> 00:11:32]  или триска.
[00:11:32 --> 00:11:36]  Мы ее обычно сушим очень плавно.
[00:11:36 --> 00:11:40]  С набором температуры примерно 1,5 мм.
[00:11:40 --> 00:11:45]  Для того, чтобы у нас нет произошел,
[00:11:45 --> 00:11:49]  так называемый гидро удар внутри рыбы.
[00:11:49 --> 00:11:52]  Внутри, тушки, потому что если у нас
[00:11:52 --> 00:11:55]  производит в скипании и быстрое испарение влаги,
[00:11:55 --> 00:12:00]  и внутри, у нас по сути произойдет разрыв кожи
[00:12:00 --> 00:12:03]  и сама рыба по сути у нас попадает все вниз.
[00:12:03 --> 00:12:06]  Поэтому нам очень важно, на то же самое с кумбре
[00:12:06 --> 00:12:10]  ее очень плавно нагреть и подготовить к термической обработке.
[00:12:10 --> 00:12:14]  Если мы ее плавно нагреть и создадим вот такой мешочек,
[00:12:14 --> 00:12:18]  в этом мешочке она будет она и прокоптица хорошо.
[00:12:18 --> 00:12:22]  И она будет хорошо вариться, она проварится и не упадет вниз у нас.
[00:12:22 --> 00:12:26]  Соответственно, для мяса у мяса у нас нет такой,
[00:12:26 --> 00:12:28]  у мяса у нас нет такой проблемы.
[00:12:28 --> 00:12:30]  Мяса гораздо более методные структуру,
[00:12:30 --> 00:12:34]  коллагеные связи у мяса более крепкие.
[00:12:34 --> 00:12:38]  Поэтому смяса мы как можно быстрее в услушем,
[00:12:38 --> 00:12:41]  чтобы процент потерянутся был минимальным.
[00:12:41 --> 00:12:44]  И потом мы варим мяса на максимальной влажности,
[00:12:44 --> 00:12:46]  которые у нас доступна.
[00:12:46 --> 00:12:50]  В нашем случае это приходилось на 42% влажности.
[00:12:50 --> 00:12:52]  С рыбы другая история.
[00:12:52 --> 00:12:56]  Если мы задерен влажность рыбы больше 70% вопетки,
[00:12:56 --> 00:12:58]  кожется наша вот от мешочек,
[00:12:58 --> 00:13:01]  который мы создали присушки у нас разворится.
[00:13:01 --> 00:13:03]  И опять-таки мы все равно шуры было,
[00:13:03 --> 00:13:06]  а потом мы будем собирать с нашей коптильной камеры.
[00:13:06 --> 00:13:09]  В случае если мы рыбы правильно подсушили,
[00:13:09 --> 00:13:11]  и у меня есть клиенты,
[00:13:11 --> 00:13:14]  которые грамотно подошли к этому вопросу,
[00:13:14 --> 00:13:16]  они даже рыбу горящего окоопчения,
[00:13:16 --> 00:13:19]  три ску с кумбрию, они делают даже без обвязки.
[00:13:19 --> 00:13:22]  Весь накало искумбрию как по холодному копчению.
[00:13:22 --> 00:13:24]  И у них получается прекрасный продукт,
[00:13:24 --> 00:13:29]  с минимальным даже количеством морщинок на кожице,
[00:13:29 --> 00:13:32]  проскумбрию если я говорить.
[00:13:32 --> 00:13:36]  Вот, соответственно, если мы говорим про рыбу,
[00:13:36 --> 00:13:38]  по-разпросушку я сказал,
[00:13:38 --> 00:13:42]  копчения примерно также порходит как и в случае смесом.
[00:13:42 --> 00:13:47]  В нашем случае это от 15 до 40-45 минут.
[00:13:47 --> 00:13:49]  Завесимость от продукции, чем жерней рыба.
[00:13:49 --> 00:13:51]  Чем вы же температура копчения,
[00:13:51 --> 00:13:53]  тем быстрее ложится кулер.
[00:13:53 --> 00:13:56]  В общем, более постная рыба,
[00:13:56 --> 00:13:58]  как селетка, например,
[00:13:58 --> 00:14:02]  она дольше берет цвет.
[00:14:02 --> 00:14:04]  Дольше набирает свет связанное тестим,
[00:14:04 --> 00:14:07]  что дымные компоненты, как раз и раз творим их в жира.
[00:14:07 --> 00:14:09]  И чем жернее продукцию, тем легче,
[00:14:09 --> 00:14:12]  налепать дыму непосредственно поверхность.
[00:14:12 --> 00:14:15]  В общем, легче приобретается вот этот золотистый кулер.
[00:14:15 --> 00:14:21]  Значит, мы рыбы подсушили, прокоптили.
[00:14:21 --> 00:14:24]  И после этого нам нужно достигнуть куленарный готовность
[00:14:24 --> 00:14:25]  и рыба.
[00:14:25 --> 00:14:28]  Когда она у нас, по суше, смешенная копченная,
[00:14:28 --> 00:14:33]  красивая и нам нужно иметь возможность ее просто скушать.
[00:14:33 --> 00:14:36]  Что мы делаем в этом случае.
[00:14:36 --> 00:14:41]  Мы повышаем влажность до 55 до 70%
[00:14:41 --> 00:14:45]  в зависимости от вида продукция, чем более нежный продукт.
[00:14:45 --> 00:14:49]  Тем не же, влажность, которую мы поддерживаем в камере.
[00:14:49 --> 00:14:52]  И в том случае, если у нас рыбы достаточно в камере.
[00:14:52 --> 00:14:55]  Если по сути она все равно зависена продукт,
[00:14:55 --> 00:14:59]  и в этом случае мы контролируем влажность
[00:14:59 --> 00:15:04]  с тепению закрывания, либо открывания выбросной заслонки.
[00:15:04 --> 00:15:06]  Сверпу на камере я чуть позже покажу,
[00:15:06 --> 00:15:10]  нам заденохое, находится на заслонечка.
[00:15:10 --> 00:15:13]  И она регулирует какое же количество воздуха.
[00:15:13 --> 00:15:16]  Мы с камерой отдайом, какая же степень воздуха обмена
[00:15:16 --> 00:15:18]  с внешним миром.
[00:15:18 --> 00:15:21]  У нас реализуется в технологическом процессе.
[00:15:21 --> 00:15:23]  Соответственно, мы сильно открываем заслонку.
[00:15:23 --> 00:15:28]  То у нас та влага, которую при термической обработке рыба дает в внутренний обем.
[00:15:28 --> 00:15:30]  Она практически вся будет улетущего.
[00:15:30 --> 00:15:32]  И влажность у нас будет падать.
[00:15:32 --> 00:15:38]  Если мы при закрываем, про 45 на 60% примерно заслонку,
[00:15:38 --> 00:15:42]  закрываем то больше часть влаги, которая рыба отдает,
[00:15:42 --> 00:15:43]  она будет сохраняться.
[00:15:43 --> 00:15:48]  И соответственно, это влажности будет достаточно большинстве
[00:15:48 --> 00:15:52]  случаев для эффективной праварки рыбы на этапе правака.
[00:15:52 --> 00:15:55]  Смятся, не скрыная ситуация.
[00:15:55 --> 00:15:58]  Смятся мы стремимся, всегда к максимальной влажности,
[00:15:58 --> 00:16:00]  потому что ему не грозит упасть на пол,
[00:16:00 --> 00:16:02]  не грозит развалиться.
[00:16:02 --> 00:16:04]  Для мяса нужно для этого, как минимум,
[00:16:04 --> 00:16:06]  там 5,6 часов для свинины,
[00:16:06 --> 00:16:10]  а то и более дляговяденные, наверное,
[00:16:10 --> 00:16:13]  от 8 часов, чтобы быть совсем вот такими,
[00:16:13 --> 00:16:16]  разваренные, чтобы быть совершенно мягко для того,
[00:16:16 --> 00:16:18]  чтобы просто не держать соус на структуру.
[00:16:18 --> 00:16:21]  Для рыбы достаточно порой 20-30 минут.
[00:16:21 --> 00:16:24]  Поэтому на мясе мы стремимся к максимальной влажности,
[00:16:24 --> 00:16:27]  она рыбим мы стремимся к поддержанию влажности
[00:16:27 --> 00:16:29]  от 55 до 70%.
[00:16:30 --> 00:16:32]  Один из истории прорывы,
[00:16:32 --> 00:16:34]  если у вас не полная загрузка,
[00:16:34 --> 00:16:36]  например, вы загрузили там 10-15 килограмм.
[00:16:36 --> 00:16:39]  Это стандартная история на пусканалатке.
[00:16:39 --> 00:16:42]  Мы приезжаем клин, говорит,
[00:16:42 --> 00:16:45]  у меня там 5 рыбин, хочу попробовать скоптить.
[00:16:45 --> 00:16:47]  В этом случае той влажности,
[00:16:47 --> 00:16:49]  которая выделяется с поверхности рыбы,
[00:16:49 --> 00:16:50]  ее недостаточно для того,
[00:16:50 --> 00:16:55]  чтобы обеспечить 55-60% влажности внутри самой камеры.
[00:16:55 --> 00:16:59]  В этом случае мы в настройках
[00:16:59 --> 00:17:03]  панели управления делаем импульсную подачу воды
[00:17:03 --> 00:17:06]  и имитируем полную загрузку рыбы.
[00:17:06 --> 00:17:10]  Все это можно настраиваться либо вручным режиме
[00:17:10 --> 00:17:13]  либо автоматическом режиме как это делать,
[00:17:13 --> 00:17:15]  тоже я думаю, частично покажу сейчас.
[00:17:15 --> 00:17:19]  Если будет интересно проведу отдельный стрем
[00:17:19 --> 00:17:22]  по прогонированию панели управления,
[00:17:22 --> 00:17:25]  то же напишите пару слов комментарий,
[00:17:25 --> 00:17:27]  если это интересно обязательно сделано.
[00:17:27 --> 00:17:29]  Делается просто отдельное время,
[00:17:29 --> 00:17:31]  там порядка 23-3 минут,
[00:17:31 --> 00:17:33]  будет заниматься подобной видеоролик.
[00:17:33 --> 00:17:39]  Значит возвращаясь к праварке небольшой партию рыбы.
[00:17:39 --> 00:17:41]  Мы в программе ставим,
[00:17:41 --> 00:17:43]  что мы самая влажность,
[00:17:43 --> 00:17:47]  которую мы хотим на 30% и задаем импульсую подачу воды.
[00:17:47 --> 00:17:49]  Например, задаем,
[00:17:49 --> 00:17:53]  чтобы вода подавалась на парагенерацию
[00:17:53 --> 00:17:55]  в течение одной секунды
[00:17:55 --> 00:17:58]  и периоды между подачей воды
[00:17:58 --> 00:18:00]  были на 30 секунд.
[00:18:00 --> 00:18:03]  Такой подачи примерно достаточно для обеспечения
[00:18:03 --> 00:18:05]  5-5% влажности в камере.
[00:18:05 --> 00:18:07]  В предимкороту ли праварке,
[00:18:07 --> 00:18:10]  обычно это порядка 75-80 градусов.
[00:18:12 --> 00:18:13]  Итак,
[00:18:13 --> 00:18:16]  мы сейчас с вами проговорили про
[00:18:16 --> 00:18:18]  горячей общения рыбы.
[00:18:18 --> 00:18:20]  В камере, за 15.
[00:18:20 --> 00:18:23]  Значит, два отдельных моментов важных
[00:18:23 --> 00:18:24]  прохолодное копчение.
[00:18:24 --> 00:18:25]  Дохолодное копчение мяса,
[00:18:25 --> 00:18:27]  холодное копчение рыбы.
[00:18:27 --> 00:18:30]  Значит, если мы говорим прохолодное копчение мяса,
[00:18:30 --> 00:18:31]  холодное...
[00:18:31 --> 00:18:33]  сейчас самое...
[00:18:33 --> 00:18:35]  есть разные технологии,
[00:18:35 --> 00:18:37]  приготовления мяса, холодного копчения.
[00:18:37 --> 00:18:40]  Есть в условном классической советской технологии,
[00:18:40 --> 00:18:46]  когда мы без стартовых культур берем
[00:18:46 --> 00:18:48]  условно мясной продукт.
[00:18:48 --> 00:18:50]  Он у нас маремуется,
[00:18:50 --> 00:18:52]  как у этого времени,
[00:18:52 --> 00:18:54]  порядка от недели на 2-место додух.
[00:18:54 --> 00:18:56]  И потом вывешивается в камере,
[00:18:56 --> 00:18:58]  как бы, либо сухого созревания,
[00:18:58 --> 00:19:01]  либо в специальных специальных оборудовных камерах,
[00:19:01 --> 00:19:04]  для приготовления соревальной продукции,
[00:19:04 --> 00:19:06]  в течение, там тоже от недели
[00:19:06 --> 00:19:08]  до пол года до года даже.
[00:19:08 --> 00:19:10]  Более условно современные
[00:19:10 --> 00:19:12]  ускоренные технологии,
[00:19:12 --> 00:19:14]  приготовления сорокопченные продукции
[00:19:14 --> 00:19:15]  из мяса.
[00:19:15 --> 00:19:18]  Представляется, если на следующем процедур.
[00:19:18 --> 00:19:21]  Значит, также продукция маремуется
[00:19:21 --> 00:19:23]  со используемых стартовых культур,
[00:19:23 --> 00:19:26]  засаливается в течение примерно недели.
[00:19:26 --> 00:19:30]  После этого она коптится,
[00:19:30 --> 00:19:33]  примерно от 4-670 часов,
[00:19:33 --> 00:19:37]  при температуре для куриц и в районе 35 градусов
[00:19:37 --> 00:19:39]  для свини на говядины,
[00:19:39 --> 00:19:42]  в районе 45 градусов для свини на говядины,
[00:19:42 --> 00:19:44]  в районе 45 градусов.
[00:19:44 --> 00:19:46]  В искобчение, так называемая с подваром.
[00:19:46 --> 00:19:49]  Подвар, как таково,
[00:19:49 --> 00:19:51]  там, праварки не происходит,
[00:19:51 --> 00:19:53]  это просто такой технологический тенн,
[00:19:53 --> 00:19:54]  подвар называется.
[00:19:54 --> 00:19:57]  Когда температура приближается
[00:19:57 --> 00:19:59]  к температуре свертого не белка,
[00:19:59 --> 00:20:03]  мясного, но само свертого не происходит.
[00:20:03 --> 00:20:07]  Сам в куст продукта будет немножко отличаться
[00:20:07 --> 00:20:11]  от стандартного классического
[00:20:11 --> 00:20:12]  саркопченному продукта,
[00:20:12 --> 00:20:14]  но она мой взгляд,
[00:20:14 --> 00:20:16]  сейчас настолько мало настоящих
[00:20:16 --> 00:20:17]  саркопченных продуктов,
[00:20:17 --> 00:20:19]  и в общем-то народ нас не избален.
[00:20:19 --> 00:20:22]  Настоящими саркопченными продуктами
[00:20:22 --> 00:20:24]  так чтобы реально понимать,
[00:20:24 --> 00:20:26]  в чем отличие, например,
[00:20:26 --> 00:20:29]  продукции приготовленной посовременной технологии
[00:20:29 --> 00:20:31]  от продукции, основной советской,
[00:20:31 --> 00:20:32]  которые производилось,
[00:20:32 --> 00:20:34]  в лучшие годы
[00:20:34 --> 00:20:37]  развитого социализма.
[00:20:37 --> 00:20:38]  Вот.
[00:20:38 --> 00:20:40]  Значит,
[00:20:40 --> 00:20:42]  многие, многие наши клиенты
[00:20:42 --> 00:20:44]  и именно используют современную технологию
[00:20:44 --> 00:20:46]  приготовленных саркопченных продукт,
[00:20:46 --> 00:20:48]  мы сразу скажу, что приготовленных саркопченки
[00:20:48 --> 00:20:51]  это, в общем-то,
[00:20:51 --> 00:20:52]  для любого технология.
[00:20:52 --> 00:20:54]  В советские времена,
[00:20:54 --> 00:20:56]  для приготовления на имна саркопчения,
[00:20:56 --> 00:20:58]  выделялся специальный технолог,
[00:20:58 --> 00:21:00]  который каждый день ходил
[00:21:00 --> 00:21:02]  по камерам созревания,
[00:21:02 --> 00:21:04]  проверял пеш,
[00:21:04 --> 00:21:07]  в кислотность проверял
[00:21:07 --> 00:21:09]  во всех этих колбасах,
[00:21:09 --> 00:21:10]  чтобы она не была слишком сука,
[00:21:10 --> 00:21:11]  слишком маленькая.
[00:21:11 --> 00:21:13]  Но это был целый технологический процесс
[00:21:13 --> 00:21:14]  за крепленным технологом,
[00:21:14 --> 00:21:16]  который профессионализ занимался только этим.
[00:21:16 --> 00:21:18]  Поэтому, если вы только начинаете
[00:21:18 --> 00:21:19]  или только рассматривать
[00:21:19 --> 00:21:20]  для себя эти процессы,
[00:21:20 --> 00:21:21]  я бы все-таки рекомендовал
[00:21:21 --> 00:21:22]  начать,
[00:21:22 --> 00:21:23]  начать, наверное,
[00:21:23 --> 00:21:24]  копченный продукции,
[00:21:24 --> 00:21:25]  ознакомиться вообще
[00:21:25 --> 00:21:27]  смясом
[00:21:27 --> 00:21:28]  с технологией копчения,
[00:21:28 --> 00:21:30]  и после этого плавно может переходить
[00:21:30 --> 00:21:33]  приготовления продукции
[00:21:33 --> 00:21:35]  холодного копчения
[00:21:35 --> 00:21:36]  мяса, например.
[00:21:37 --> 00:21:38]  Значит,
[00:21:38 --> 00:21:40]  можно ли делать мясо холодного копчения,
[00:21:40 --> 00:21:43]  выруется за 150 без дополнительного
[00:21:43 --> 00:21:45]  до поборудования?
[00:21:45 --> 00:21:48]  Если вы реально понимаете
[00:21:48 --> 00:21:50]  процесс и уметь,
[00:21:50 --> 00:21:52]  приготовить подобную продукцию,
[00:21:52 --> 00:21:53]  то, да, можно.
[00:21:53 --> 00:21:56]  Если использовать
[00:21:56 --> 00:21:57]  например,
[00:21:57 --> 00:21:58]  дополнительную функцию,
[00:21:58 --> 00:21:59]  называется
[00:21:59 --> 00:22:00]  пищевая чистотная проразаватель,
[00:22:00 --> 00:22:02]  который позволяет регулировать
[00:22:02 --> 00:22:04]  скорость оборотов на основном
[00:22:04 --> 00:22:05]  рабочем колесе,
[00:22:05 --> 00:22:07]  то, у вас будет возможность
[00:22:07 --> 00:22:09]  делать очень плавно,
[00:22:09 --> 00:22:10]  очень маленькую тягу
[00:22:10 --> 00:22:11]  через домогенератор
