[00:00:00 --> 00:00:10]  А свая метеормакамеру.
[00:02:10 --> 00:02:15]  В массажуре длинные трубы вдоль ботки массажора,
[00:02:15 --> 00:02:17]  они укреплены.
[00:02:17 --> 00:02:21]  Вовремя вращения массажор, эти милот трубами,
[00:02:21 --> 00:02:24]  как ребра, подсыпляет кусок мяса,
[00:02:24 --> 00:02:27]  подымает повыша, потом кусок падает вниз,
[00:02:27 --> 00:02:30]  и вот такое происходит вращение, ротация.
[00:02:30 --> 00:02:35]  И куски ударя из друг друга вот они массируются.
[00:02:35 --> 00:02:40]  Укладывается все у массажора, и заливается рассловом сверху,
[00:02:40 --> 00:02:43]  чтобы рассловом номером покрывался продуктию.
[00:02:43 --> 00:02:47]  Задается программа массажора, откачивается воздух,
[00:02:47 --> 00:02:51]  и устанавливается время и глубина вакума.
[00:02:59 --> 00:03:02]  Перепелка готова несколько часов,
[00:03:02 --> 00:03:05]  она пролежала в расслове в холодильнике после вакума,
[00:03:05 --> 00:03:08]  и сейчас мы ее развешиваем на раму.
[00:03:08 --> 00:03:12]  Заводительно чтобы тушки не касались друг друга,
[00:03:12 --> 00:03:16]  что проходил между ними дым, готовим копчению.
[00:03:33 --> 00:03:36]  Вот к нему для наглядности.
[00:03:39 --> 00:03:40]  Ни, конечно.
[00:03:42 --> 00:03:46]  Средней колеса, чтобы она сидела.
[00:03:46 --> 00:03:50]  Она сидела, чтобы она сидела, чтобы она сидела.
[00:03:57 --> 00:03:58]  Ты снимаешь?
[00:03:58 --> 00:04:01]  Да не, не снимаешь, что зацел.
[00:04:01 --> 00:04:04]  Зацел, мы, ввать не оветь.
[00:04:04 --> 00:04:08]  И дальше в тормочу берем вот это время.
[00:04:08 --> 00:04:12]  Такая, в самом жирном грудь.
[00:04:12 --> 00:04:16]  Вот так, как-то, чтобы она сидела.
[00:04:16 --> 00:04:19]  Самая толстая место.
[00:04:19 --> 00:04:21]  Самая толстая, самая сидела, но толстая место.
[00:04:21 --> 00:04:23]  Он нормально зацел, в рюзинку.
[00:04:23 --> 00:04:25]  Да, да, да, да.
[00:04:25 --> 00:04:27]  Ничего не будет, горячого.
[00:04:27 --> 00:04:29]  Сределиклана, кобячка.
[00:04:29 --> 00:04:32]  Сределиклана, утритка.
[00:04:33 --> 00:04:34]  Что закрываем?
[00:04:34 --> 00:04:36]  Докрываем.
[00:04:40 --> 00:04:41]  Задаем программу.
[00:04:41 --> 00:04:44]  Каптильня способно справиться автоматически.
[00:04:44 --> 00:04:47]  Но нужно ее правильно за программировать.
[00:04:47 --> 00:04:50]  Но поскольку у нас, мы учимся пока,
[00:04:50 --> 00:04:54]  мы будем все в стадии процесса контролировать визуально.
[00:04:54 --> 00:04:56]  Слушаю, да?
[00:04:56 --> 00:04:58]  Я думаю, сделаю сначала в программе.
[00:04:58 --> 00:05:00]  В программе сделаем всегда.
[00:05:00 --> 00:05:02]  В программе сделаем программу.
[00:05:02 --> 00:05:04]  Прогреть.
[00:05:04 --> 00:05:05]  Прогреть.
[00:05:05 --> 00:05:06]  Прогреть.
[00:05:06 --> 00:05:08]  Выбрать.
[00:05:08 --> 00:05:09]  Выбрать.
[00:05:09 --> 00:05:10]  Прогреть.
[00:05:10 --> 00:05:11]  Иди, прогреть.
[00:05:11 --> 00:05:12]  Мы потесел.
[00:05:12 --> 00:05:15]  Тенператору, ты имеешь видео.
[00:05:15 --> 00:05:16]  Что мы делаем потесел?
[00:05:16 --> 00:05:17]  Потихнологи.
[00:05:17 --> 00:05:19]  Я мы сейчас сдаем в температуру.
[00:05:19 --> 00:05:22]  Градусов 50.
[00:05:22 --> 00:05:23]  50.
[00:05:23 --> 00:05:25]  Да, что я делаю на 40.
[00:05:25 --> 00:05:27]  В 45?
[00:05:27 --> 00:05:28]  В 45?
[00:05:28 --> 00:05:29]  В 45.
[00:05:29 --> 00:05:30]  Вот этот прогреть.
[00:05:30 --> 00:05:32]  Да, в 15 минут.
[00:05:32 --> 00:05:33]  Погреть.
[00:05:33 --> 00:05:34]  Погреть.
[00:05:34 --> 00:05:35]  Вот так шагом.
[00:05:35 --> 00:05:36]  Пиши облома.
[00:05:36 --> 00:05:38]  Что мы это делаем?
[00:05:38 --> 00:05:40]  Камера, когда будет прогреть в холода.
[00:05:40 --> 00:05:41]  40.
[00:05:41 --> 00:05:42]  В 45 градусов.
[00:05:42 --> 00:05:43]  Ули, чифр, я.
[00:05:43 --> 00:05:44]  На что ты напасаю, тепло.
[00:05:44 --> 00:05:45]  На тестах.
[00:05:45 --> 00:05:47]  Не горячий, я знаю, тепло отдает.
[00:05:47 --> 00:05:49]  Камера у в 45 градусов.
[00:05:49 --> 00:05:50]  Показывает.
[00:05:50 --> 00:05:52]  Короче, на 50.
[00:05:52 --> 00:05:53]  На 10 градусов.
[00:05:53 --> 00:05:54]  На 50.
[00:05:54 --> 00:05:55]  На 50 градусов.
[00:05:56 --> 00:05:57]  Вот.
[00:05:57 --> 00:05:59]  Сотестное время, купен на τους.
[00:05:59 --> 00:06:00]  На этом и сриска.
[00:06:00 --> 00:06:01]  Выключить.
[00:06:01 --> 00:06:02]  На грязан.
[00:06:02 --> 00:06:03]  Лучше.
[00:06:03 --> 00:06:04]  На防ке.
[00:06:04 --> 00:06:05]  Нащитиатура.
[00:06:05 --> 00:06:06]  Все быстро вот эти дела.
[00:06:06 --> 00:06:07]  Наше число.
[00:06:07 --> 00:06:08]  Молодец.
[00:06:08 --> 00:06:10]  У版.
[00:06:10 --> 00:06:11]  Нужно что-то ещё.
[00:06:11 --> 00:06:12]  Лучше немного меньше.
[00:06:12 --> 00:06:13]  Меньше.
[00:06:13 --> 00:06:14]  Ваше.
[00:06:14 --> 00:06:15]  Лучше.
[00:06:15 --> 00:06:16]  Что я не думала?
[00:06:16 --> 00:06:17]  То есть...
[00:06:17 --> 00:06:19]  Оно и она.
[00:06:19 --> 00:06:22]  А, а я я не знала.
[00:06:22 --> 00:06:24]  Я потом шаглом пофравлю.
[00:06:24 --> 00:06:29]  На чтуканре есть 5 останы за слонов.
[00:06:29 --> 00:06:32]  Вот эти первые это фото выхода с камеры.
[00:06:32 --> 00:06:34]  Одна с пили, это будет вот здесь.
[00:06:34 --> 00:06:37]  На выход вторая входа, она задия.
[00:06:37 --> 00:06:39]  Без есть ли они закрыты обе.
[00:06:39 --> 00:06:42]  На камеры все, она отрезана от внешней мировой.
[00:06:42 --> 00:06:44]  А вот сейчас будет тренированная.
[00:06:44 --> 00:06:46]  А с земной оттуканной крытой.
[00:06:46 --> 00:06:48]  Вот, подача на пили заслантов,
[00:06:48 --> 00:06:50]  а вот этот пили на генература.
[00:06:50 --> 00:06:53]  На соперстве, на пили на пол,
[00:06:53 --> 00:06:55]  и позвольте, на генература, я тебе голосу.
[00:06:55 --> 00:06:59]  В генература, в клювищен, на 50% хабородов.
[00:06:59 --> 00:07:02]  На два сбестница, в чем-то.
[00:07:02 --> 00:07:03]  Сокраннее.
[00:07:03 --> 00:07:05]  Еще шаг на вами.
[00:07:07 --> 00:07:08]  Варка.
[00:07:08 --> 00:07:09]  А варка еще.
[00:07:09 --> 00:07:11]  Вы врачи.
[00:07:11 --> 00:07:14]  Иди, теперь выбираем рецепт.
[00:07:14 --> 00:07:15]  Где?
[00:07:15 --> 00:07:17]  Вот, вы тут это виленок.
[00:07:18 --> 00:07:19]  Все, шаг 1 и 4.
[00:07:19 --> 00:07:21]  Не, что в том, все.
[00:07:21 --> 00:07:22]  Не, что в том, все, что в том, все, в том, что в запах запах запах.
[00:07:22 --> 00:07:24]  Вот, и все на пили на пили.
[00:07:24 --> 00:07:26]  Если это как-то встает,
[00:07:26 --> 00:07:27]  в машине, то не, на то.
[00:07:27 --> 00:07:29]  Да.
[00:07:29 --> 00:07:29]  Да.
[00:07:29 --> 00:07:30]  Пуечна.
[00:07:30 --> 00:07:31]  Такой, есть.
[00:07:31 --> 00:07:33]  Диральная машина.
[00:07:33 --> 00:07:34]  Пуечна, она еди.
[00:07:34 --> 00:07:35]  Собеется.
[00:07:35 --> 00:07:37]  Мы вы видите, что там перёпно,
[00:07:37 --> 00:07:39]  все, что по исходе сканой.
[00:07:39 --> 00:07:41]  Вот по киске, что все, в том, что он не заслал.
[00:07:41 --> 00:07:43]  Потому, что этот киски в гамом,
[00:07:43 --> 00:07:44]  и не отстывается.
[00:07:44 --> 00:08:05]  Покончание программы подслушки.
[00:08:05 --> 00:08:10]  Мы открываем термокамеру и смотрим как подсохлотить и пелку.
[00:08:14 --> 00:08:19]  Покончание программы подслушки.
[00:08:19 --> 00:08:22]  Покончание программы подслушки.
[00:08:22 --> 00:08:27]  Покончание программы подслушки.
[00:08:27 --> 00:08:33]  Задаем программу копчения и ждем результат.
[00:08:33 --> 00:08:38]  Делаем револку.
[00:08:38 --> 00:08:46]  Покончание программы подслушки.
[00:08:46 --> 00:08:56]  Покончание программы подслушки.
[00:08:56 --> 00:09:02]  Покончание программы подслушки.
[00:09:02 --> 00:09:05]  Свет плёг очень ровно.
[00:09:05 --> 00:09:09]  Золотистый приятный оттенок имеет.
[00:09:09 --> 00:09:12]  Поэтому мы можем переходить к следующей программе.
[00:09:12 --> 00:09:20]  Ставим на подвоздавание центр.
[00:09:20 --> 00:09:28]  Покончание программы подслушке.
[00:09:28 --> 00:09:30]  А вот просто все поднарядно, все все другое.
[00:09:30 --> 00:09:31]  Все уже и не третается.
[00:09:31 --> 00:09:32]  Я наднадаю, что я по-другу это.
[00:09:32 --> 00:09:36]  Я просто и сейчас милая, в Ельсии Говорского.
[00:09:36 --> 00:09:38]  Понимаем, что с Латains, что тут у нас была.
[00:09:38 --> 00:09:39]  И нас красавь на Латains.
[00:09:39 --> 00:09:40]  Я что это?
[00:09:40 --> 00:09:45]  Подберим, я сейчас надорую пару нереил.
[00:09:45 --> 00:09:47]  А вот подпородок, где я надорую.
[00:09:47 --> 00:09:48]  Да, что я надорую.
[00:09:48 --> 00:09:49]  Да, что я надорую.
[00:09:49 --> 00:09:50]  А вот это.
[00:09:50 --> 00:09:51]  Говородок.
[00:09:51 --> 00:09:52]  Говородок.
[00:09:52 --> 00:09:53]  Говородок.
[00:09:53 --> 00:09:54]  Говородок.
[00:09:54 --> 00:09:55]  Говородок.
[00:09:55 --> 00:09:56]  Ну ладно.
[00:09:56 --> 00:10:06]  Ну и шпарком ее, так варком обдала.
[00:10:06 --> 00:10:09]  Выкатывай.
[00:10:09 --> 00:10:22]  Ну, вот видно, что цвет стал потемнее после варки.
[00:10:22 --> 00:10:28]  Сейчас мы выкатим охладим, проверим какой вкус получился.
[00:10:28 --> 00:10:35]  И проведем контрольное взвешивание, чтобы термопотери обозначить для себя.
[00:10:35 --> 00:10:38]  Что-то надо, а проверить.
[00:10:40 --> 00:10:42]  Что-то надо, остановлю.
[00:10:45 --> 00:10:46]  Соль самая.
[00:10:46 --> 00:10:47]  Нормально?
[00:10:47 --> 00:10:52]  Ну, такая вроде сочная, он сколько сухон с ней.
[00:10:52 --> 00:10:54]  Накоро-ка, сочная.
[00:10:54 --> 00:10:55]  Да.
[00:10:55 --> 00:10:56]  Да.
[00:10:57 --> 00:10:59]  Солкнулся, хватит.
[00:10:59 --> 00:11:00]  Ну так.
[00:11:00 --> 00:11:03]  Да ты попробует, что-то сам мастер.
[00:11:03 --> 00:11:04]  Варил.
[00:11:04 --> 00:11:05]  Вот это альхада.
[00:11:05 --> 00:11:06]  Это альхада.
[00:11:06 --> 00:11:07]  Ва-ка.
[00:11:07 --> 00:11:08]  Ва-ка.
[00:11:08 --> 00:11:10]  Ва-ка.
[00:11:10 --> 00:11:11]  А ва-ка.
[00:11:11 --> 00:11:12]  А ва-ка.
[00:11:12 --> 00:11:13]  Да.
[00:11:13 --> 00:11:14]  А ва-ка.
[00:11:14 --> 00:11:16]  Губяна будет, так как красное.
[00:11:16 --> 00:11:18]  Свет будет, красное, и у нее.
[00:11:18 --> 00:11:19]  Таникстар.
[00:11:19 --> 00:11:21]  Пасоли, подыму.
[00:11:21 --> 00:11:22]  Хорошо.
[00:11:22 --> 00:11:25]  Ну, дыму, ничего не сразу придет.
[00:11:25 --> 00:11:28]  Дым же пока что-то проникнет, во внутрь.
[00:11:28 --> 00:11:31]  Он положит должен, а спич.
[00:11:31 --> 00:11:32]  Да.
[00:11:32 --> 00:11:33]  Да.
[00:11:33 --> 00:11:34]  Сосет.
[00:11:34 --> 00:11:37]  Она на самом деле, когда положит действительно остынет.
[00:11:37 --> 00:11:38]  Тогда она на...
[00:11:38 --> 00:11:39]  Да.
[00:11:39 --> 00:11:40]  Да.
[00:11:40 --> 00:11:41]  Вот этот букет.
[00:11:41 --> 00:11:44]  Что-то есть, а один раз.
[00:11:44 --> 00:11:45]  Да, вот все.
[00:11:45 --> 00:11:48]  Я шап прям перед так кусман.
[00:11:48 --> 00:11:50]  Пива не хватает.
[00:11:50 --> 00:11:52]  Таник, подпива.
[00:11:52 --> 00:11:53]  Папа.
[00:11:53 --> 00:11:54]  Папа.
[00:11:54 --> 00:11:55]  Папа.
[00:11:55 --> 00:11:56]  Папа.
[00:11:56 --> 00:11:57]  Папа.
[00:11:57 --> 00:11:58]  Папа.
[00:11:58 --> 00:11:59]  Папа.
[00:11:59 --> 00:12:00]  Папа.
[00:12:00 --> 00:12:01]  Папа.
[00:12:01 --> 00:12:02]  Папа.
[00:12:02 --> 00:12:03]  Папа.
[00:12:03 --> 00:12:04]  Папа.
[00:12:04 --> 00:12:05]  Папа.
[00:12:05 --> 00:12:06]  Не надо салонение.
[00:12:07 --> 00:12:09]  Александр, ну, просто иду.
[00:12:13 --> 00:12:15]  Кодованием пастолина все великолепно.
[00:12:15 --> 00:12:18]  Что-то, как вообще, беза-то.
[00:12:18 --> 00:12:19]  Ласно.
[00:12:19 --> 00:12:21]  Следующие этап работы.
[00:12:21 --> 00:12:23]  Это термоработка.
[00:12:23 --> 00:12:26]  Мистный дирекатес, в цельном, ищущих, нахватит карбонат.
[00:12:26 --> 00:12:27]  Шея.
[00:12:27 --> 00:12:30]  Здесь присутствует также рулетой.
[00:12:30 --> 00:12:32]  И с грудиенки.
[00:12:32 --> 00:12:34]  Они приготовлены по разному,
[00:12:34 --> 00:12:36]  не которые со спецами.
[00:12:36 --> 00:12:37]  Томчислия.
[00:12:37 --> 00:12:38]  Говядина.
[00:12:38 --> 00:12:39]  Говядина.
[00:12:39 --> 00:12:41]  Это глазной мускул.
[00:12:41 --> 00:12:44]  Приниктирован точно.
[00:12:44 --> 00:12:47]  Обработан ваконном массажоре.
[00:12:52 --> 00:12:54]  Тем на красные куски.
[00:12:54 --> 00:12:56]  И большого размера это есть.
[00:12:56 --> 00:12:59]  Закатываем в камеру.
[00:12:59 --> 00:13:01]  И задаем программу.
[00:13:02 --> 00:13:04]  С первого подсушки.
[00:13:04 --> 00:13:05]  Куски большие.
[00:13:08 --> 00:13:09]  Чуп, такая.
[00:13:09 --> 00:13:11]  Середина.
[00:13:11 --> 00:13:12]  Вот так, да.
[00:13:12 --> 00:13:13]  Надо.
[00:13:13 --> 00:13:14]  Есть.
[00:13:14 --> 00:13:16]  Отлично.
[00:13:20 --> 00:13:22]  Важную часть нашей программы
[00:13:22 --> 00:13:24]  составляет приготовления вечины,
[00:13:24 --> 00:13:26]  нескольких видов.
[00:13:26 --> 00:13:27]  И колбасы.
[00:13:27 --> 00:13:29]  Колбаса типа краков,
[00:13:29 --> 00:13:31]  с каотничей готовим фаршными сорубки.
[00:13:31 --> 00:13:33]  На крупной решетке готовим фарш.
[00:13:33 --> 00:13:34]  Для вечины.
[00:13:34 --> 00:13:35]  На мелкой решетке.
[00:13:35 --> 00:13:37]  Велим фарш для колбасы.
[00:14:00 --> 00:14:03]  Вмешал теперь меживаем фарш.
[00:14:03 --> 00:14:05]  Веченый для того, чтобы он хорошо склеился и созрел.
[00:14:05 --> 00:14:08]  Вмешал и перемешиваем фарш.
[00:14:08 --> 00:14:13]  Веченый для того, чтобы он хорошо склеился и созрел.
[00:14:28 --> 00:14:33]  Шприц используем небольшой механический симилиет ролик.
[00:14:33 --> 00:14:36]  Очень удобный ищ приц для небольших производств.
[00:14:41 --> 00:14:45]  Тем временем коптильнее выполнил его автоматическом режиме,
[00:14:45 --> 00:14:50]  программу, термообраз, кетельно мышечных неликатесов.
[00:14:51 --> 00:14:54]  Блин, как она хорошо красит.
[00:14:55 --> 00:15:00]  В других камер там будет проблема, что бледно, бледно, отутсмотрик как зафигащего.
[00:15:00 --> 00:15:02]  Ну выкатывай, выкатывай.
[00:15:03 --> 00:15:06]  Очень хороший цвет дает фрикционный дымогенерator.
[00:15:07 --> 00:15:13]  За короткое время он успевается создать такую вот окраску продукта замечательная.
[00:15:15 --> 00:15:17]  Вот так вот.
[00:15:18 --> 00:15:19]  Вроде этих дешёй.
[00:15:21 --> 00:15:22]  Да, тут видишь.
[00:15:23 --> 00:15:24]  Двадцать два пересмыса.
[00:15:25 --> 00:15:27]  Мы сойденили два, что я знаю.
[00:15:27 --> 00:15:29]  Ну давай, то некая ныриза.
[00:15:30 --> 00:15:32]  Жерники, жерники по-разьёночек.
[00:15:33 --> 00:15:38]  В общем, он не ущадь, когда он остынет, он затверден.
[00:15:39 --> 00:15:41]  Он будет монолитный.
[00:15:42 --> 00:15:43]  А сейчас он пока такой.
[00:15:44 --> 00:15:46]  Ну ладно, там сейчас на донахку спопробовать.
[00:15:48 --> 00:15:50]  Пока вкусно.
[00:15:52 --> 00:15:54]  Рури, это еще теплый.
[00:15:54 --> 00:15:57]  Он не скрепился по настоящему.
[00:16:00 --> 00:16:01]  Ну, маней.
[00:16:03 --> 00:16:04]  Тает два трубки.
[00:16:05 --> 00:16:06]  Да.
[00:16:07 --> 00:16:08]  Прогутю, ты чего?
[00:16:09 --> 00:16:10]  Что, прогутил.
[00:16:11 --> 00:16:13]  Ну, да, я, что ты, как.
[00:16:15 --> 00:16:17]  Сидеть, молодец.
[00:16:18 --> 00:16:20]  Даже собака есть, смотрит.
[00:16:20 --> 00:16:23]  Ну, да, она будет так оттетив.
[00:16:24 --> 00:16:25]  А подыму как?
[00:16:26 --> 00:16:27]  Нет, нормально.
[00:16:28 --> 00:16:29]  Сосовно, да.
[00:16:30 --> 00:16:31]  Все.
[00:16:32 --> 00:16:33]  Ну, это она должен.
[00:16:34 --> 00:16:35]  Беконная сменю, да?
[00:16:36 --> 00:16:37]  Где я?
[00:16:38 --> 00:16:39]  На полне не оболочит партн.
[00:16:40 --> 00:16:41]  То есть на бихах, это баши.
[00:16:42 --> 00:16:45]  Это, когда, какой, приятный процесс, приятно,
[00:16:45 --> 00:16:54]  смотреть, что из бессформенной фаршевой массы получаются такие красивые,
[00:16:55 --> 00:16:57]  изъечные колбаски.
[00:16:58 --> 00:17:01]  Следующие этап приготовления колбасы.
[00:17:02 --> 00:17:03]  Это ее осадка.
[00:17:04 --> 00:17:08]  Так как уже поздно, мы до утра помещаем ее в холодильную камеру,
[00:17:09 --> 00:17:13]  развешиваем ее на вешала и выдерживаем в холодильной камере до утра,
[00:17:13 --> 00:17:17]  чтобы утром уже провести термообработку этой колбасы.
[00:17:18 --> 00:17:22]  В процессе осадки фаршу платится из колбасы выйдет лишний воздух,
[00:17:23 --> 00:17:26]  пройдут процесс структура образования,
[00:17:27 --> 00:17:30]  когда будет готово на разрезе будет плотной, гладкой,
[00:17:31 --> 00:17:37]  ровной и очень ароматной мясо за это время хорошо просолиться и пропитается ароматом спецы.
[00:17:37 --> 00:17:44]  Наши мясные деликаты с иноч провели в холодильной камере хорошо остыли,
[00:17:45 --> 00:17:47]  и сейчас можно уже спокойно посмотреть,
[00:17:48 --> 00:17:52]  каковые, каков рисунок на разрезе, каковая консистенция продукция,
[00:17:53 --> 00:17:58]  ее сочность, вид, внешний можно уже оценить более внимательно.
[00:17:59 --> 00:18:03]  А это рулет, рулет приготовлены из грудинки,
[00:18:03 --> 00:18:12]  с спицами и чесноком, свернутая грудинка и помещенная в эластичную сетку.
[00:18:13 --> 00:18:17]  Сетка очень хорошо обрисовывает продукт, он получается плотной,
[00:18:18 --> 00:18:23]  такой беспостат без разрывов, все куски хорошо между собой проклеились белком,
[00:18:24 --> 00:18:29]  результат замечательный.
[00:18:34 --> 00:18:39]  Вечена с форму, на веченной фарш загружен в гостроемкости,
[00:18:40 --> 00:18:45]  пруженных форм по конец, так что решили обойти с гостроемкости.
[00:18:46 --> 00:18:52]  Вот выглаживаем поверхность, чтобы она обалоровная равная мерная, красивая,
[00:18:52 --> 00:18:57]  вот эта гладкая, после запекания, отепляем фарш,
[00:18:58 --> 00:19:01]  и нужно несколько времени постоять теплым помещения,
[00:19:02 --> 00:19:05]  а потом он будет перемещен каптильную камеру.
[00:19:06 --> 00:19:09]  Установили наверх.
[00:19:10 --> 00:19:15]  Сейчас хотим попробовать запечь все вместе и колбасу
[00:19:16 --> 00:19:21]  и баранья, акарака и вечину.
[00:19:22 --> 00:19:27]  Не знаю, получится у нас это или нет, потому что продукты разнородные,
[00:19:28 --> 00:19:31]  вот здесь и курочка, висит продукты разной массы,
[00:19:32 --> 00:19:33]  разной толщины, разного веса.
[00:19:35 --> 00:19:36]  Попробуем.
[00:19:37 --> 00:19:41]  Просто нужно будет в процессе камеру открыть и извлечь оттуда то,
[00:19:42 --> 00:19:44]  что уже готово массивные продукты.
[00:19:45 --> 00:19:49]  Оставить, чтобы программа их дальше варила, коптила.
[00:19:52 --> 00:20:06]  А вода универается вот в этом металлическе, да?
[00:20:07 --> 00:20:11]  Да, это же это измеритель влажность.
[00:20:12 --> 00:20:17]  На задней стенке коптильные камеры установлен еемкость гигрометра,
[00:20:17 --> 00:20:23]  гигрометра, это тот прибор, который отвечает за влажность в коптильной камере.
[00:20:24 --> 00:20:26]  Он должен быть заполнен водой.
[00:20:28 --> 00:20:38]  Здесь мы видим небольшой технический из бой, камера открывается,
[00:20:39 --> 00:20:44]  а в ней находится закатывали вроде много продукции, а сейчас на раме только одна колбаса.
[00:20:44 --> 00:20:51]  Дело в том, что закатив в камеру раме, которое было загружен на разные продукты,
[00:20:52 --> 00:20:54]  мы потом что-то испугались.
[00:20:55 --> 00:21:01]  В друг, что-то пойдет не так, поэтому мы ее выкатили и снялись нее самые массивные.
[00:21:02 --> 00:21:10]  А оставили на ней висеть колбаса, потому что она тонкая, она не требует большого времени на термо обработку.
[00:21:10 --> 00:21:15]  И чтобы она не высохла, мы решили ее в первую очередь.
[00:21:16 --> 00:21:21]  В детков Басу и Баранья Рёбра и небольшой кусочки грудинки прокатить первую очередь.
[00:21:22 --> 00:21:25]  Так быстро готовы, а или вы только часть бить внимания.
[00:21:25 --> 00:21:33]  Светлёк, великолепно, продукт потерял мало веса, и что он не подсохнулся.
[00:21:34 --> 00:21:36]  Но цвет замечательный.
[00:21:37 --> 00:21:42]  Но и вкусно, где имцарь тоже будет хорошая.
[00:21:43 --> 00:21:46]  Она не холодная.
[00:21:46 --> 00:21:48]  Но у нас цвет замечательный.
[00:21:49 --> 00:21:52]  Но и вкусно, где имцарь тоже будет хорошая.
[00:22:17 --> 00:22:21]  Но сейчас будет цветно, а вот 20 минут нормально.
[00:22:22 --> 00:22:24]  20 минут, что надо.
[00:22:25 --> 00:22:27]  Сюда и кто-то.
[00:22:34 --> 00:22:40]  Колбас коровная, плотная, очень у нее призентабельную внешний вид.
[00:22:40 --> 00:22:45]  И сейчас, чтобы вид этот сохранился, нужно ее быстро охладить.
[00:22:51 --> 00:22:56]  Процесс называется душирования, потому что просто колбаса отдается очень холодным душим.
[00:22:57 --> 00:23:07]  Чем холоднее душ, тем дольше будет срок ранения в колбасы, и тем она будет лучше выглядеть меньше будет на ней морщин и складок различных.
[00:23:10 --> 00:23:14]  Я уже прислал.
[00:23:25 --> 00:23:29]  Теперь спокойно и душу можно в камеру загрузить все остальное.
[00:23:30 --> 00:23:35]  Более массивные продукты, которые требуют больше времени на праварку, нежели колбаса.
[00:23:35 --> 00:23:42]  Вот мы их вечену снова вернули на исходную позицию.
[00:23:43 --> 00:23:52]  Чуть не же повесили баранья ноги, потом куриные тушки и небольшой небольшой ботончик вечены.
[00:23:53 --> 00:23:57]  Сформованные в целилозную пленку и обязаны спадатом.
[00:23:58 --> 00:24:00]  Курица будет первая готовая сей компании.
[00:24:00 --> 00:24:08]  Втыка и в груди, пожернее место на идипа, потолго, поместистия.
[00:24:09 --> 00:24:14]  Но шокурец она мясо нежная, она первая запещит.
[00:24:15 --> 00:24:20]  Когда включится варка, куриться запещит первое, мы вытащим, а варку продолжим.
[00:24:21 --> 00:24:26]  Ну же пещит, камера запещит, когда куриться будет готова.
[00:24:27 --> 00:24:29]  Режим деликатесы.
[00:24:30 --> 00:24:31]  Сейчас мы вот так.
[00:24:32 --> 00:24:34]  Настройки, да?
[00:24:35 --> 00:24:37]  Слава, фотографа.
[00:24:38 --> 00:24:41]  Комбаса деликатесы или лесные.
[00:24:42 --> 00:24:48]  Конечно, настоящий вкус колбасы формируется примерно через сутки,
[00:24:48 --> 00:24:52]  а то и двое после термообработки и керпчения.
[00:24:53 --> 00:24:54]  Но удержаться невозможно.
[00:24:55 --> 00:25:00]  Во-первых, любопытство, повторых она действительно очень красивая колбаска.
[00:25:01 --> 00:25:07]  И после охлаждения души и небольшого времени проведенного в термокамере,
[00:25:08 --> 00:25:11]  на разрезе видно, что жир еще не побелел полностью,
[00:25:12 --> 00:25:14]  что еще все-таки не структуризовался.
[00:25:14 --> 00:25:15]  Он еще теплый.
[00:25:16 --> 00:25:21]  Мы нарезаем колбасу и с большим аппетитом ее пробуем.
